chi_max,n,n2,trotter_step,time,I_n,I_2n,D_n
16,1,2,0,0.0,0.0,0.0,0.0
16,1,2,1,0.1,1.95493735190011e-05,1.9508317847360956e-05,4.105567164014445e-08
16,1,2,2,0.2,0.00024154870997195044,0.00029515997652418413,5.3611266552233694e-05
16,1,2,3,0.30000000000000004,0.00037186763082497354,0.000447710891619324,7.584326079435044e-05
16,1,2,4,0.4,0.00040009523095940747,0.00044799063330203115,4.789540234262368e-05
16,1,2,5,0.5,0.0005215413067840569,0.0005424539001812612,2.0912593397204304e-05
16,1,2,6,0.6000000000000001,0.0007406072397240226,0.0008496750333423231,0.00010906779361830043
16,1,2,7,0.7000000000000001,0.001409890343251452,0.001555389127713469,0.00014549878446201703
16,1,2,8,0.8,0.002999123298941697,0.0029832697548166642,1.5853544125032926e-05
16,1,2,9,0.9,0.007179793252777067,0.006099342800739316,0.0010804504520377511
16,1,2,10,1.0,0.015976682697754097,0.013049022266561239,0.002927660431192858
16,1,2,11,1.1,0.03141684215909524,0.025648828213407304,0.005768013945687933
16,1,2,12,1.2000000000000002,0.05402799029155836,0.04402842875058499,0.009999561540973367
16,1,2,13,1.3,0.08182745006386904,0.06676213041803192,0.015065319645837127
16,1,2,14,1.4000000000000001,0.11249327686746713,0.09311073428156735,0.019382542585899776
16,1,2,15,1.5,0.14337859510463602,0.12129448686106648,0.022084108243569545
16,2,4,0,0.0,0.0,0.0,0.0
16,2,4,1,0.1,1.9508317847360956e-05,1.945588512552998e-05,5.2432721830975026e-08
16,2,4,2,0.2,0.00029515997652418413,0.00029145955080966957,3.700425714514566e-06
16,2,4,3,0.30000000000000004,0.000447710891619324,0.0004294433413239984,1.8267550295325563e-05
16,2,4,4,0.4,0.00044799063330203115,0.0004620379114853579,1.4047278183326739e-05
16,2,4,5,0.5,0.0005424539001812612,0.0005667243896423368,2.4270489461075684e-05
16,2,4,6,0.6000000000000001,0.0008496750333423231,0.0008676909694663726,1.8015936124049503e-05
16,2,4,7,0.7000000000000001,0.001555389127713469,0.0014872658563532815,6.812327136018759e-05
16,2,4,8,0.8,0.0029832697548166642,0.0028190134073093898,0.00016425634750727447
16,2,4,9,0.9,0.006099342800739316,0.0055753920277387126,0.0005239507730006032
16,2,4,10,1.0,0.013049022266561239,0.0114424672491098,0.0016065550174514387
16,2,4,11,1.1,0.025648828213407304,0.022551640908769377,0.0030971873046379272
16,2,4,12,1.2000000000000002,0.04402842875058499,0.03847650482401521,0.0055519239265697795
16,2,4,13,1.3,0.06676213041803192,0.05817091969835819,0.008591210719673725
16,2,4,14,1.4000000000000001,0.09311073428156735,0.08266191543266077,0.010448818848906583
16,2,4,15,1.5,0.12129448686106648,0.11231246474581158,0.008982022115254895
16,4,8,0,0.0,0.0,0.0,0.0
16,4,8,1,0.1,1.945588512552998e-05,1.9411872780650263e-05,4.401234487971806e-08
16,4,8,2,0.2,0.00029145955080966957,0.0002888740782225341,2.5854725871354844e-06
16,4,8,3,0.30000000000000004,0.0004294433413239984,0.0005528999040487204,0.00012345656272472194
16,4,8,4,0.4,0.0004620379114853579,0.0005586018429006856,9.656393141532771e-05
16,4,8,5,0.5,0.0005667243896423368,0.000776873266977729,0.00021014887733539211
16,4,8,6,0.6000000000000001,0.0008676909694663726,0.0013747024688516296,0.000507011499385257
16,4,8,7,0.7000000000000001,0.0014872658563532815,0.002489849926302856,0.0010025840699495747
16,4,8,8,0.8,0.0028190134073093898,0.004172447265728296,0.0013534338584189065
16,4,8,9,0.9,0.0055753920277387126,0.007235507430671695,0.0016601154029329823
16,4,8,10,1.0,0.0114424672491098,0.013025905373176494,0.001583438124066694
16,4,8,11,1.1,0.022551640908769377,0.02377469636408558,0.001223055455316202
16,4,8,12,1.2000000000000002,0.03847650482401521,0.0391958044487819,0.0007192996247666894
16,4,8,13,1.3,0.05817091969835819,0.0577720310784976,0.00039888861986059343
16,4,8,14,1.4000000000000001,0.08266191543266077,0.0793938514532544,0.003268063979406377
16,4,8,15,1.5,0.11231246474581158,0.10494714453221787,0.007365320213593707
16,8,16,0,0.0,0.0,0.0,0.0
16,8,16,1,0.1,1.9411872780650263e-05,1.9411867385410453e-05,5.395239810468411e-12
16,8,16,2,0.2,0.0002888740782225341,0.0003012842298707463,1.2410151648212242e-05
16,8,16,3,0.30000000000000004,0.0005528999040487204,0.0006364070203165317,8.350711626781138e-05
16,8,16,4,0.4,0.0005586018429006856,0.0006472278328154557,8.862598991477011e-05
16,8,16,5,0.5,0.000776873266977729,0.0008327626654215381,5.5889398443809135e-05
16,8,16,6,0.6000000000000001,0.0013747024688516296,0.0012975043802965214,7.719808855510824e-05
16,8,16,7,0.7000000000000001,0.002489849926302856,0.0020599185268148634,0.00042993139948799275
16,8,16,8,0.8,0.004172447265728296,0.0034199479344919625,0.0007524993312363337
16,8,16,9,0.9,0.007235507430671695,0.006156926873777557,0.0010785805568941376
16,8,16,10,1.0,0.013025905373176494,0.01099200445245907,0.002033900920717424
16,8,16,11,1.1,0.02377469636408558,0.019245114496208693,0.004529581867876886
16,8,16,12,1.2000000000000002,0.0391958044487819,0.03153497286670559,0.007660831582076311
16,8,16,13,1.3,0.0577720310784976,0.0480704387371792,0.009701592341318399
16,8,16,14,1.4000000000000001,0.0793938514532544,0.07028471894654642,0.009109132506707973
