chi_max,comparison,n_eps_low,n_eps_high,converged,detail,verdict,converged_reference_n,tdvp_substeps,peak_param_count_final,failed_any
16,n2_vs_n4,9,9,0,infidelity disagree at step 8: 2.983270e-03 vs 2.819013e-03,,,,,
16,n4_vs_n8,9,9,0,infidelity disagree at step 3: 4.294433e-04 vs 5.528999e-04,,,,,
16,n8_vs_n16,9,9,0,infidelity disagree at step 7: 2.489850e-03 vs 2.059919e-03,,,,,
16,n1_vs_reference,9,,0,No converged reference (infidelity disagree at step 7: 2.489850e-03 vs 2.059919e-03),FAIL,,,,
16,n_eps_n1,9,,,"nε(χ=16, n=1)=9",,,1,4776,0
16,n_eps_n2,9,,,"nε(χ=16, n=2)=9",,,2,4776,0
16,n_eps_n4,9,,,"nε(χ=16, n=4)=9",,,4,4776,0
16,n_eps_n8,9,,,"nε(χ=16, n=8)=9",,,8,4776,0
16,n_eps_n16,9,,,"nε(χ=16, n=16)=9",,,16,4776,0
32,n2_vs_n4,13,13,0,infidelity disagree at step 10: 1.821203e-03 vs 1.668873e-03,,,,,
32,n4_vs_n8,13,13,0,infidelity disagree at step 3: 4.295207e-04 vs 5.528172e-04,,,,,
32,n8_vs_n16,13,13,1,converged (nε=13),,,,,
32,n1_vs_n8,12,13,0,FAIL: nε mismatch: 12 vs 13,FAIL,8,,,
32,n_eps_n1,12,,,"nε(χ=32, n=1)=12",,,1,15016,0
32,n_eps_n2,13,,,"nε(χ=32, n=2)=13",,,2,15016,0
32,n_eps_n4,13,,,"nε(χ=32, n=4)=13",,,4,15016,0
32,n_eps_n8,13,,,"nε(χ=32, n=8)=13",,,8,15016,0
32,n_eps_n16,13,,,"nε(χ=32, n=16)=13",,,16,15016,0
64,n2_vs_n4,15,15,0,infidelity disagree at step 12: 1.393175e-03 vs 1.286001e-03,,,,,
64,n4_vs_n8,15,15,0,infidelity disagree at step 3: 4.295207e-04 vs 5.528172e-04,,,,,
64,n8_vs_n16,15,15,0,infidelity disagree at step 10: 6.699991e-04 vs 7.720098e-04,,,,,
64,n1_vs_reference,15,,0,No converged reference (infidelity disagree at step 10: 6.699991e-04 vs 7.720098e-04),FAIL,,,,
64,n_eps_n1,15,,,"nε(χ=64, n=1)=15",,,1,43688,0
64,n_eps_n2,15,,,"nε(χ=64, n=2)=15",,,2,43688,0
64,n_eps_n4,15,,,"nε(χ=64, n=4)=15",,,4,43688,0
64,n_eps_n8,15,,,"nε(χ=64, n=8)=15",,,8,43688,0
64,n_eps_n16,15,,,"nε(χ=64, n=16)=15",,,16,43688,0
