time,noiseless_z,single_site_x_noise_z,single_site_x_and_nn_xx_noise_z
0.0,1.0000000000,1.0000000000,1.0000000000
0.1,0.9950041653,0.9651551404,0.9054548122
0.2,0.9808494208,0.8827696544,0.8337309969
0.3,0.9598577877,0.8254835550,0.7390456425
0.4,0.9353553213,0.7856471275,0.6265139313
0.5,0.9109967202,0.7557690359,0.6098262653
0.6,0.8900608392,0.7372583562,0.5690645530
0.7,0.8747906051,0.7216703640,0.5563357219
0.8,0.8662027693,0.6669691873,0.4880907349
0.9,0.8640224463,0.6248267554,0.4249061793
1.0,0.8667590562,0.6110552623,0.4090298537
