model,method,chi_max,trotter_step,time,infidelity,fidelity,state_norm,phase_aligned_distance,current_max_bond,peak_max_bond,param_count,memory_bytes,step_runtime_s,cumulative_runtime_s,discarded_weight_step,compression_residual_step,variational_init,variational_converged,variational_sweeps,failed,failure_message
heisenberg,hybrid_tdvp,32.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,32.0,512.0,0.0,0.0,0.0,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,1.0,0.1,0.021553967830704734,0.9784460321692953,0.9999999452888262,0.14721202399455507,32.0,32.0,15016.0,240256.0,211.33533844200429,209.4525390760973,0.00046868400024344917,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,2.0,0.2,0.027993790921860162,0.9720062090781398,1.0000000000000004,0.16790620928688726,32.0,32.0,15016.0,240256.0,368.93006405595224,577.4523939899518,0.004237323357806806,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,3.0,0.30000000000000004,0.07370174857235212,0.9262982514276479,1.0000000000000007,0.2740660679094071,32.0,32.0,15016.0,240256.0,347.04224184696795,923.4079502525274,0.011560626263184347,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,4.0,0.4,0.18294465646840186,0.8170553435315981,1.0000000000000004,0.43838080029527154,32.0,32.0,15016.0,240256.0,298.1214026280213,1220.3932481820812,0.01928884139982631,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,5.0,0.5,0.3152862475454492,0.6847137524545508,1.0000000000000007,0.5874107228739045,32.0,32.0,15016.0,240256.0,297.3169296910055,1516.5345642644097,0.024066133789369403,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,6.0,0.6000000000000001,0.4256627047253273,0.5743372952746727,1.0000000000000016,0.6959160238556479,32.0,32.0,15016.0,240256.0,262.0348072980414,1777.8366527840844,0.026487466106282498,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,7.0,0.7000000000000001,0.5046316340581156,0.4953683659418843,1.0000000000000007,0.7696439416202098,32.0,32.0,15016.0,240256.0,254.65007759002037,2031.7916865063016,0.027482776683816563,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,8.0,0.8,0.5571719914220712,0.44282800857792887,1.0,0.8179813745369743,32.0,32.0,15016.0,240256.0,254.77520210301736,2285.7547786565265,0.027519173254663132,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,9.0,0.9,0.5959701543589657,0.4040298456410342,1.0000000000000004,0.853658689638362,32.0,32.0,15016.0,240256.0,251.6970542659983,2536.606367165805,0.027263557314958418,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,10.0,1.0,0.6313241731506513,0.36867582684934874,1.0,0.8863556692464646,32.0,32.0,15016.0,240256.0,225.49213977804175,2761.737819107948,0.02741456318905911,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,11.0,1.1,0.6592998108211875,0.3407001891788125,1.0000000000000004,0.912474341608314,32.0,32.0,15016.0,240256.0,145.44512923801085,2906.474610154517,0.027358906271312655,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,12.0,1.2000000000000002,0.6801758114806977,0.3198241885193022,1.0000000000000007,0.9321695052548905,32.0,32.0,15016.0,240256.0,141.44388196599903,3047.121923550614,0.027484225383596805,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,13.0,1.3,0.6982512234105478,0.30174877658945215,1.0000000000000009,0.9494033441008768,32.0,32.0,15016.0,240256.0,150.01831016299548,3196.577163258393,0.028010587246888444,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,14.0,1.4000000000000001,0.7109936615247421,0.28900633847525786,1.0000000000000009,0.9616724000449218,32.0,32.0,15016.0,240256.0,153.75735479296418,3349.7894668686204,0.028118141579663983,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,15.0,1.5,0.7228278024442473,0.27717219755575273,1.0000000000000004,0.9731685780034833,32.0,32.0,15016.0,240256.0,143.2628958389978,3492.7670610878267,0.02769327697122583,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,16.0,1.6,0.7393668327707776,0.26063316722922236,0.9999999999999998,0.9894216033899776,32.0,32.0,15016.0,240256.0,155.2067473740317,3647.287815732532,0.028103250739466158,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,17.0,1.7000000000000002,0.7585397268689759,0.24146027313102417,1.0,1.008577142910203,32.0,32.0,15016.0,240256.0,159.14106020895997,3805.854394216556,0.028703332635995886,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,18.0,1.8,0.7759357938894581,0.22406420611054192,1.0000000000000002,1.026299948482473,32.0,32.0,15016.0,240256.0,154.76767806499265,3960.0540418296005,0.028797885670042433,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,19.0,1.9000000000000001,0.7851728431946873,0.21482715680531272,1.0000000000000004,1.0358624371116716,32.0,32.0,15016.0,240256.0,155.5530420889845,4115.128060257761,0.028964451021402226,0.0,,,,0.0,
heisenberg,hybrid_tdvp,32.0,20.0,2.0,0.7851548026128982,0.2148451973871018,1.0000000000000009,1.0358436496248404,32.0,32.0,15016.0,240256.0,156.36157305602683,4270.964733606554,0.02942103978433083,0.0,,,,0.0,
