method,chi_max,time,infidelity,state_norm,peak_max_bond,current_max_bond,peak_param_count,peak_memory_bytes,discarded_weight,step_runtime_s,tdvp_substeps,failed,failure_message,source
hybrid_tdvp,2,0.1,0.286008019430696,1.0000000000000007,2,2,120,1920,0.03177982054550746,1.0347546850098297,4,0,,heisenberg_one_step_dense
hybrid_tdvp,4,0.1,0.15984270902703435,0.9999999999999993,4,4,424,6784,0.016070680541613612,1.3925858730217442,4,0,,heisenberg_one_step_dense
hybrid_tdvp,8,0.1,0.06169244129073714,1.0000000000000007,8,8,1448,23168,0.006257028291717846,2.6750808500219136,4,0,,heisenberg_one_step_dense
hybrid_tdvp,12,0.1,0.021391587887365282,0.9999999999999994,12,12,2856,45696,0.004773909520008192,3.569433878059499,4,0,,heisenberg_one_step_dense
hybrid_tdvp,16,0.1,0.019825206912670312,1.0000000000000007,16,16,4776,76416,0.0019576149897587228,2.777260399889201,4,0,,heisenberg_one_step_n4
hybrid_tdvp,24,0.1,0.016815874152562804,0.9999999222279211,24,24,9128,146048,0.0008348905918894948,3.7872566690202802,4,0,,heisenberg_one_step_dense
hybrid_tdvp,32,0.1,0.016446986369509586,0.9999999695982021,32,32,15016,240256,0.0005667879814320804,36.20169369201176,4,0,,heisenberg_one_step_n4
hybrid_tdvp,48,0.1,0.016399234503185922,0.9999999972238037,48,48,27304,436864,0.0002517990747748118,125.08315624191891,4,0,,heisenberg_one_step_dense
hybrid_tdvp,64,0.1,0.016338452917727397,0.9999999996275439,64,64,43496,699008,8.070808714118938e-05,188.08557807700709,4,0,,heisenberg_one_step_n4
hybrid_tdvp,96,0.1,0.016216144043093572,0.9999999999743746,96,96,71530,1144480,8.335588085149602e-07,265.1488629919477,4,0,,heisenberg_one_step_dense
hybrid_tdvp,128,0.1,0.016226048918176472,0.9999999962090232,126,113,79784,1374720,2.265938570431875e-11,282.157313624979,4,0,,heisenberg_one_step_n4
mpo_zipup,2,0.1,0.9963274873648099,3.3303989326843186e-06,2,2,112,1920,18.327941093917804,0.17229246406350285,,0,,heisenberg_one_step_dense
mpo_zipup,4,0.1,0.9999881647987092,0.0021166682897860493,4,4,400,6784,9.129338591121194,0.16218427696730942,,0,,heisenberg_one_step_dense
mpo_zipup,8,0.1,0.2645890676611752,0.9482409478310634,8,8,1448,24448,0.11682060728687342,0.1746015549870208,,0,,heisenberg_one_step_dense
mpo_zipup,12,0.1,0.24297333956708844,0.9276438446511756,12,12,2856,49536,0.2449919828013567,0.20630770095158368,,0,,heisenberg_one_step_dense
mpo_zipup,16,0.1,0.12918985169800135,0.9747086032138355,16,16,4776,83840,0.050140452893816495,0.23084487300366163,,0,,heisenberg_one_step
mpo_zipup,24,0.1,0.15799565688020512,0.9423760503696321,24,24,9128,163712,0.19359635837156006,0.4419719750294462,,0,,heisenberg_one_step_dense
mpo_zipup,32,0.1,0.08945708068144842,0.9590674143431481,32,32,15016,240256,0.23686866663404263,271.9323680429952,,0,,main
mpo_zipup,48,0.1,0.04258391227188196,0.9821560007351632,48,48,27304,540288,0.11281347767094402,30.15783168305643,,0,,heisenberg_one_step_dense
mpo_zipup,64,0.1,0.046657431816297334,0.9750619595521254,64,64,43688,908928,0.10537818289250539,35.7026506800903,,0,,main
mpo_zipup,96,0.1,0.0044908363346749525,0.9964374011116492,96,96,80552,1695360,0.02690987920127223,46.17006819602102,,0,,heisenberg_one_step_dense
mpo_zipup,128,0.1,0.0012743675002209187,0.999267855058714,128,128,129704,2743936,0.007463324081151545,40.073261097073555,,0,,heisenberg_one_step
tebd_swap,2,0.1,0.532777849938614,0.8793036484675381,2,2,120,1920,0.19734713449899305,0.105957978987135,,0,,heisenberg_one_step_dense
tebd_swap,4,0.1,0.4209261075048677,0.894078171848536,4,4,424,6784,0.241523151826242,0.13314475095830858,,0,,heisenberg_one_step_dense
tebd_swap,8,0.1,0.36172137672143867,0.8803981445750811,8,8,1448,23168,0.696932442717946,0.4769984809681773,,0,,main
tebd_swap,12,0.1,0.28644316749698695,0.8915261094050905,12,12,2856,45696,0.5683207174506777,0.13121885305736214,,0,,heisenberg_one_step_dense
tebd_swap,16,0.1,0.22968457621180172,0.9180369072974354,16,16,4776,76416,0.427322038430672,0.15415121999103576,,0,,heisenberg_one_step
tebd_swap,24,0.1,0.23127663517089936,0.9081369836958038,24,24,9128,146048,0.43971215158199867,0.20177353301551193,,0,,heisenberg_one_step_dense
tebd_swap,32,0.1,0.12831663997927611,0.9281416390973524,32,32,15016,240256,0.5305508841486948,26.912406250019558,,0,,main
tebd_swap,48,0.1,0.08441304818794193,0.954968968312906,48,48,27304,436864,0.44869343273945883,17.792639576015063,,0,,heisenberg_one_step_dense
tebd_swap,64,0.1,0.04398971161381304,0.9828637147329602,64,64,43688,699008,0.3846096173016997,19.45276242599357,,0,,main
tebd_swap,96,0.1,0.03268589665893129,0.9810582984953431,96,96,72360,1157760,0.2633568476223253,17.71749909897335,,0,,heisenberg_one_step_dense
tebd_swap,128,0.1,0.0010222780159344635,0.9994941757570448,128,128,109224,1747584,0.11305417798478647,27.93326448102016,,0,,heisenberg_one_step
