model,method,chi_max,tdvp_substeps,peak_max_bond,peak_param_count,cumulative_runtime_s,T_eps,n_eps,last_reliable_time,first_crossing_time,first_crossing_step,crossed,right_censored,max_simulated_time,epsilon
ising,hybrid_tdvp,2,2,2,120,0.832863405754324,0.30000000000000004,3,0.30000000000000004,0.4,4,1,0,0.4,0.01
ising,hybrid_tdvp,4,2,4,424,1.1446485557826236,0.30000000000000004,3,0.30000000000000004,0.4,4,1,0,0.4,0.01
ising,hybrid_tdvp,8,2,8,1448,3.632557549746707,0.5,5,0.5,0.6000000000000001,6,1,0,0.6000000000000001,0.01
ising,hybrid_tdvp,12,2,12,2856,5.054482025559992,0.8,8,0.8,0.9,9,1,0,0.9,0.01
ising,hybrid_tdvp,16,2,16,4776,7.373331807029899,0.9,9,0.9,1.0,10,1,0,1.0,0.01
ising,hybrid_tdvp,24,2,24,9128,16.75092031469103,1.1,11,1.1,1.2000000000000002,12,1,0,1.2000000000000002,0.01
ising,hybrid_tdvp,32,2,32,15016,371.8352808362688,1.3,13,1.3,1.4000000000000001,14,1,0,3.0,0.01
ising,hybrid_tdvp,48,2,48,27304,609.6720104700653,1.4000000000000001,14,1.4000000000000001,1.5,15,1,0,1.5,0.01
ising,hybrid_tdvp,64,2,64,43688,1340.085134222987,1.7000000000000002,17,1.7000000000000002,1.8,18,1,0,1.8,0.01
ising,tebd_swap,2,2,2,120,0.09500928485067561,0.2,2,0.2,0.30000000000000004,3,1,0,0.30000000000000004,0.01
ising,tebd_swap,4,2,4,424,0.10086380178108811,0.2,2,0.2,0.30000000000000004,3,1,0,0.30000000000000004,0.01
ising,tebd_swap,8,2,8,1448,0.09579951671184972,0.1,1,0.1,0.2,2,1,0,0.2,0.01
ising,tebd_swap,12,2,12,2856,0.09144429786829278,0.1,1,0.1,0.2,2,1,0,0.2,0.01
ising,tebd_swap,16,2,16,4776,0.14989944302942604,0.2,2,0.2,0.30000000000000004,3,1,0,0.30000000000000004,0.01
