model,method,chi_max,trotter_step,time,infidelity,fidelity,state_norm,norm_drift,phase_aligned_distance,current_max_bond,peak_max_bond,param_count,memory_bytes,peak_param_count,peak_memory_bytes,step_runtime_s,cumulative_runtime_s,discarded_weight_step,compression_residual_step,tdvp_substeps,variational_init,variational_converged,variational_sweeps,failed,failure_message
ising,hybrid_tdvp,2,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,hybrid_tdvp,2,1,0.1,8.303654546681916e-05,0.9999169634545332,1.0000000000000007,6.661338147750939e-16,0.00911253363810794,2,2,120,1920,120,1920,0.17792290291981772,0.17792290291981772,7.065853330321337e-05,0.0,2,,,,0,
ising,hybrid_tdvp,2,2,0.2,0.0015761040888712108,0.9984238959111288,1.0000000000000013,1.3322676295501878e-15,0.03970800429108455,2,2,120,1920,120,1920,0.20406928786542267,0.3819921907852404,0.00033499348997292547,0.0,2,,,,0,
ising,hybrid_tdvp,2,3,0.30000000000000004,0.00990198286229338,0.9900980171377066,0.9999999999999999,1.1102230246251565e-16,0.09963241086626211,2,2,120,1920,120,1920,0.22644934174604714,0.6084415325312875,0.0008281347022061458,0.0,2,,,,0,
ising,hybrid_tdvp,2,4,0.4,0.03396399729861033,0.9660360027013897,0.9999999999999994,5.551115123125783e-16,0.18508751843963528,2,2,120,1920,120,1920,0.22442187322303653,0.832863405754324,0.0014810024560770582,0.0,2,,,,0,
ising,tebd_swap,2,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,tebd_swap,2,1,0.1,0.00031031511665902123,0.999689684883341,0.9998275248430791,0.00017247515692087045,0.017616446697982426,2,2,120,1920,120,1920,0.03168492572149262,0.03168492572149262,0.000444779260711079,0.0,2,,,,0,
ising,tebd_swap,2,2,0.2,0.007826882102650812,0.9921731178973492,0.9980864956789289,0.001913504321071069,0.08855652066758717,2,2,120,1920,120,1920,0.031559657072648406,0.06324458279414102,0.004305324998129112,0.0,2,,,,0,
ising,tebd_swap,2,3,0.30000000000000004,0.041786367239884825,0.9582136327601152,0.9927578214463679,0.007242178553632073,0.2055048859441858,2,2,120,1920,120,1920,0.03176470205653459,0.09500928485067561,0.011774536455214858,0.0,2,,,,0,
ising,mpo_zipup,2,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,mpo_zipup,2,1,0.1,0.00012535860201612348,0.9998746413979839,0.9999360503705075,6.394962949252125e-05,0.01119654102664468,2,2,112,1792,112,1792,0.07977938605472445,0.07977938605472445,0.00016646686667457473,0.0,2,,,,0,
ising,mpo_zipup,2,2,0.2,0.002325847628833033,0.997674152371167,0.9994955573007183,0.0005044426992817375,0.04824107788646437,2,2,120,1920,120,1920,0.07851074117934331,0.15829012723406777,0.0010136202506349757,0.0,2,,,,0,
ising,mpo_zipup,2,3,0.30000000000000004,0.013723523038641217,0.9862764769613588,0.9980547168617208,0.0019452831382792413,0.11734961732104286,2,2,120,1920,120,1920,0.08407379011623561,0.24236391735030338,0.003064436389270824,0.0,2,,,,0,
ising,hybrid_tdvp,4,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,hybrid_tdvp,4,1,0.1,1.950835662756223e-05,0.9999804916433724,0.9999999999967366,3.263389558583185e-12,0.00441683730425275,4,4,216,3456,216,3456,0.20231004094239324,0.20231004094239324,6.585416873117959e-12,0.0,2,,,,0,
ising,hybrid_tdvp,4,2,0.2,0.00046764127318787985,0.9995323587268121,1.0000000000000002,2.220446049250313e-16,0.021626279339351885,4,4,412,6592,424,6784,0.2611550411093049,0.4634650820516981,0.0001397432960007568,0.0,2,,,,0,
ising,hybrid_tdvp,4,3,0.30000000000000004,0.003964633519051075,0.9960353664809489,1.0000000000000002,2.220446049250313e-16,0.0629965944144018,4,4,424,6784,424,6784,0.3463711909134872,0.8098362729651853,0.0005183796466462853,0.0,2,,,,0,
ising,hybrid_tdvp,4,4,0.4,0.016237388029318955,0.983762611970681,0.9999999999999997,3.3306690738754696e-16,0.12768649828402384,4,4,424,6784,424,6784,0.33481228281743824,1.1446485557826236,0.0015257176647916427,0.0,2,,,,0,
ising,tebd_swap,4,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,tebd_swap,4,1,0.1,0.0003270309605748478,0.9996729690394252,0.9998194049255097,0.00018059507449030843,0.01808473672074619,4,4,424,6784,424,6784,0.032619563571643084,0.032619563571643084,0.0006275834889850415,0.0,2,,,,0,
ising,tebd_swap,4,2,0.2,0.009534087306637073,0.9904659126933629,0.9968781994155514,0.003121800584448553,0.09775950588738833,4,4,424,6784,424,6784,0.03408171597402543,0.06670127954566851,0.00912706705854534,0.0,2,,,,0,
ising,tebd_swap,4,3,0.30000000000000004,0.05027389426834872,0.9497261057316513,0.9887754373370524,0.01122456266294758,0.22565939130837678,4,4,424,6784,424,6784,0.0341625222354196,0.10086380178108811,0.032237318082035504,0.0,2,,,,0,
ising,mpo_zipup,4,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,mpo_zipup,4,1,0.1,0.00010088350737325058,0.9998991164926267,0.9999495569739381,5.044302606194151e-05,0.01004420489006379,4,4,424,6784,424,6784,0.0793646055390127,0.0793646055390127,7.777386443223075e-05,0.0,2,,,,0,
