model,method,chi_max,trotter_step,time,infidelity,fidelity,state_norm,norm_drift,phase_aligned_distance,current_max_bond,peak_max_bond,param_count,memory_bytes,peak_param_count,peak_memory_bytes,step_runtime_s,cumulative_runtime_s,discarded_weight_step,compression_residual_step,tdvp_substeps,variational_init,variational_converged,variational_sweeps,failed,failure_message
ising,hybrid_tdvp,32,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,hybrid_tdvp,32,1,0.1,1.950831794639285e-05,0.9999804916820536,1.0000000000000253,2.531308496145357e-14,0.0044168329253232285,7,7,264,4224,264,4224,0.1812465725815855,0.1812465725815855,1.7264563646089748e-18,0.0,2,,,,0,
ising,hybrid_tdvp,32,2,0.2,0.0002951599765399493,0.99970484002346,0.9999999999992146,7.853717676198357e-13,0.01718085444940196,13,13,1488,23808,1488,23808,0.37607661756919697,0.5573231901507825,1.6495566627329093e-12,0.0,2,,,,0,
ising,hybrid_tdvp,32,3,0.30000000000000004,0.00044736968938574595,0.9995526303106143,0.9999999999733399,2.666011855723127e-11,0.021152298586474803,21,26,6514,104224,8064,129024,0.5967481151456013,1.1540713052963838,6.302239914927721e-12,0.0,2,,,,0,
ising,hybrid_tdvp,32,4,0.4,0.00044734135206248027,0.9995526586479375,0.9999999999982535,1.7464918400378338e-12,0.02115162858570057,32,32,13124,209984,13608,217728,1.3348166266805492,2.488887931976933,3.05523191620965e-08,0.0,2,,,,0,
ising,hybrid_tdvp,32,5,0.5,0.0004482857140379881,0.999551714285962,0.9999999966777677,3.322232267066738e-09,0.02117394543587263,32,32,14728,235648,15016,240256,8.367255086894147,10.85614301887108,5.661694472934824e-05,0.0,2,,,,0,
ising,tebd_swap,32,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,tebd_swap,32,1,0.1,-9.325873406851315e-15,1.0000000000000093,1.000000000000001,1.1102230246251565e-15,1.0321174407473645e-14,16,16,4776,76416,4776,76416,0.03436136071104556,0.03436136071104556,3.435604010133862e-30,0.0,2,,,,0,
ising,tebd_swap,32,2,0.2,0.000858719822028009,0.999141280177972,0.999497422941619,0.0005025770583809708,0.029307068279763957,32,32,15016,240256,15016,240256,0.1277390393661335,0.16210040007717907,0.0066670243576954485,0.0,2,,,,0,
ising,tebd_swap,32,3,0.30000000000000004,0.019379812075684066,0.9806201879243159,0.9871601919525252,0.012839808047474754,0.1395515222178562,32,32,15016,240256,15016,240256,0.2132390522165224,0.37533945229370147,0.33311421300340344,0.0,2,,,,0,
ising,tebd_swap,32,4,0.4,0.05986251317518376,0.9401374868248162,0.9666917558454208,0.033308244154579225,0.24654868765854435,32,32,15016,240256,15016,240256,0.1745773099246435,0.549916762218345,0.3430647018273389,0.0,2,,,,0,
ising,tebd_swap,32,5,0.5,0.1302095386751847,0.8697904613248153,0.9453328332772349,0.05466716672276506,0.36708153311041414,32,32,15016,240256,15016,240256,0.17028843198204413,0.7202051942003891,0.303003794952724,0.0,2,,,,0,
ising,mpo_zipup,32,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,mpo_zipup,32,1,0.1,-1.7763568394002505e-15,1.0000000000000018,0.9999999999999998,2.220446049250313e-16,4.5872861104482045e-08,11,14,2396,38336,2396,38336,0.10124410927528515,0.10124410927528515,2.104320561700768e-15,0.0,2,,,,0,
ising,mpo_zipup,32,2,0.2,3.433031636745909e-12,0.999999999996567,0.9999999999991346,8.654188476953095e-13,1.8521913196014798e-06,19,22,5704,91264,5704,91264,0.10456488275667652,0.20580899203196168,1.7325077480309725e-12,0.0,2,,,,0,
ising,mpo_zipup,32,3,0.30000000000000004,2.514952690546579e-10,0.9999999997485047,0.999999999876578,1.2342205035764664e-10,1.5858565733819586e-05,30,32,11448,183168,11448,183168,0.684080833918415,0.8898898259503767,5.833018729043671e-11,0.0,2,,,,0,
ising,mpo_zipup,32,4,0.4,3.5487725091876143e-08,0.9999999645122749,0.999999985848517,1.4151482985447217e-08,0.00018838186285403879,32,32,14440,231040,14760,236160,3.4460883691790514,4.335978195129428,1.932907678345403e-05,0.0,2,,,,0,
ising,mpo_zipup,32,5,0.5,2.5421661430380382e-06,0.999997457833857,0.9999992472135043,7.527864956946573e-07,0.0015944176862549631,32,32,15016,240256,15016,240256,4.397130953031592,8.73310914816102,4.621056800765277e-05,0.0,2,,,,0,
