model,method,chi_max,trotter_step,time,infidelity,fidelity,state_norm,norm_drift,phase_aligned_distance,current_max_bond,peak_max_bond,param_count,memory_bytes,peak_param_count,peak_memory_bytes,step_runtime_s,cumulative_runtime_s,discarded_weight_step,compression_residual_step,tdvp_substeps,variational_init,variational_converged,variational_sweeps,failed,failure_message
ising,variational_mpo,32,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,variational_mpo,32,1,0.1,0.0021053861573724353,0.9978946138426276,1.0,0.0,0.04589657381749129,7,7,536,8576,536,8576,12.099013084138278,12.099013084138278,0.0,3.3306690738754696e-15,2,zipup,True,0,1,residual increased at full sweep 2: 4.024e-06 -> 4.024e-06
heisenberg,variational_mpo,2,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,2,1,0.1,0.27571355083332416,0.7242864491666758,1.0,0.0,0.5458017888025699,2,2,120,1920,120,1920,101.04596923204372,101.04596923204372,0.0,0.08006288931395189,2,zipup,True,1,1,residual increased at full sweep 2: 2.499e-03 -> 2.499e-03
heisenberg,variational_mpo,4,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,4,1,0.1,0.28509600341569774,0.7149039965843023,1.0,0.0,0.5558417826163604,4,4,424,6784,424,6784,38.12451826693723,38.12451826693723,0.0,0.01574490359020464,2,zipup,True,0,1,residual increased at full sweep 2: 6.216e-06 -> 6.217e-06
heisenberg,variational_mpo,8,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,8,1,0.1,0.28557974736245295,0.714420252637547,1.0000000000000002,2.220446049250313e-16,0.5563562798364933,8,8,1448,23168,1448,23168,42.20068324590102,42.20068324590102,0.0,0.00012850456341872984,2,zipup,True,1,1,residual increased at full sweep 2: 2.499e-03 -> 2.499e-03
heisenberg,variational_mpo,12,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,12,1,0.1,0.24223466763076784,0.7577653323692322,0.9999999999999999,1.1102230246251565e-16,0.5089259761612253,12,12,2856,45696,2856,45696,62.55193241790403,62.55193241790403,0.0,4.8726818360211865e-06,2,zipup,True,1,1,residual increased at full sweep 2: 5.759e-07 -> 5.760e-07
heisenberg,variational_mpo,16,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,16,1,0.1,0.3722633308349026,0.6277366691650974,1.0,0.0,0.6445178879483838,16,16,4776,76416,4776,76416,30.5674394920934,30.5674394920934,0.0,4.9252124600940306e-09,2,zipup,True,1,1,residual increased at full sweep 3: 2.286e-08 -> 2.296e-08
heisenberg,variational_mpo,24,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,24,1,0.1,0.3799225387550087,0.6200774612449913,1.0,0.0,0.6519969726851798,24,24,5288,84608,5288,84608,27.29401963914279,27.29401963914279,0.0,4.316325075137684e-12,2,zipup,True,1,1,residual increased at full sweep 2: 2.589e-11 -> 1.469e-10
heisenberg,variational_mpo,32,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,32,1,0.1,0.3799225350376598,0.6200774649623402,1.0,0.0,0.6519969690649622,27,27,5480,87680,5480,87680,26.983359403908253,26.983359403908253,0.0,2.2426505097428162e-14,2,zipup,True,1,1,residual increased at full sweep 2: 2.160e-11 -> 1.426e-10
heisenberg,variational_mpo,48,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,48,1,0.1,0.3799225350376598,0.6200774649623402,1.0,0.0,0.6519969690649622,27,27,5480,87680,5480,87680,48.50408065703232,48.50408065703232,0.0,2.2426505097428162e-14,2,zipup,True,1,1,residual increased at full sweep 2: 2.160e-11 -> 1.426e-10
heisenberg,variational_mpo,64,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,64,1,0.1,0.3799225350376598,0.6200774649623402,1.0,0.0,0.6519969690649622,27,27,5480,87680,5480,87680,45.27991159289377,45.27991159289377,0.0,2.2426505097428162e-14,2,zipup,True,1,1,residual increased at full sweep 2: 2.160e-11 -> 1.426e-10
heisenberg,variational_mpo,96,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,96,1,0.1,0.3799225350376598,0.6200774649623402,1.0,0.0,0.6519969690649622,27,27,5480,87680,5480,87680,40.70255752722733,40.70255752722733,0.0,2.2426505097428162e-14,2,zipup,True,1,1,residual increased at full sweep 2: 2.160e-11 -> 1.426e-10
heisenberg,variational_mpo,128,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
heisenberg,variational_mpo,128,1,0.1,0.3799225350376598,0.6200774649623402,1.0,0.0,0.6519969690649622,27,27,5480,87680,5480,87680,44.51140029914677,44.51140029914677,0.0,2.2426505097428162e-14,2,zipup,True,1,1,residual increased at full sweep 2: 2.160e-11 -> 1.426e-10
