method,chi_max,tau,T_eps,n_eps,crossed,right_censored,peak_actual_chi,peak_param_count,runtime_s,total_discarded_weight,n_truncation_events,fraction_cutoff_limited,fraction_chi_limited,final_infidelity,source
hybrid_tdvp,16,1e-14,0.9,9,1,0,16,4776,,,,0.26,0.4,,parsed_from_completed_run_log
hybrid_tdvp,16,1e-12,0.9,9,1,0,16,4776,,,,0.28,0.38,,parsed_from_completed_run_log
hybrid_tdvp,16,1e-09,0.9,9,1,0,16,4776,,,,0.33,0.35,,parsed_from_completed_run_log
hybrid_tdvp,16,1e-06,0.3,3,1,0,16,4776,,,,0.75,0.04,,parsed_from_completed_run_log
hybrid_tdvp,16,0.001,0.3,3,1,0,3,162,,,,0.95,0.0,,parsed_from_completed_run_log
tebd_swap,16,1e-14,0.2,2,1,0,16,4776,,,,0.18,0.26,,parsed_from_completed_run_log
tebd_swap,16,1e-12,0.2,2,1,0,16,4776,,,,0.18,0.26,,parsed_from_completed_run_log
tebd_swap,16,1e-09,0.2,2,1,0,16,4776,,,,0.18,0.26,,parsed_from_completed_run_log
tebd_swap,16,1e-06,0.2,2,1,0,16,4776,,,,0.18,0.26,,parsed_from_completed_run_log
tebd_swap,16,0.001,0.2,2,1,0,16,4530,,,,0.35,0.19,,parsed_from_completed_run_log
mpo_zipup,16,1e-14,1.0,10,1,0,16,4776,,,,0.37,0.18,,parsed_from_completed_run_log
mpo_zipup,16,1e-12,1.0,10,1,0,16,4776,,,,0.38,0.18,,parsed_from_completed_run_log
mpo_zipup,16,1e-09,1.0,10,1,0,16,4776,,,,0.4,0.17,,parsed_from_completed_run_log
mpo_zipup,16,1e-06,1.1,11,1,0,16,4776,,,,0.46,0.14,,parsed_from_completed_run_log
mpo_zipup,16,0.001,0.2,2,1,0,2,96,,,,0.94,0.0,,parsed_from_completed_run_log
hybrid_tdvp,32,1e-14,1.2,12,1,0,32,15016,,,,0.26,0.27,,parsed_from_completed_run_log
hybrid_tdvp,32,1e-12,1.3,13,1,0,32,15016,,,,0.28,0.25,,parsed_from_completed_run_log
hybrid_tdvp,32,1e-09,1.2,12,1,0,32,15016,,,,0.35,0.22,,parsed_from_completed_run_log
hybrid_tdvp,32,1e-06,0.3,3,1,0,32,15016,,,,0.77,0.01,,parsed_from_completed_run_log
hybrid_tdvp,32,0.001,0.3,3,1,0,3,162,,,,0.95,0.0,,parsed_from_completed_run_log
tebd_swap,32,1e-14,0.2,2,1,0,32,15016,,,,0.18,0.18,,parsed_from_completed_run_log
tebd_swap,32,1e-12,0.2,2,1,0,32,15016,,,,0.18,0.18,,parsed_from_completed_run_log
tebd_swap,32,1e-09,0.2,2,1,0,32,15016,,,,0.18,0.18,,parsed_from_completed_run_log
tebd_swap,32,1e-06,0.2,2,1,0,32,15016,,,,0.19,0.18,,parsed_from_completed_run_log
tebd_swap,32,0.001,0.2,2,1,0,32,14088,,,,0.37,0.13,,parsed_from_completed_run_log
mpo_zipup,32,1e-14,1.5,15,1,0,32,15016,,,,0.33,0.12,,parsed_from_completed_run_log
mpo_zipup,32,1e-12,1.5,15,1,0,32,15016,,,,0.35,0.12,,parsed_from_completed_run_log
mpo_zipup,32,1e-09,1.5,15,1,0,32,15016,,,,0.38,0.11,,parsed_from_completed_run_log
mpo_zipup,32,1e-06,1.5,15,1,0,32,15016,,,,0.51,0.09,,parsed_from_completed_run_log
mpo_zipup,32,0.001,0.2,2,1,0,2,96,,,,0.94,0.0,,parsed_from_completed_run_log
