candidate,size_label,length,angle,chi,method,ordering,substeps,infidelity,fidelity,state_norm,final_max_bond,peak_max_bond,final_param_count,peak_param_count,est_transient_elements,total_discarded_weight,max_step_discarded_weight,max_event_discarded_weight,n_svd,n_evolver_calls,runtime_s,d_h,d_u,exact_max_bond,notes
qaoa,4x4,16,0.3,2,tdvp_layer,,1,0.18393719706583034,0.8160628029341697,1.0000000000000067,2,2,120,120,16,0.016843383095936734,0.016843383095936734,0.005614461031978943,29,57,0.01261205499758944,6,16,16,
qaoa,4x4,16,0.3,2,tdvp_layer,,2,0.18393719706582756,0.8160628029341724,1.0000000000000064,2,2,120,120,16,0.012650318495066634,0.012650318495066634,0.0014055909438963,58,114,0.024518930003978312,6,16,16,
qaoa,4x4,16,0.3,2,tdvp_layer,,4,0.18393719706582268,0.8160628029341773,0.9999999999999882,2,2,120,120,16,0.007381947367214198,0.007381947367214198,0.00035152130320067923,116,228,0.04990096902474761,6,16,16,
qaoa,4x4,16,0.3,2,tdvp_layer,,8,0.18393719706582567,0.8160628029341743,0.9999999999999901,2,2,120,120,16,0.003954962254928453,0.003954962254928453,8.788805010952206e-05,232,456,0.09914024797035381,6,16,16,
qaoa,4x4,16,0.3,2,mpo_gatewise,horiz_first,0,0.2334693003887136,0.7665306996112864,0.8663158909593454,2,2,120,120,280,0.2660492626772182,0.050029415368083426,0.022331755437197006,174,0,0.031318538007326424,6,16,16,
qaoa,4x4,16,0.3,2,mpo_gatewise,vert_first,0,0.3036030938903248,0.6963969061096752,0.833488762991862,2,2,120,120,280,0.3500491245220025,0.02233175543719705,0.02233175543719705,174,0,0.031106809969060123,6,16,16,
qaoa,4x4,16,0.3,2,mpo_layer,,0,0.18599195817926606,0.8140080418207339,0.9022239421677511,2,16,120,4776,4776,0.20359618190610684,0.20359618190610684,0.022359968420082567,15,0,0.003489909984637052,6,16,16,
qaoa,4x4,16,0.3,2,variational_layer,,0,0.23050291585975358,0.7694970841402464,0.9999999999999994,2,2,120,120,16,0.2127303474472459,0.2127303474472459,0.022331759262805107,60,0,0.4057262850110419,6,16,16,sweeps=2 converged=True
qaoa,4x4,16,0.3,2,oracle_compress,,0,0.18599195829975557,0.8140080417002444,0.902223942100974,2,2,120,120,128,0.20359618205375654,0.20359618205375654,0.02235996842229685,15,0,0.0023056030040606856,6,16,16,
qaoa,4x4,16,0.3,4,tdvp_layer,,1,0.14135537679020094,0.8586446232097991,1.000000000000032,4,4,168,168,32,1.2144265056184802e-30,1.2144265056184802e-30,4.155630760065415e-31,29,57,0.012236772978212684,6,16,16,
qaoa,4x4,16,0.3,4,tdvp_layer,,2,0.13040617793387588,0.8695938220661241,1.0000000000000004,4,4,168,168,32,4.283421548797483e-30,4.283421548797483e-30,1.2248408656517619e-30,58,114,0.025352377037052065,6,16,16,
qaoa,4x4,16,0.3,4,tdvp_layer,,4,0.12764956229596158,0.8723504377040384,1.0000000000000198,4,4,168,168,32,1.090230213662905e-29,1.090230213662905e-29,8.261242208909476e-31,116,228,0.050981706008315086,6,16,16,
qaoa,4x4,16,0.3,4,tdvp_layer,,8,0.12695919589467886,0.8730408041053211,1.0000000000000018,4,4,168,168,32,1.2514274775413672e-29,1.2514274775413672e-29,7.531112658762836e-31,232,456,0.10343432804802433,6,16,16,
qaoa,4x4,16,0.3,4,mpo_gatewise,horiz_first,0,0.10091119404934079,0.8990888059506592,0.9481612195640583,4,4,424,424,1064,0.0944236325347805,0.04474439072888454,0.018815475594756246,174,0,0.03255267802160233,6,16,16,
qaoa,4x4,16,0.3,4,mpo_gatewise,vert_first,0,0.11369494710469341,0.8863050528953066,0.9409966617341773,4,4,424,424,1040,0.14528816956853471,0.06293913598021902,0.022331755437197003,174,0,0.032052594993729144,6,16,16,
qaoa,4x4,16,0.3,4,mpo_layer,,0,0.0877104193749556,0.9122895806250444,0.9551385138423781,4,16,424,4776,4776,0.09112789781504013,0.09112789781504013,0.021885692753429425,15,0,0.0036986959748901427,6,16,16,
qaoa,4x4,16,0.3,4,variational_layer,,0,0.10054726631462285,0.8994527336853771,0.9999999999999987,4,4,424,424,64,0.19718178165591502,0.19718178165591502,0.019316143724674446,60,0,0.4239110269700177,6,16,16,sweeps=2 converged=True
qaoa,4x4,16,0.3,4,oracle_compress,,0,0.07380486317588597,0.926195136824114,0.9623903245690353,4,4,424,424,256,0.07598394432691387,0.07598394432691387,0.021885692753427072,15,0,0.0024428159813396633,6,16,16,
qaoa,4x4,16,0.3,8,tdvp_layer,,1,0.14135537679020094,0.8586446232097991,1.000000000000032,4,4,168,168,32,1.2144265056184802e-30,1.2144265056184802e-30,4.155630760065415e-31,29,57,0.012076454004272819,6,16,16,
qaoa,4x4,16,0.3,8,tdvp_layer,,2,0.13040617793387588,0.8695938220661241,1.0000000000000004,4,4,168,168,32,4.283421548797483e-30,4.283421548797483e-30,1.2248408656517619e-30,58,114,0.02509071899112314,6,16,16,
qaoa,4x4,16,0.3,8,tdvp_layer,,4,0.12764956229596158,0.8723504377040384,1.0000000000000198,4,4,168,168,32,1.090230213662905e-29,1.090230213662905e-29,8.261242208909476e-31,116,228,0.050984612957108766,6,16,16,
qaoa,4x4,16,0.3,8,tdvp_layer,,8,0.12695919589467886,0.8730408041053211,1.0000000000000018,4,4,168,168,32,1.2514274775413672e-29,1.2514274775413672e-29,7.531112658762836e-31,232,456,0.10512601403752342,6,16,16,
qaoa,4x4,16,0.3,8,mpo_gatewise,horiz_first,0,0.02946199817433437,0.9705380018256656,0.9851588713632106,8,8,1448,1448,4008,0.026465334100941807,0.015299195752315503,0.015299195752315503,174,0,0.033937997999601066,6,16,16,
qaoa,4x4,16,0.3,8,mpo_gatewise,vert_first,0,0.02999802363006021,0.9700019763699398,0.9850338575471971,8,8,1448,1448,4008,0.04748152718751604,0.022331755437197006,0.022331755437197006,174,0,0.0336632119724527,6,16,16,
qaoa,4x4,16,0.3,8,mpo_layer,,0,0.005841131215535866,0.9941588687844641,0.9970751570390542,8,16,1448,4776,4776,0.005855779414331715,0.005855779414331715,0.0014738478837631257,15,0,0.003844065999146551,6,16,16,
qaoa,4x4,16,0.3,8,variational_layer,,0,0.029461410835361357,0.9705385891646386,1.0000000000000009,8,8,1448,1448,256,0.010597502554484795,0.010597502554484795,0.000657013080864312,60,0,0.4761048590298742,6,16,16,sweeps=2 converged=True
qaoa,4x4,16,0.3,8,oracle_compress,,0,0.005796642971471533,0.9942033570285285,0.9970974661629147,8,8,1448,1448,512,0.00581108976957089,0.00581108976957089,0.0014738478837630002,15,0,0.0028971710125915706,6,16,16,
qaoa,4x4,16,0.3,16,tdvp_layer,,1,0.14135537679020094,0.8586446232097991,1.000000000000032,4,4,168,168,32,1.2144265056184802e-30,1.2144265056184802e-30,4.155630760065415e-31,29,57,0.012233689019922167,6,16,16,
qaoa,4x4,16,0.3,16,tdvp_layer,,2,0.13040617793387588,0.8695938220661241,1.0000000000000004,4,4,168,168,32,4.283421548797483e-30,4.283421548797483e-30,1.2248408656517619e-30,58,114,0.025665831984952092,6,16,16,
qaoa,4x4,16,0.3,16,tdvp_layer,,4,0.12764956229596158,0.8723504377040384,1.0000000000000198,4,4,168,168,32,1.090230213662905e-29,1.090230213662905e-29,8.261242208909476e-31,116,228,0.052223872975446284,6,16,16,
qaoa,4x4,16,0.3,16,tdvp_layer,,8,0.12695919589467886,0.8730408041053211,1.0000000000000018,4,4,168,168,32,1.2514274775413672e-29,1.2514274775413672e-29,7.531112658762836e-31,232,456,0.1045199729851447,6,16,16,
qaoa,4x4,16,0.3,16,mpo_gatewise,horiz_first,0,0.0,1.0,0.9999999999999845,16,16,4776,4776,4776,5.174627408767274e-31,4.160749254440842e-31,6.849063272166055e-32,174,0,0.03484255797229707,6,16,16,
qaoa,4x4,16,0.3,16,mpo_gatewise,vert_first,0,0.0,1.0,0.9999999999999812,16,16,4776,4776,5800,8.153203502652028e-31,3.615391473555329e-31,8.458622447970079e-32,174,0,0.03518406901275739,6,16,16,
qaoa,4x4,16,0.3,16,mpo_layer,,0,3.3306690738754696e-15,0.9999999999999967,0.9999999999999892,16,16,4776,4776,4776,5.043903858491149e-31,5.043903858491149e-31,8.523555276795292e-32,15,0,0.004262351023498923,6,16,16,
qaoa,4x4,16,0.3,16,variational_layer,,0,6.661338147750939e-15,0.9999999999999933,0.9999999999999981,16,16,4776,4776,0,0.0,0.0,0.0,0,0,0.008644615998491645,6,16,16,sweeps=0 converged=True
qaoa,4x4,16,0.3,16,oracle_compress,,0,1.2545520178264269e-14,0.9999999999999875,0.9999999999999939,16,16,4776,4776,1024,4.6860223791182105e-31,4.6860223791182105e-31,6.883890743271435e-32,15,0,0.0032213879749178886,6,16,16,
