chi_max,method,n_sub,display,resolution_label,infidelity_min,infidelity_median,infidelity_max,n_states
8,mpo_zipup,1,True,direct,0.04229100233685801,0.08238683379681688,0.10299783161262921,3
8,tebd_swap,1,True,direct,0.046778356587868664,0.10045476950488608,0.12231570172465023,3
8,gate_local_2tdvp,1,True,n_sub_1,0.139959934444015,0.17274173923903302,0.20773739442115335,3
8,gate_local_2tdvp,16,True,n_sub_16,0.18645666957308982,0.2650655958906869,0.29053323470157366,3
8,gate_local_2tdvp,128,False,n_sub_128,0.19201509213435664,0.2689298640955099,0.29547595267785554,3
8,gate_local_2tdvp,256,True,fine_resolution,0.1924116436493568,0.2692048423984481,0.2958229934459038,3
10,mpo_zipup,1,True,direct,0.0180122953267996,0.03276207952932897,0.04292175268039322,3
10,tebd_swap,1,True,direct,0.019833769701387505,0.0404022952922114,0.05188597123480854,3
10,gate_local_2tdvp,1,True,n_sub_1,0.04447093122170731,0.06753937164098867,0.11015864388743235,3
10,gate_local_2tdvp,16,True,n_sub_16,0.046831244527699045,0.07795310103989694,0.12462345774261219,3
10,gate_local_2tdvp,128,False,n_sub_128,0.04867169078765421,0.07954534957485271,0.1241742246299039,3
10,gate_local_2tdvp,256,True,fine_resolution,0.049008244596109196,0.07967004812676293,0.12399393157322158,3
12,mpo_zipup,1,True,direct,0.005302458834525847,0.008117350327644712,0.013753349070033005,3
12,tebd_swap,1,True,direct,0.005734366984825545,0.010444240021976192,0.01686229003853812,3
12,gate_local_2tdvp,1,True,n_sub_1,0.016676567498766448,0.0209638866123516,0.03286053004472422,3
12,gate_local_2tdvp,16,True,n_sub_16,0.012241894170399892,0.023865547730264614,0.03187287454771526,3
12,gate_local_2tdvp,128,False,n_sub_128,0.012332074279123528,0.022982301056412857,0.03241565271522362,3
12,gate_local_2tdvp,256,True,fine_resolution,0.012346371799718203,0.02287895405026985,0.03245848613290725,3
14,mpo_zipup,1,True,direct,0.0011020844748489411,0.0016186730557682383,0.002895607472463757,3
14,tebd_swap,1,True,direct,0.0012093945427227304,0.0020022496152254377,0.0035362122203151936,3
14,gate_local_2tdvp,1,True,n_sub_1,0.0038790889607756007,0.005507065480529705,0.008894801194207602,3
14,gate_local_2tdvp,16,True,n_sub_16,0.002015219249520861,0.002949165906972917,0.006024419198358277,3
14,gate_local_2tdvp,128,False,n_sub_128,0.002009243372767089,0.0029623341809748016,0.006060927477288036,3
14,gate_local_2tdvp,256,True,fine_resolution,0.0020081548596784238,0.0029646506309864984,0.006071384758015608,3
16,mpo_zipup,1,True,direct,0.0,0.0,0.0,3
16,tebd_swap,1,True,direct,0.0,1.1102230246251565e-16,2.220446049250313e-16,3
16,gate_local_2tdvp,1,True,n_sub_1,0.0,0.0,2.220446049250313e-16,3
16,gate_local_2tdvp,16,True,n_sub_16,0.0,0.0,0.0,3
16,gate_local_2tdvp,128,False,n_sub_128,0.0,0.0,6.661338147750939e-16,3
16,gate_local_2tdvp,256,True,fine_resolution,0.0,0.0,2.220446049250313e-16,3
