seed,method,n_sub,infidelity,adjacent_refinement_distance
11,gate_local_2tdvp,1,0.000608809666132859,8.58876413998493e-05
11,gate_local_2tdvp,2,0.0006088567743259832,4.169162283403341e-05
11,gate_local_2tdvp,4,0.0006088843284142165,2.057492374962631e-05
11,gate_local_2tdvp,8,0.000608899066638191,1.0224620319438202e-05
11,gate_local_2tdvp,16,0.0006089066723713454,5.097188142128565e-06
11,gate_local_2tdvp,32,0.0006089105339993628,2.5448858392458915e-06
11,gate_local_2tdvp,64,0.0006089124794598222,1.2715248227066714e-06
11,gate_local_2tdvp,128,0.0006089134558456832,6.355339987523094e-07
11,gate_local_2tdvp,256,0.0006089139449517722,3.177100333297416e-07
11,gate_local_2tdvp,512,0.0006089141897328565,1.5884080308601713e-07
11,gate_local_2tdvp,1024,0.0006089143121807972,
11,mpo_zipup,1,0.0006570551738469543,
11,tebd_swap,1,0.016840995082303523,
22,gate_local_2tdvp,1,0.0005758310424177626,3.646471173774558e-05
22,gate_local_2tdvp,2,0.0005758430078646182,1.8063831424241394e-05
22,gate_local_2tdvp,4,0.0005758499118646565,8.998319227740736e-06
22,gate_local_2tdvp,8,0.0005758535912157026,4.491811947533996e-06
22,gate_local_2tdvp,16,0.0005758554874850663,2.2441997987666296e-06
22,gate_local_2tdvp,32,0.0005758564497456709,1.1216896608225996e-06
22,gate_local_2tdvp,64,0.0005758569344040954,5.607443084772833e-07
22,gate_local_2tdvp,128,0.0005758571776163235,2.803472548520453e-07
22,gate_local_2tdvp,256,0.0005758572994422062,1.4016744255700312e-07
22,gate_local_2tdvp,512,0.0005758573604099926,7.00821329355969e-08
22,gate_local_2tdvp,1024,0.000575857390907708,
22,mpo_zipup,1,0.0006106509831393936,
22,tebd_swap,1,0.07042051178564956,
33,gate_local_2tdvp,1,0.0006657308209734314,6.692456007534859e-05
33,gate_local_2tdvp,2,0.0006657673612358028,3.3215009776621136e-05
33,gate_local_2tdvp,4,0.000665788747844509,1.6558112275456727e-05
33,gate_local_2tdvp,8,0.0006658002152881703,8.268246123597646e-06
33,gate_local_2tdvp,16,0.000665806142252312,4.131612161917097e-06
33,gate_local_2tdvp,32,0.0006658091540285849,2.0652022767704425e-06
33,gate_local_2tdvp,64,0.000665810671989675,1.0324531906161992e-06
33,gate_local_2tdvp,128,0.0006658114339878063,5.161899766063528e-07
33,gate_local_2tdvp,256,0.0006658118157417681,2.5808586972971973e-07
33,gate_local_2tdvp,512,0.0006658120068063766,1.2904068815542663e-07
33,gate_local_2tdvp,1024,0.0006658121023869201,
33,mpo_zipup,1,0.0006701431481674902,
33,tebd_swap,1,0.06065112905868564,
