gamma,target_seed,method,iteration,fixed_validation_fidelity,noiseless_fidelity,gradient_norm,train_trajectories,validation_trajectories
0.001,123,cross,0,0.03369722567871827,0.03629077792440385,0.12214093053815492,4,12
0.001,123,cross,1,0.03847127712981455,0.041599699088389064,0.17707072987537745,4,12
0.001,123,cross,2,0.04693126303845829,0.05101909346422006,0.20236362978513703,4,12
0.001,123,cross,3,0.05786759089991065,0.06331098884241465,0.23341760874985443,4,12
0.001,123,cross,4,0.07224250714870467,0.0796464122543584,0.23354090186297044,4,12
0.001,123,cross,5,0.08827557004532789,0.09758861444682453,0.30742745015853645,4,12
0.001,123,cross,6,0.11256864797407429,0.12583876740026237,0.3161890844604944,4,12
0.001,123,cross,7,0.14014790753073622,0.15824137342757177,0.3904692963817667,4,12
0.001,123,cross,8,0.17818298249226613,0.20356635276933768,0.4231866133787995,4,12
0.001,123,cross,9,0.22223467293822963,0.25659656364906314,0.35941502315405194,4,12
0.001,123,cross,10,0.2593390392550892,0.3017037084229527,0.4151022088514688,4,12
0.001,123,cross,11,0.30210424471145797,0.3537376684923944,0.42299853665167214,4,12
0.001,123,cross,12,0.345319590958892,0.4061293429496488,0.2995217009145287,4,12
0.001,123,cross,13,0.37520391542324466,0.44227747917383126,0.4095901484226833,4,12
0.001,123,cross,14,0.41595582587054186,0.4911893377893657,0.4079857759559912,4,12
0.001,123,cross,15,0.45649195427525835,0.5396159555220874,0.38552897318078294,4,12
0.001,123,cross,16,0.48960648462100537,0.5795263897149122,0.3017565744639539,4,12
0.001,123,cross,17,0.5098586651847633,0.6042563497727816,0.38735577022793793,4,12
0.001,123,cross,18,0.5466881281968667,0.6477038197638866,0.27779300783653055,4,12
0.001,123,cross,19,0.5697637015834887,0.6748652793431795,0.33192496555924145,4,12
0.001,123,cross,20,0.5964650799845187,0.7065606602375395,0.2994226963989206,4,12
0.001,123,cross,21,0.6107336564562645,0.7236056120627169,0.26985857522855594,4,12
0.001,123,cross,22,0.622267419623986,0.7374091189689433,0.217741034537448,4,12
0.001,123,cross,23,0.6288054290844386,0.7452379624602632,0.22320809460050076,4,12
0.001,123,cross,24,0.6366721062027918,0.7546669229781576,0.19942071313141502,4,12
0.001,123,cross,25,0.6429532127132703,0.7621966121221596,0.14034574121733895,4,12
0.001,123,cross,26,0.6464149067766433,0.7663345646779695,0.1663846420371438,4,12
0.001,123,cross,27,0.650813848688868,0.7715939447287119,0.11401703883570034,4,12
0.001,123,cross,28,0.6535556028952492,0.7747624912143304,0.14045854929519555,4,12
0.001,123,cross,29,0.6567027211644368,0.7785325861472957,0.1271096821676221,4,12
0.001,123,cross,30,0.6589886948652457,0.7813053356985328,0.12069332602887037,4,12
0.001,123,cross,31,0.661362601442192,0.7841085390047043,0.1257890761024441,4,12
0.001,123,cross,32,0.6614531461927592,0.7842458117978973,0.11530006164042592,4,12
0.001,123,cross,33,0.6636107824070402,0.7867831501197279,0.18815816357819343,4,12
0.001,123,cross,34,0.6638019259956913,0.7870333435983657,0.11536672624682566,4,12
0.001,123,cross,35,0.6659241607366482,0.7895078110870222,0.10088086331482797,4,12
0.001,123,cross,36,0.6676004292749634,0.7914543383132536,0.18835754168198787,4,12
0.001,123,cross,37,0.6682149648795979,0.7922746727854725,0.09212778483542983,4,12
0.001,123,cross,38,0.6696617427326305,0.7939049596478216,0.08590670829746334,4,12
0.001,123,cross,39,0.6709264557376925,0.7953498167244673,0.08263934698042073,4,12
0.001,123,cross,40,0.672094760689535,0.7966960206040298,0.08041287335121017,4,12
0.001,123,cross,41,0.6731991256556918,0.7979746440532194,0.07868055697084392,4,12
0.001,123,cross,42,0.67425567120721,0.7992010647570534,0.17078812756303557,4,12
0.001,123,cross,43,0.674505764270978,0.7995165292645228,0.2095540614499845,4,12
0.001,123,cross,44,0.674570985996712,0.799637714068676,0.18625726148963187,4,12
0.001,123,cross,45,0.6751964105069382,0.8003712770416117,0.19484955312816052,4,12
0.001,123,cross,46,0.6758661009007629,0.801182698132546,0.17725988541833795,4,12
0.001,123,cross,47,0.67630641415411,0.801685564502445,0.0982261954878192,4,12
0.001,123,cross,48,0.6771352801492906,0.8026754466596003,0.08220490451268905,4,12
0.001,123,cross,49,0.6782052377623912,0.8039628348703354,0.20576450653378855,4,12
0.001,123,cross,50,0.678338315589774,0.8043645975032631,0.14438014949616282,4,12
0.001,123,cross,51,0.67798849479904,0.80519761291637,0.07583543013527705,4,12
0.001,123,cross,52,0.6790518477587556,0.8063111875188953,0.1465212676994029,4,12
0.001,123,cross,53,0.6799754410767312,0.8072985339340507,0.07173530595007915,4,12
0.001,123,cross,54,0.6808866613395553,0.808311713469439,0.06981991713665037,4,12
0.001,123,cross,55,0.6817415767808607,0.809278522278698,0.19396536215871898,4,12
0.001,123,cross,56,0.6823205307596294,0.8099739519223685,0.07618692813781554,4,12
0.001,123,cross,57,0.6833056837240314,0.8110881966718213,0.2625140002163813,4,12
0.001,123,cross,58,0.6823663787783251,0.8099055693337387,0.21022789747330672,4,12
0.001,123,cross,59,0.6825328851763454,0.8101169046062845,0.12965792198110435,4,12
0.001,123,cross,60,0.6835346925049821,0.811349406846225,0.07529652216591001,4,12
0.001,123,cross,61,0.6844635057151295,0.8124417029524682,0.07058677591436842,4,12
0.001,123,cross,62,0.6852966869687585,0.8134200007074686,0.06837132093536748,4,12
0.001,123,cross,63,0.686085387062802,0.8143458259663982,0.0671978565393513,4,12
0.001,123,cross,64,0.6868499314375627,0.8152435614624813,0.09695753125547334,4,12
0.001,123,cross,65,0.6869745065848964,0.8154304748411846,0.06971949701954092,4,12
0.001,123,cross,66,0.6878036672660842,0.8163803437541827,0.06710919407063405,4,12
0.001,123,cross,67,0.6885725716584239,0.817272267747217,0.06597996185458832,4,12
0.001,123,cross,68,0.6893138602703556,0.8181381520183556,0.179271105637028,4,12
0.001,123,cross,69,0.6890061229268345,0.8176953066180637,0.07498189414591062,4,12
0.001,123,cross,70,0.6899311673843038,0.8187764204566405,0.1657000629207918,4,12
0.001,123,cross,71,0.6893776446612172,0.818036470168514,0.0927334731246748,4,12
0.001,123,cross,72,0.6902607465523966,0.8190445949044347,0.06040785525121341,4,12
0.001,123,cross,73,0.6910430104081119,0.8199656717547125,0.07359995452936494,4,12
0.001,123,cross,74,0.6919265625256483,0.8210048884302935,0.11500158880680551,4,12
0.001,123,cross,75,0.6924140590230404,0.8216307500310946,0.0670171007881391,4,12
0.001,123,cross,76,0.6931565629606621,0.8225110978034668,0.06472334748558985,4,12
0.001,123,cross,77,0.693855791613745,0.8233399927087179,0.06350180808607289,4,12
0.001,123,cross,78,0.6945317232541907,0.8241411015087629,0.050976112162143074,4,12
0.001,123,cross,79,0.6949846252481824,0.8246818572761341,0.062443792123708194,4,12
0.001,123,cross,80,0.6956433610773437,0.8254576149842614,0.0,4,12
0.001,123,independent,0,0.03666960998281836,0.03629077792440385,0.13697283448553024,16,32
0.001,123,independent,1,0.04287605992256996,0.042949246883794916,0.14969682282183686,16,32
0.001,123,independent,2,0.050345745390512425,0.051055271525620415,0.1897198794563684,16,32
0.001,123,independent,3,0.06105847984922566,0.06269131813971096,0.1918374441432011,16,32
0.001,123,independent,4,0.07318349260600585,0.07588277592638507,0.22840765307269897,16,32
0.001,123,independent,5,0.0894545999160144,0.09386985097271168,0.25964133440069337,16,32
0.001,123,independent,6,0.11019583160633323,0.11717127280207075,0.3124175460297618,16,32
0.001,123,independent,7,0.13819235176949102,0.1489674337859777,0.3215302195513924,16,32
0.001,123,independent,8,0.17011258429572634,0.18540730280957488,0.3933526718822177,16,32
0.001,123,independent,9,0.21225533627804033,0.23409753472784303,0.32177797960604754,16,32
0.001,123,independent,10,0.24804509237897637,0.2756865641822486,0.37019173968259683,16,32
0.001,123,independent,11,0.2898406714603955,0.3239568661400715,0.4289101623343072,16,32
0.001,123,independent,12,0.33800337359515353,0.379983713314649,0.36260887821464566,16,32
0.001,123,independent,13,0.3777278245666793,0.42610233017892335,0.27916910268377476,16,32
0.001,123,independent,14,0.40771299804267314,0.46076978563627624,0.3064856812009358,16,32
0.001,123,independent,15,0.4402036965025703,0.4982218442747837,0.35041301279953974,16,32
0.001,123,independent,16,0.4770621032289079,0.5407354546875022,0.3259906047495658,16,32
0.001,123,independent,17,0.509422875306163,0.5776330465059626,0.3425810546662869,16,32
0.001,123,independent,18,0.5436901025425003,0.6172122007139776,0.2561491363478352,16,32
0.001,123,independent,19,0.5675380222732236,0.6451855442629885,0.2940100221464475,16,32
0.001,123,independent,20,0.5938496979415523,0.6757196776553523,0.33692555629358173,16,32
0.001,123,independent,21,0.612494373512085,0.6975265299112484,0.2729525907431412,16,32
0.001,123,independent,22,0.6260835003045421,0.7132996071860278,0.2547987283842714,16,32
0.001,123,independent,23,0.6373848818314443,0.7267743765599659,0.25383799808631835,16,32
0.001,123,independent,24,0.6480855163805268,0.7393105193946753,0.212536865021109,16,32
0.001,123,independent,25,0.6560308051982027,0.7486702112664947,0.18344451215214486,16,32
0.001,123,independent,26,0.6623517159449552,0.7560524531776674,0.19051753243107716,16,32
0.001,123,independent,27,0.6682233449239503,0.7628633579918204,0.15832145166468967,16,32
0.001,123,independent,28,0.6721059839330139,0.7677500728447803,0.15752511177105818,16,32
0.001,123,independent,29,0.6761508097446471,0.7724696993734976,0.12837135407843492,16,32
0.001,123,independent,30,0.6790222482929043,0.7758544648341753,0.12357192733121507,16,32
0.001,123,independent,31,0.6816990216100027,0.7789771908301523,0.10581138335255605,16,32
0.001,123,independent,32,0.6835065261205068,0.78111539430411,0.11548264391711795,16,32
0.001,123,independent,33,0.6853648035459221,0.7834516677373894,0.10107927220588721,16,32
0.001,123,independent,34,0.6870565520241935,0.7853141755667518,0.09724239073213017,16,32
0.001,123,independent,35,0.6886823755697011,0.787241753203666,0.10433206107148997,16,32
0.001,123,independent,36,0.6897560030049144,0.7888551594780624,0.09366538397521904,16,32
0.001,123,independent,37,0.6909692852830129,0.7903210371983601,0.09274035089457397,16,32
0.001,123,independent,38,0.6923609482731654,0.7917784154457318,0.0904202454390023,16,32
0.001,123,independent,39,0.6934641728302098,0.7931910358901544,0.08715214829708473,16,32
0.001,123,independent,40,0.6945821763439615,0.7943759078250135,0.07745676037014375,16,32
0.001,123,independent,41,0.6955584508868624,0.7955863378326201,0.08512518745705329,16,32
0.001,123,independent,42,0.6964301857056221,0.7965663162673166,0.07375234202024342,16,32
0.001,123,independent,43,0.697146364627014,0.7975024538535753,0.07322964096520473,16,32
0.001,123,independent,44,0.6979775735362814,0.7983527089874757,0.08016411588142201,16,32
0.001,123,independent,45,0.6988629721252492,0.7992800260399295,0.08964432259535478,16,32
0.001,123,independent,46,0.6999246851312372,0.8000892673730068,0.0808423246340738,16,32
0.001,123,independent,47,0.7007920623730036,0.8011098985249583,0.07404562784717489,16,32
0.001,123,independent,48,0.7014039000116048,0.8020596964922746,0.07335400063438419,16,32
0.001,123,independent,49,0.7021638234090392,0.8031258360115712,0.07008431576697319,16,32
0.001,123,independent,50,0.7026234658263824,0.8037160751134174,0.07798057369718477,16,32
0.001,123,independent,51,0.7032304489306331,0.8047093998837999,0.07662956704427962,16,32
0.001,123,independent,52,0.7040822433341374,0.8056682757417399,0.0713646583796139,16,32
0.001,123,independent,53,0.7046072926320175,0.8064575722279654,0.06545453272356798,16,32
0.001,123,independent,54,0.7052888428586619,0.8073557016651627,0.08359962817858613,16,32
0.001,123,independent,55,0.7057501305175136,0.8082535499624229,0.07281228690125176,16,32
0.001,123,independent,56,0.7062114204069666,0.8090544805645052,0.06488583993344194,16,32
0.001,123,independent,57,0.7069052725512408,0.8099292877515649,0.11072581770467148,16,32
0.001,123,independent,58,0.7072667846334448,0.809950676534341,0.08937422692796936,16,32
0.001,123,independent,59,0.7079839868317734,0.8104339575212529,0.07419154408605066,16,32
0.001,123,independent,60,0.7084870246060259,0.8113542756284123,0.06868288965870412,16,32
0.001,123,independent,61,0.7090874206286915,0.8120521113302132,0.07077305740054196,16,32
0.001,123,independent,62,0.7097574027196818,0.8130320024871388,0.06264656530672183,16,32
0.001,123,independent,63,0.710288310882975,0.8137277398361004,0.07663395614078651,16,32
0.001,123,independent,64,0.7106074360694112,0.8144521658540722,0.1054615383974645,16,32
0.001,123,independent,65,0.7109133397333955,0.8145751633583495,0.09472668389042022,16,32
0.001,123,independent,66,0.7115086241816044,0.8153939254348462,0.06319055968018873,16,32
0.001,123,independent,67,0.7121759273841137,0.8160047630586647,0.07857759182443774,16,32
0.001,123,independent,68,0.712768089000662,0.8168641673294958,0.06344319431651038,16,32
0.001,123,independent,69,0.7133658304318256,0.8174785229950998,0.07068917628966129,16,32
0.001,123,independent,70,0.7140000341875661,0.8179162691640371,0.06386538505259934,16,32
0.001,123,independent,71,0.7143676375161743,0.8183673591815674,0.06637463099619183,16,32
0.001,123,independent,72,0.7148865363282293,0.81924549591734,0.07801036097085912,16,32
0.001,123,independent,73,0.7152478674763575,0.8200354806629337,0.06530590068635489,16,32
0.001,123,independent,74,0.7157100964558498,0.8206007820703755,0.06451659644077032,16,32
0.001,123,independent,75,0.716106388014767,0.8211717310075034,0.06639106781492894,16,32
0.001,123,independent,76,0.7164500863969183,0.8218796013999211,0.07737219999069768,16,32
0.001,123,independent,77,0.7168498281199809,0.8226714131249038,0.07718116749574476,16,32
0.001,123,independent,78,0.7172639619638509,0.8234778122436648,0.05969076579285141,16,32
0.001,123,independent,79,0.7178076398238018,0.8242295441029097,0.07186440763231511,16,32
0.001,123,independent,80,0.7182233319897108,0.8248832333510586,0.0,16,32
