gamma,target_seed,method,initial_validation_fidelity,final_validation_fidelity,best_validation_fidelity,best_iteration,final_noiseless_fidelity,train_trajectories,validation_trajectories
0.001,123,cross,0.03369722567871827,0.6956433610773437,0.6956433610773437,80,0.8254576149842614,4,12
0.001,123,independent,0.03666960998281836,0.7182233319897108,0.7182233319897108,80,0.8248832333510586,16,32
0.012,123,cross,0.04927133830601577,0.2473759976109392,0.2477833155074505,77,0.7167730995743491,4,12
0.012,123,independent,0.05213940548859976,0.23277469802303544,0.2328658921474686,79,0.7267121595188557,16,32
0.023000000000000003,123,cross,0.07179296921798216,0.0864809130925643,0.0864809130925643,80,0.29826023724170964,4,12
0.023000000000000003,123,independent,0.06355954041197528,0.10900325627705296,0.10900325627705296,80,0.2565819591359942,16,32
0.034,123,cross,0.04805468627602025,0.05788164951476399,0.058502331165457194,79,0.09847979433100944,4,12
0.034,123,independent,0.04369110097475887,0.05598717311532149,0.056324511299643776,79,0.0900712486970335,16,32
0.045000000000000005,123,cross,0.07509840566115339,0.08245081866232605,0.08245081866232605,80,0.08557726389346405,4,12
0.045000000000000005,123,independent,0.06184066658769938,0.06904307068379434,0.06938281239227292,77,0.06369509293189277,16,32
0.05600000000000001,123,cross,0.07903955734664968,0.07886890392934484,0.07940624290221344,4,0.04856429394224618,4,12
0.05600000000000001,123,independent,0.054720162910545794,0.05656934829193168,0.05720831312580736,64,0.04942648388221944,16,32
0.067,123,cross,0.05367953694396174,0.05431855764230714,0.05538330530025628,51,0.05319196992682312,4,12
0.067,123,independent,0.055376554928240104,0.05777188540769893,0.057815492964239455,75,0.05292599084613149,16,32
0.07800000000000001,123,cross,0.04040903815568393,0.041526142025567814,0.04177518060144286,67,0.044851686259966335,4,12
0.07800000000000001,123,independent,0.047154378938082386,0.04901657479007938,0.04920076062616642,74,0.033974315493621225,16,32
0.08900000000000001,123,cross,0.07619384638397862,0.0713285116281912,0.07738419961879071,10,0.04411708439829207,4,12
0.08900000000000001,123,independent,0.07338175431685896,0.07258401836447845,0.07359097683110033,2,0.04577996449629892,16,32
0.1,123,cross,0.0598759987540039,0.06178159793679086,0.0631503291643699,46,0.0508703740246658,4,12
0.1,123,independent,0.08422915732391434,0.08602675299735542,0.08606741500137884,79,0.04754082423057309,16,32
