gamma,target_seed,method,initial_validation_fidelity,final_validation_fidelity,best_validation_fidelity,best_iteration,final_noiseless_fidelity,train_trajectories,validation_trajectories
0.001,124,independent,0.012287030726609109,0.8142754740141545,0.8142754740141545,80,0.9567771501786225,16,32
0.001,124,cross,0.014597909904620494,0.8044298081668795,0.8049204766197455,79,0.9560220078551801,4,12
0.012,124,independent,0.06755524468972794,0.206035411650001,0.206035411650001,80,0.5636272789406601,16,32
0.012,124,cross,0.054677229288751183,0.1657984357127493,0.1657984357127493,80,0.5193941187408029,4,12
0.023000000000000003,124,independent,0.06190145734970514,0.08710334063102491,0.08750037025743501,77,0.012849835875716455,16,32
0.023000000000000003,124,cross,0.029475901813975816,0.03922027995925269,0.03922027995925269,80,0.015732765535052932,4,12
0.034,124,independent,0.08159791725450599,0.09078510720226295,0.09122073309852091,79,0.007577670894625086,16,32
0.034,124,cross,0.10527071696840584,0.10531179618970526,0.11584739314345022,28,0.00937191577575473,4,12
0.045000000000000005,124,independent,0.060720685087486015,0.06017471836736938,0.06092269689822878,7,0.005946094851153588,16,32
0.045000000000000005,124,cross,0.06928816821787974,0.06332691970615378,0.07181830868866558,14,0.008002837332800121,4,12
0.05600000000000001,124,independent,0.057990751741642116,0.06207813350107032,0.06243983314891694,75,0.0041404269157530055,16,32
0.05600000000000001,124,cross,0.04400473634426886,0.04528121631631982,0.04617188517967258,60,0.005635693750962985,4,12
0.067,124,independent,0.07344384114545852,0.07434651116580734,0.07521513074306185,62,0.0023812613759257913,16,32
0.067,124,cross,0.05126986906259046,0.05134401525038077,0.05189314846397719,76,0.002906842999253601,4,12
0.07800000000000001,124,independent,0.05560401003192761,0.05516957274407118,0.055665644394087256,2,0.0015662218129797417,16,32
0.07800000000000001,124,cross,0.04927548952496704,0.049075682596375486,0.04965423741972023,65,0.002741327503361492,4,12
0.08900000000000001,124,independent,0.04964698828809608,0.049927907529935436,0.05053441306062073,75,0.0018675466384738008,16,32
0.08900000000000001,124,cross,0.055125004468199464,0.055990038326331704,0.05678035431409826,15,0.0034257034729999586,4,12
0.1,124,independent,0.05802566386719795,0.05834429816023679,0.058432952551785,78,0.0017363240079169347,16,32
0.1,124,cross,0.034473506185157925,0.035149215725078196,0.035672308936739235,23,0.0016911493818513982,4,12
