gamma,target_seed,method,iteration,fixed_validation_fidelity,noiseless_fidelity,gradient_norm,train_trajectories,validation_trajectories
0.001,125,independent,0,0.0038469846728646784,5.32989981881621e-05,0.004626417367369279,16,32
0.001,125,independent,1,0.003847277747768112,5.766816570342068e-05,0.013814145179785919,16,32
0.001,125,independent,2,0.003872860474877198,5.3823274768065704e-05,0.004043691447538952,16,32
0.001,125,independent,3,0.0038722534752743693,5.766188585370768e-05,0.011574544367041032,16,32
0.001,125,independent,4,0.0039021290379534033,6.172610932579416e-05,0.028253672455858584,16,32
0.001,125,independent,5,0.003987145075538607,6.089720194254235e-05,0.012295426967084714,16,32
0.001,125,independent,6,0.0040229351524463585,6.622210641642328e-05,0.00631678754713567,16,32
0.001,125,independent,7,0.004015459757808613,6.92511342035948e-05,0.005208458099843479,16,32
0.001,125,independent,8,0.004018666936777457,7.485138970521957e-05,0.01202362664713936,16,32
0.001,125,independent,9,0.004045598239636183,8.172754455055883e-05,0.005774106054302291,16,32
0.001,125,independent,10,0.0040504894968515955,8.85335790563566e-05,0.014792698569310129,16,32
0.001,125,independent,11,0.004087876297558921,8.463929943524011e-05,0.03661957890541507,16,32
0.001,125,independent,12,0.004195838491871699,7.71987945287101e-05,0.005744281383113755,16,32
0.001,125,independent,13,0.004201740493779554,8.394553819542147e-05,0.006352281618301608,16,32
0.001,125,independent,14,0.004195376042903922,8.765251181666568e-05,0.01116672619632849,16,32
0.001,125,independent,15,0.004204551954869187,8.838094224076655e-05,0.030031617665137386,16,32
0.001,125,independent,16,0.004268812057667391,7.49804709823013e-05,0.021856011216043997,16,32
0.001,125,independent,17,0.004332303966647126,7.935574830288559e-05,0.0061357776987431,16,32
0.001,125,independent,18,0.004328634827152517,8.1382556080769e-05,0.029983026466385888,16,32
0.001,125,independent,19,0.004407785088147093,7.085505033787318e-05,0.0230520033785442,16,32
0.001,125,independent,20,0.004482048482599232,6.85534197047207e-05,0.012944504730832673,16,32
0.001,125,independent,21,0.0045229454889503026,7.732274907854671e-05,0.0062349656403582355,16,32
0.001,125,independent,22,0.004533015991330081,8.531911520230455e-05,0.013664947578810949,16,32
