gamma,method,iteration,fixed_validation_fidelity,noiseless_fidelity,gradient_norm,train_trajectories,validation_trajectories
0.001,independent,0,0.03666960998281836,0.03629077792440385,0.1551040491627152,16,32
0.001,independent,1,0.04132267243327622,0.04129479707501047,0.14607423251569063,16,32
0.001,independent,2,0.046001237902196165,0.0463344961268664,0.1548468470257745,16,32
0.001,independent,3,0.051288669365604,0.052082186018714734,0.18925696029679,16,32
0.001,independent,4,0.058328152223431254,0.05972041705494649,0.18453148539202766,16,32
0.001,independent,5,0.06571595481773404,0.06772265852578233,0.21022872448023933,16,32
0.001,independent,6,0.07483557506744401,0.07772318545067824,0.22820515831874594,16,32
0.001,independent,7,0.08549654395102435,0.08957178388502426,0.2653194170685807,16,32
0.001,independent,8,0.09895254245152169,0.10462861634000123,0.26528595286347123,16,32
0.001,independent,9,0.11354286664529824,0.12100037863145562,0.3220808731269093,16,32
0.001,independent,10,0.132643544660333,0.14267909155656905,0.2793530004741384,16,32
0.001,independent,11,0.15025806588833684,0.16280678182819813,0.32788568945789476,16,32
0.001,independent,12,0.17215033605833657,0.1877632100626788,0.3960550769295165,16,32
0.001,independent,13,0.20003492190336195,0.21996257126909688,0.3563171056375323,16,32
0.001,independent,14,0.22586553781939944,0.24995963721209905,0.27782728015012664,16,32
0.001,independent,15,0.2462291440217727,0.2735970893497396,0.3156697398348594,16,32
0.001,independent,16,0.2694885561791447,0.3006525394527287,0.3699007058805995,16,32
0.001,independent,17,0.2967552527013606,0.33231374420844056,0.3464780166333922,16,32
0.001,independent,18,0.32166102266876234,0.36106417692035725,0.35895297728418235,16,32
0.001,independent,19,0.3473225906357047,0.3908557647446956,0.28068230135183764,16,32
0.001,independent,20,0.3669014412859924,0.4136155265855644,0.3422378418942708,16,32
0.001,independent,21,0.3906297027933146,0.44101337649674444,0.3999268694967282,16,32
0.001,independent,22,0.41806267440011047,0.4727437508733625,0.35326691282910566,16,32
0.001,independent,23,0.4420323097451816,0.5002564677163325,0.3395938451270014,16,32
0.001,independent,24,0.4646550108905665,0.5264882819145752,0.36697780932799706,16,32
0.001,independent,25,0.4894548556075382,0.5550823305741844,0.34912949286047296,16,32
0.001,independent,26,0.512786430710394,0.5820298309886267,0.3351859703671193,16,32
0.001,independent,27,0.5348584274803041,0.6074936156513666,0.3715004554874927,16,32
0.001,independent,28,0.5585806566235981,0.6349078440202294,0.31242998398478655,16,32
0.001,independent,29,0.5774038193680275,0.656929422849694,0.34790238481827696,16,32
0.001,independent,30,0.5975740364310009,0.6803872861380673,0.27115705052821176,16,32
0.001,independent,31,0.6121928959511691,0.6974218991100551,0.28578444528264163,16,32
0.001,independent,32,0.6265461665495189,0.7141727860520234,0.22927117619662574,16,32
0.001,independent,33,0.6368149102762499,0.7262051267702072,0.2271409292934008,16,32
0.001,independent,34,0.6461613028234237,0.7372678300990884,0.21570334752633472,16,32
0.001,independent,35,0.6543812651736263,0.7467682591041909,0.20109397110716548,16,32
0.001,independent,36,0.661339186307305,0.754944745911217,0.1851940018635568,16,32
0.001,independent,37,0.6666291718789951,0.7614353048727531,0.16322007978383554,16,32
0.001,independent,38,0.6710178692218658,0.7666322440266015,0.14995242031530948,16,32
0.001,independent,39,0.6749160149253746,0.7710068988166567,0.14628671377283617,16,32
0.001,independent,40,0.6781926117645501,0.7749350617944476,0.12383639858782486,16,32
0.001,independent,41,0.6807877162171616,0.7778303051683423,0.11320383724103457,16,32
0.001,independent,42,0.6829953604593333,0.7804459955468975,0.11578781556103232,16,32
0.001,independent,43,0.6849560204364429,0.7826462110271911,0.0903374781134247,16,32
0.001,independent,44,0.6863193151623778,0.7842992314892535,0.09306769720668404,16,32
0.001,independent,45,0.6878137351936287,0.7858951212612083,0.09378206060901796,16,32
0.001,independent,46,0.6892293232479959,0.7874086301986462,0.10068376054378306,16,32
0.001,independent,47,0.6907494387553512,0.7887303138581108,0.0957142664470234,16,32
0.001,independent,48,0.6920966098658254,0.7902695403238251,0.0840977675287028,16,32
0.001,independent,49,0.6930246939467172,0.791571630198454,0.085816327444974,16,32
0.001,independent,50,0.6941377986692643,0.7930173595156785,0.07358699971713327,16,32
0.001,independent,51,0.6948452143640274,0.7938481966545051,0.08605006280759384,16,32
0.001,independent,52,0.6957177926395154,0.7951205813170584,0.08346381447929851,16,32
0.001,independent,53,0.6967852182107279,0.7963153479046058,0.07842701770787061,16,32
0.001,independent,54,0.6975045718831787,0.7973233523679616,0.07244898985147098,16,32
0.001,independent,55,0.6983624003202986,0.7984075287870414,0.08708953016333369,16,32
0.001,independent,56,0.6989648680275649,0.7994552610766066,0.07555971536056487,16,32
0.001,independent,57,0.6995338319508555,0.8003688776883022,0.06926001536911187,16,32
0.001,independent,58,0.7003497484542709,0.8013721974425453,0.1137588256853065,16,32
0.001,independent,59,0.700817197627488,0.801510613454573,0.09070280406516264,16,32
0.001,independent,60,0.7016278899657411,0.8020838216042657,0.07815324213043892,16,32
0.001,independent,61,0.7022380074449899,0.8031273647948032,0.07293255864881663,16,32
0.001,independent,62,0.7029445626068015,0.803933354099009,0.07464135890407667,16,32
0.001,independent,63,0.7037177800476676,0.8050239928036361,0.06828517476580387,16,32
0.001,independent,64,0.7043665299368922,0.8058465238214821,0.07838072695903717,16,32
0.001,independent,65,0.7047555090197635,0.806653711126256,0.10614505233070448,16,32
0.001,independent,66,0.7051477682586615,0.8068590346257127,0.09636949049105029,16,32
0.001,independent,67,0.7058199199744724,0.8077552948917845,0.06605829385360219,16,32
0.001,independent,68,0.7065590476743553,0.8084289478713783,0.08305021279681,16,32
0.001,independent,69,0.7072416136099091,0.8093998742695716,0.06515831851637974,16,32
0.001,independent,70,0.7078946942453221,0.810083401839189,0.0729168079269518,16,32
0.001,independent,71,0.7086019181864016,0.8105817970609439,0.06707499261948599,16,32
0.001,independent,72,0.7090393274430966,0.8111181764574674,0.06982625889475262,16,32
0.001,independent,73,0.7096258489789513,0.8120847028050691,0.07939758630973348,16,32
0.001,independent,74,0.7100393770644243,0.8129393579951926,0.06689701169285157,16,32
0.001,independent,75,0.7105550858193183,0.8135680430832241,0.06620598469360614,16,32
0.001,independent,76,0.711016205815396,0.8142159473128723,0.06768666960005158,16,32
0.001,independent,77,0.7114155612000108,0.8149814654355662,0.07988226071252735,16,32
0.001,independent,78,0.7118745011559495,0.8158606535467483,0.07958511350939719,16,32
0.001,independent,79,0.7123478866510782,0.8167540010793123,0.06310217667294558,16,32
0.001,independent,80,0.7129602202233403,0.8175890262045536,0.0,16,32
0.001,cross,0,0.03369722567871827,0.03629077792440385,0.15510404916271486,4,12
0.001,cross,1,0.03822277372847143,0.041294797075010416,0.12518787317355862,4,12
0.001,cross,2,0.04173259701027767,0.04520451955723084,0.1757125749404496,4,12
0.001,cross,3,0.047508038957419806,0.051641765294870814,0.19081014203235955,4,12
0.001,cross,4,0.05429110439021406,0.05924666621453558,0.20793475354622037,4,12
0.001,cross,5,0.06230762431311862,0.06829339744672124,0.20638353996535785,4,12
0.001,cross,6,0.07074233632818662,0.07760904513556835,0.24654341209416425,4,12
0.001,cross,7,0.08188568929518103,0.09035602191562783,0.25008592374897903,4,12
0.001,cross,8,0.09398701559649512,0.1042627696275948,0.2939689142499156,4,12
0.001,cross,9,0.10955772488383703,0.12236339010970512,0.321653858377249,4,12
0.001,cross,10,0.12798896471015078,0.14397332670874965,0.2897591472776919,4,12
0.001,cross,11,0.14523725486415276,0.16445207349218066,0.3487391002479758,4,12
0.001,cross,12,0.16737159427532222,0.19085019394198835,0.3941122298800116,4,12
0.001,cross,13,0.19393751172279242,0.22267698474915074,0.3033389053262882,4,12
0.001,cross,14,0.21458173372331926,0.24765772783544793,0.4204306144322922,4,12
0.001,cross,15,0.24396244322117597,0.28320722941731763,0.42413389658208406,4,12
0.001,cross,16,0.2734544232337479,0.31902601929968133,0.4195057398066677,4,12
0.001,cross,17,0.30036838305870533,0.35189436826466275,0.29605263397101655,4,12
0.001,cross,18,0.31878127098647674,0.3741132868397261,0.4079904596276189,4,12
0.001,cross,19,0.34585335210475154,0.4069680172016869,0.30614393349016733,4,12
0.001,cross,20,0.3655574809587785,0.4304628733893666,0.39640047428035413,4,12
0.001,cross,21,0.39140138724210366,0.4616637498554492,0.3922743999075511,4,12
