gamma,method,initial_validation_fidelity,final_validation_fidelity,best_validation_fidelity,best_iteration,final_noiseless_fidelity,train_trajectories,validation_trajectories
0.001,independent,0.03666960998281836,0.7129602202233403,0.7129602202233403,80,0.8175890262045536,16,32
0.001,cross,0.03369722567871827,0.6882317533456394,0.6882317533456394,80,0.8165211045839793,4,12
0.012,independent,0.05213940548859976,0.23054408478507077,0.23054408478507077,80,0.7086993089830983,16,32
0.012,cross,0.04927133830601577,0.24184679583585067,0.24184679583585067,80,0.7002944708091846,4,12
0.023000000000000003,independent,0.06355954041197528,0.10173069141336372,0.10173069141336372,80,0.21761372376092206,16,32
0.023000000000000003,cross,0.07179296921798216,0.08171229367294923,0.0818659951499048,79,0.2379833671766523,4,12
0.034,independent,0.04369110097475887,0.05485805400771797,0.05485805400771797,80,0.08199114364329878,16,32
0.034,cross,0.04805468627602025,0.05763138233881657,0.05763138233881657,80,0.08984708178826767,4,12
0.045000000000000005,independent,0.06184066658769938,0.06854194503104173,0.06860968079466796,78,0.06147023000817259,16,32
0.045000000000000005,cross,0.07509840566115339,0.08133574821405092,0.08163488316262858,78,0.07742853355874238,4,12
0.05600000000000001,independent,0.054720162910545794,0.056547109754907864,0.057080316682333335,65,0.04883746131677046,16,32
0.05600000000000001,cross,0.07903955734664968,0.07965840172819573,0.08000152733606102,40,0.049256764487638535,4,12
0.067,independent,0.055376554928240104,0.05738998841478256,0.05754080392033108,76,0.04925442985708689,16,32
0.067,cross,0.05367953694396174,0.05415194993770662,0.05581468900875617,52,0.05252761873042586,4,12
0.07800000000000001,independent,0.047154378938082386,0.049082123319743674,0.049226470599043885,75,0.035569510049866235,16,32
0.07800000000000001,cross,0.04040903815568393,0.04234466976720381,0.042621831505910056,68,0.046782745742560014,4,12
0.08900000000000001,independent,0.07338175431685896,0.07259780113877745,0.07339712349962854,3,0.04362462764882216,16,32
0.08900000000000001,cross,0.07619384638397862,0.07146065258835135,0.0765667312414994,11,0.04470232570149186,4,12
0.1,independent,0.08422915732391434,0.08614970193841387,0.08614970193841387,80,0.04553521326997639,16,32
0.1,cross,0.0598759987540039,0.06105647999623894,0.06252495830079276,47,0.0490986959000487,4,12
