iteration,mean_fidelity,raw_mean_fidelity,loss,step_size,gradient_norm,mean_jump_count,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9,traj_10,traj_11,traj_12,traj_13,traj_14,traj_15,traj_16,traj_17,traj_18,traj_19,traj_20,traj_21,traj_22,traj_23,traj_24,traj_25,traj_26,traj_27,traj_28,traj_29,traj_30,traj_31,traj_32,traj_33,traj_34,traj_35,traj_36,traj_37,traj_38,traj_39,traj_40,traj_41,traj_42,traj_43,traj_44,traj_45,traj_46,traj_47,traj_48,traj_49
0,0.18769405842991577,0.18769405842991535,0.8123059415700842,0.1,0.015323935484908006,2.18,9.9087680116628762e-01,9.9719623664346613e-10,1.9278038088623218e-04,2.4729731953254208e-04,4.5007588224272083e-01,1.0177835827170294e-02,9.8748209873787385e-01,1.8490190884782722e-04,5.3791727641380215e-09,1.4870278295405762e-01,3.3267070713809860e-05,6.4114097403609988e-05,1.9534946174758539e-07,2.3624520833600870e-07,8.0794634054091696e-01,1.2974390372975179e-02,5.1190853805806379e-05,1.6349042870724757e-04,9.9087680116628762e-01,6.0788987082046364e-01,6.2248131405337925e-04,4.8609496532367626e-04,2.7852608174846252e-07,1.3949763200894569e-05,2.1913815595051302e-03,3.7683892062668817e-01,9.9087680116628762e-01,1.4196381623803163e-05,5.9832491571550372e-01,8.2534882958484003e-06,8.1482633079890156e-03,3.8713389364692779e-04,1.2251099514083891e-02,9.6906628675512332e-03,7.0143174324317145e-03,9.8970431728549448e-06,7.8287502655492952e-04,9.9087680116628762e-01,1.2562694927990384e-04,3.2369407309511647e-07,9.1836458504001282e-04,8.4613170600230324e-05,1.8490190884782722e-04,1.5062035046554678e-02,4.9473404414151362e-04,1.7466453908545437e-01,9.9087680116628762e-01,1.7311379569551130e-01,2.1598900473167780e-02,1.0996780588588544e-03
1,0.17971684873818258,0.17971684873818233,0.8202831512618174,0.1,0.020241878124093626,2.46,6.2544609614152358e-01,2.0643806262658825e-05,2.0770629776790415e-02,1.3446207943523805e-04,1.6322988771752371e-03,3.1684376633839759e-02,5.4802345959841603e-01,2.9027677246802792e-05,1.7502095120365137e-04,1.4115891206826142e-01,8.7200678833938922e-05,8.7322139157114476e-05,2.6712181808248566e-07,5.0318611813674391e-02,7.8964754227995541e-04,3.2198180392637982e-01,4.3561541018467528e-02,2.1281918427935313e-03,9.9087460645474823e-01,1.8659437079899128e-05,6.9412692604322162e-06,5.8377130444875602e-01,1.6774345509168506e-02,1.1431885424779658e-05,1.4606248582826834e-05,1.4125261546386766e-02,5.9896205265003066e-01,3.8202304681074395e-01,3.3114287187499085e-05,2.9552861927586775e-07,5.8276364565872827e-06,7.3651759292779281e-06,1.1858696768797223e-06,3.4038446562191210e-02,2.9739018308666443e-01,5.4322007607114262e-04,2.2817168140142782e-05,9.8884486958853390e-01,3.0019022696249551e-05,6.2789446848922670e-01,1.8350581500813154e-01,7.8034118274667992e-04,6.8643361988017204e-01,1.9405036138032787e-04,3.3732953452850763e-03,1.1292755193404058e-01,2.1081999050621100e-01,9.0689311285152874e-01,5.5748928189198221e-01,1.7955025150435607e-06
2,0.18013882962326036,0.1801388296232605,0.8198611703767397,0.1,0.021319294730281466,2.24,4.1628802875873332e-03,1.7486323458575485e-03,5.3733054058845023e-03,3.5510283975943784e-05,1.4070928005687180e-01,1.3458888572981417e-07,1.2194713071396229e-06,1.6268979801549194e-05,1.2717295935095662e-03,3.5649820849559394e-02,1.4548431172793389e-04,9.8883655373743340e-01,2.5304521069766938e-05,4.0618103187975164e-04,1.9971601266054412e-01,1.1060629639731045e-05,4.1943734662133218e-03,5.8483055654535786e-08,9.9086748683905790e-01,5.6043621608586103e-01,3.7625462320994602e-01,5.3434489358473525e-01,9.9086748683905790e-01,1.0509702822223289e-05,1.0951908227509882e-03,4.3933191826875124e-04,1.1459462875877437e-01,1.8300763497032488e-08,4.0465739942431200e-05,9.9086748683905790e-01,1.8372121149722501e-04,2.8265371891138599e-05,2.8452205306950671e-05,6.9360187457966778e-09,1.4548431172793389e-04,3.3304489538946206e-03,8.3079182716529429e-05,4.9875253583239382e-01,3.9125529816865275e-05,1.9434191211915855e-01,2.2994647487978548e-05,1.1894432628708058e-01,9.9086748683905790e-01,1.0962962790996136e-06,9.9086748683905790e-01,6.9000415346626537e-07,4.3970143748650045e-04,2.6673419346397270e-01,3.9354796241339155e-06,4.3888685543224880e-06
3,0.24309125424177838,0.2430912542417781,0.7569087457582216,0.1,0.015290602200124835,2.52,3.9233870912386874e-06,2.5849494597461531e-03,1.4024089217922722e-04,8.1671611984833713e-03,6.6156340960584248e-01,6.7248383389008451e-05,1.7761432969050275e-01,2.5460995896500142e-04,3.0154814055141951e-03,9.9085570449133209e-01,2.2102829010343357e-06,3.3637264369952943e-02,9.8882561671021407e-01,9.9148300123480678e-04,5.5063381977713976e-05,7.9843917183001524e-04,1.4693385589436534e-02,1.1776663434969656e-01,5.8928542137995887e-01,9.9085570449133209e-01,2.3836000140649603e-04,1.2926503122023320e-04,6.3928206936159725e-05,1.4134920175585600e-03,1.0182601954652995e-02,4.9881316696365724e-01,9.9085598334233882e-01,1.0953564583359511e-04,9.9085570449133209e-01,3.2608455987024259e-08,4.6284355867928471e-02,5.9889470917605403e-01,1.7056202506220551e-04,9.9085570449133209e-01,1.5788987652328434e-01,4.6523598686903861e-03,4.6599807410974189e-03,1.6408934204331461e-06,3.0496677526495202e-06,1.0060012339448100e-03,9.9085570449133209e-01,8.0976675737946520e-05,7.6652632236906789e-07,6.3350305607285526e-05,5.3661630451707887e-01,9.3909927364197499e-01,3.4603920682090830e-03,1.2090157346028245e-04,1.2695021544602636e-05,8.0599375531411210e-01
4,0.15249973263800315,0.15249973263800307,0.8475002673619969,0.1,0.014698176521355666,2.6,4.8742641534347305e-04,6.1224415014629330e-01,3.5450241629600023e-06,1.4750773688331742e-01,1.9600811431286732e-06,7.5917052091045283e-06,8.1544413273245053e-01,1.2356788943361438e-07,2.1251892554393135e-04,5.2166236760434241e-02,2.7103204278893111e-06,1.5656082701003377e-01,5.1298425961898657e-05,6.0854581295713950e-01,1.8641839230410769e-07,5.0646237328809867e-03,1.3785532088717107e-04,3.1837880489075988e-10,2.9512431319405103e-03,4.0199059280689277e-05,1.3835956441731301e-01,9.9085951221455837e-01,8.0494995124410754e-07,1.2682398771323209e-04,9.9085951221455837e-01,1.6259549759472080e-04,1.0811536108908954e-03,3.6405190260858812e-09,4.5909441034780790e-01,3.8944718017910135e-05,1.3252845330774920e-04,3.0117475914780502e-05,3.8840154274469028e-05,9.9085951221455837e-01,1.0136767538773716e-03,3.9067408335063710e-07,3.8192166646033970e-01,1.7496605086322917e-01,2.2140813563109406e-04,7.8858952183571333e-04,8.7685349837013371e-03,7.5903331966256440e-02,2.9767835560108406e-05,2.9802456367350174e-05,4.5713274413812993e-04,1.9182759032678714e-09,6.8440614132838739e-04,9.9085951221455837e-01,1.5481906608601036e-02,7.8594978828226052e-04
5,0.14043734557092843,0.14043734557092846,0.8595626544290715,0.1,0.023264491788337997,2.24,2.2506273102433631e-02,5.6634314308045490e-04,3.7800943540929766e-03,9.9085841917414552e-01,7.7202834109241758e-01,2.2554911810766390e-01,1.2336560607008515e-05,1.8208640578229407e-01,2.0979077999092226e-04,2.0200366614632117e-03,2.2987566609564155e-04,1.6327516998262633e-02,2.2946702334365897e-04,1.8458365675401626e-05,1.0718905987465487e-08,4.7208754905968625e-02,1.3928368202327998e-04,5.6307823264981394e-01,1.6520008794883488e-02,1.0727196529112754e-04,1.2328749746315309e-05,1.8658070957885614e-04,3.3203598103921556e-01,8.6932979236047897e-02,1.0862665195131064e-06,8.9801198887549843e-07,5.3719461548903838e-04,9.7809005329497506e-06,4.3675160117211337e-05,4.1892825928714122e-01,2.0102674124621698e-10,5.9791284734804218e-01,1.3885417625263608e-05,1.4168400365042103e-01,1.0588651192517430e-02,3.5882547279331197e-06,4.3125973393343452e-05,4.8767733879402663e-04,1.5975002446480416e-03,1.3345768573979538e-02,3.7070593902847855e-04,9.0482475489040304e-01,1.6898312406031540e-01,2.8760257800712983e-03,1.4473031581809528e-02,2.5875377101685516e-05,9.9085841917414552e-01,1.1977093127808520e-05,4.9158508019706459e-01,1.6432753347085693e-05
6,0.2060820370983586,0.20608203709835848,0.7939179629016414,0.1,0.019957852208030875,2.36,9.1657750134076471e-05,1.8906966206811751e-05,1.8865187310646369e-04,3.5350570714707376e-07,1.1956445200501228e-02,9.0504933293161749e-01,1.4851355357687132e-04,4.0375645132346361e-01,9.9084947748511554e-01,6.2954107454681217e-07,9.0519094196275185e-01,2.7207258194903783e-05,7.6090019814600757e-02,4.2034791392814416e-07,5.5522828002217130e-06,3.8665070278479724e-01,2.8029681574583119e-03,3.0143149960641458e-03,1.0007657425649956e-03,2.0604452062842013e-01,4.0864990535225357e-03,1.6338988821583329e-03,2.2322647498967407e-01,1.3135680568820921e-05,9.9084947748511554e-01,8.4217235003793500e-01,9.9036362726131677e-01,9.9084947748511554e-01,5.9057357502332798e-05,2.9359352115941328e-02,3.1351893695506301e-08,3.1262565066704889e-01,1.8484597483370538e-01,2.5060592706743592e-06,2.1749681010835179e-04,2.2065103307824896e-03,4.6783570370598822e-03,3.0032799957383314e-05,1.5526810063905247e-01,5.1068965112390225e-08,8.4319508450053030e-04,6.5098928830294297e-03,1.2162198054816641e-04,8.4427299677391036e-06,2.5559267718499707e-03,3.6414896867021663e-05,2.1391579932726914e-02,9.0704452934963176e-01,6.3594549971101255e-01,1.0426885552502986e-01
7,0.2522523404770299,0.25225234047703005,0.7477476595229702,0.1,0.023180037522077125,2.36,4.5890283721801005e-04,9.9083707381725517e-01,2.8523379140496384e-03,9.9083707381725517e-01,9.6554765278066988e-04,3.0149367988106133e-03,2.3028035527283133e-01,8.1443550191886827e-01,9.9083707381725517e-01,3.5387637833663721e-01,2.2457154898519543e-04,3.3011754462259072e-05,1.3867381636004054e-04,7.1794953558567686e-06,1.7029125239721967e-05,9.0535852360071600e-01,7.8361384239771625e-01,9.9083707381725517e-01,1.8265044985650830e-01,3.9433081823238601e-05,1.9636187594553195e-01,9.9083707381725517e-01,3.9180828052262112e-06,1.4743681455685906e-03,5.5521776835105192e-03,3.1784134390869978e-01,3.5913072868436335e-01,6.0631537719317619e-01,4.8860928128485308e-06,9.4103581711909301e-01,1.7043003895744653e-03,9.7803999883873762e-04,5.9820730222464669e-01,6.9666775486774529e-07,4.9185763954339817e-01,2.7972136035192630e-03,8.6453357716699437e-03,2.3933160318155662e-05,9.5953810522599449e-04,1.8595147651867032e-06,2.4643222010649828e-04,5.9870604812720984e-01,1.0005964010552229e-01,4.1531591443468234e-02,2.9679399665421158e-04,1.0360315927576410e-05,2.4776851239521865e-03,1.0935866397059174e-08,1.0388293900245513e-01,3.5712625041874583e-04
8,0.24513057585591164,0.24513057585591155,0.7548694241440883,0.1,0.03739466618711745,2.24,8.7420954193833254e-05,1.4933162230202301e-01,1.0927859751619362e-01,8.1021609676747031e-01,1.2559762892653251e-01,1.9382625992109731e-01,4.9481508600468502e-02,2.0220544004805445e-04,9.9084492332968233e-01,1.6193189610321834e-06,3.7803860732643330e-01,5.4665336523942687e-01,9.9084492332968233e-01,1.8345137549031240e-04,1.1584933683955950e-02,3.2717100219998720e-02,1.4784039531634331e-02,6.2762708006764290e-01,7.9894602087388422e-01,8.0473200778813092e-01,1.2620850230338604e-05,3.4394344444726201e-02,2.4890923386507841e-01,5.7227139258079422e-04,9.9084492332968233e-01,1.4671910669286695e-01,2.6410550344601873e-02,1.3070505545340624e-01,4.4977342189851865e-03,9.9084492332968233e-01,5.1327063500094465e-06,3.6176798704825488e-03,5.1031928983969760e-08,1.0168742022916241e-04,2.5763093950936522e-05,5.4833548016562720e-05,6.5588733102323460e-01,5.2612051153975170e-01,1.8312753486218941e-01,3.4974944831617727e-01,1.5963821295723618e-01,2.2232373694565946e-05,1.0334563711426507e-07,1.6541434345364406e-07,1.2811502756944699e-04,1.1871802282940813e-03,9.9084492332968233e-01,1.0553210698322212e-01,7.1396463922588915e-02,1.9913936621177461e-04
9,0.1476554287774548,0.1476554287774548,0.8523445712225453,0.1,0.017686742928564016,2.52,1.3073375616754057e-02,1.5440754402399604e-01,1.4901926899714656e-02,4.6691664311528708e-06,8.0616464713684788e-01,6.3463553653503452e-02,7.9873029638596711e-05,2.1591126139134615e-04,3.7835676271997654e-01,1.2464254677179397e-02,6.2714253625124228e-01,6.9592255569599928e-02,7.8917381681617178e-03,1.5607177353948688e-05,4.9086671475771108e-02,7.5110568098064087e-02,7.3246896404900903e-04,2.3914343929935141e-04,2.7577070675328597e-05,1.6788479572790557e-08,2.9811312200726214e-01,2.9488878891640266e-03,3.6537765748664042e-01,3.8199418368358473e-01,9.8880428509329032e-01,3.2747036407450891e-01,2.0547071730147831e-05,2.4986018312315288e-05,3.8715318279356775e-01,3.2484964725173452e-03,9.8488677938538135e-05,5.8646033317135138e-01,8.9646542120223673e-05,3.5314918107207007e-05,9.5461054198205033e-05,2.5353344761838323e-05,6.2606886274500617e-01,1.3568235218949927e-05,4.5763697383124551e-05,8.9484567025060520e-06,1.2198855681549461e-01,9.4354672979532153e-05,9.9081740744169078e-01,1.5963777272214927e-05,4.0390945955220388e-03,2.4706442031877419e-02,2.0547071730147831e-05,3.1593199114572608e-11,2.0486276853214548e-05,3.1536229477680454e-08
