iteration,mean_fidelity,raw_mean_fidelity,loss,step_size,gradient_norm,mean_jump_count,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9,traj_10,traj_11,traj_12,traj_13,traj_14,traj_15,traj_16,traj_17,traj_18,traj_19,traj_20,traj_21,traj_22,traj_23,traj_24,traj_25,traj_26,traj_27,traj_28,traj_29,traj_30,traj_31,traj_32,traj_33,traj_34,traj_35,traj_36,traj_37,traj_38,traj_39,traj_40,traj_41,traj_42,traj_43,traj_44,traj_45,traj_46,traj_47,traj_48,traj_49
0,0.8458235298562548,0.8458235298562542,0.15417647014374525,0.1,0.055942216336113584,0.24,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,3.7647859787106795e-02,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,1.8104217321128147e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,4.8165920594645201e-04,2.2260631535591782e-02,9.9087679951253671e-01,3.2177030877860691e-01,9.9087679951253671e-01,9.9087679951253671e-01,4.0073908253760160e-01,9.9087679951253671e-01,9.9087679951253671e-01,1.3949770115323284e-05,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,3.1430458997314260e-05,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,9.9087679951253671e-01,8.0731175811393152e-01,8.8480565891208951e-01
1,0.7801464628156741,0.7801464628156757,0.21985353718432588,0.1,0.041311494114900045,0.26,9.9086756440568469e-01,9.9086756440568469e-01,1.9634566543274781e-01,9.9086756440568469e-01,1.8609323599297792e-04,9.9086756440568469e-01,9.9086756440568469e-01,5.1501387262417209e-01,9.9086756440568469e-01,9.9086756440568469e-01,3.8861006716438056e-04,3.7316299161408047e-04,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,6.1390375737204594e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,2.0879306286152310e-06,9.9086756440568469e-01,2.8795033872355510e-05,2.8104559036253317e-02,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,9.9086756440568469e-01,3.9396569818274332e-07,7.5175338111753235e-06,1.1781436845886577e-06,9.9086756440568469e-01
2,0.8433663299011468,0.8433663299011462,0.1566336700988532,0.1,0.051660085246529354,0.24,9.9087640012013956e-01,9.9087640012013956e-01,1.4760895971548652e-01,9.9087640012013956e-01,1.4148814435230025e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,6.1686904897374506e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,5.1851641565748952e-01,1.2796879702821949e-05,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,8.0217363751468174e-01,9.9087640012013956e-01,3.0683211389222415e-01,2.0204544068535180e-03,9.9087640012013956e-01,9.8747783481975016e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,1.2867036969222982e-04,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,9.9087640012013956e-01,1.0088137899740581e-03,9.9087640012013956e-01
3,0.8053367523286369,0.8053367523286383,0.19466324767136312,0.1,0.03859169087294142,0.24,3.1732432409575391e-06,9.9088103682584305e-01,1.7127673276975974e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,3.6439269862197822e-05,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,6.6634326324025066e-03,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,2.3303660453210273e-04,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,3.7833199820811403e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,2.8690789009974262e-02,2.8225214203066044e-07,9.9088103682584305e-01,9.9088103682584305e-01,2.4417139646786021e-05,9.9088103682584305e-01,4.6335842268455905e-02,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01,9.9088103682584305e-01
4,0.7849011516585438,0.784901151658543,0.2150988483414562,0.1,0.0426826603958472,0.24,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,6.4601713922084235e-06,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,4.9659462336519383e-02,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,1.7009887234277684e-05,2.8759011748669377e-04,1.7370998221912731e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,1.2795188939521010e-04,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,4.6642046302483003e-07,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,1.6958116244317919e-05,5.6298630070207821e-03,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01,5.8303202110189221e-07,3.7090621625834025e-01,9.9088961639671658e-01,9.9088961639671658e-01,9.9088961639671658e-01
5,0.8023029210194617,0.8023029210194623,0.19769707898053834,0.1,0.029053999169309272,0.24,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,1.2769955359296617e-03,9.9088876288381122e-01,9.9088876288381122e-01,2.6258559210734307e-05,9.9088876288381122e-01,9.9088876288381122e-01,2.4179058844769799e-04,9.9088876288381122e-01,2.0207750704453111e-04,9.9088876288381122e-01,4.7598557484989611e-02,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,4.0624683576916232e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,1.2125563986145788e-06,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,2.6258559210734307e-05,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,1.9652659439759516e-05,9.9088876288381122e-01,9.9088876288381122e-01,9.9088876288381122e-01,2.3955896400802496e-02
6,0.792400571154145,0.7924005711541473,0.20759942884585503,0.1,0.031986949822292506,0.28,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,2.0959017640673122e-06,1.0537542394872150e-01,9.9089183216906107e-01,7.9872140173902883e-04,9.9089183216906107e-01,4.5200576864567932e-01,9.9089183216906107e-01,5.2116002470765988e-06,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,2.0367095057634552e-01,2.4655485687582438e-04,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,3.9186861815665275e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,8.3046516750408188e-05,2.0459340507403111e-04,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,2.0254859275613853e-06,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,9.9089183216906107e-01,8.1187592478716231e-01,9.9089183216906107e-01
7,0.8394172823821462,0.8394172823821457,0.1605827176178538,0.1,0.04051770062365063,0.22,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,5.4343887296260752e-06,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,2.5423403293151038e-04,9.9088565951781760e-01,4.9305380083212807e-04,9.9088565951781760e-01,5.3194545454219148e-07,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,6.0734468779498774e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.2259493319775440e-02,5.9793458375451913e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,2.5403346777663912e-04,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,4.8034895947599229e-02,9.8885678994200832e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01,9.9088565951781760e-01
8,0.9364146342832024,0.9364146342832018,0.06358536571679763,0.1,0.03932385159269468,0.1,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,6.0388993148202480e-07,9.9089967614625818e-01,9.9089967614625818e-01,6.0452529608176253e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,8.1173698466483168e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,1.9541196358289863e-06,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,8.1398144882234014e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01,9.9089967614625818e-01
9,0.7798214179271575,0.7798214179271566,0.22017858207284247,0.1,0.04917152130708536,0.3,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,1.7154151160657202e-01,9.9091173310431235e-01,2.0857566742061267e-05,9.9091173310431235e-01,9.9091173310431235e-01,3.7334997678992554e-01,3.8871469635097153e-04,9.9091173310431235e-01,5.1242199929079878e-03,9.9091173310431235e-01,9.4217425449880321e-02,9.9091173310431235e-01,9.9091173310431235e-01,3.0287364807404948e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,5.9848524250059343e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,3.2315119918952406e-01,9.9091173310431235e-01,1.8510093350192212e-03,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,2.2794636240588400e-03,9.9091173310431235e-01,4.5405299332725368e-01,9.9091173310431235e-01,9.9091173310431235e-01,9.9091173310431235e-01,5.0934544226462826e-07
