iteration,mean_fidelity,raw_mean_fidelity,loss,step_size,gradient_norm,mean_jump_count,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9,traj_10,traj_11,traj_12,traj_13,traj_14,traj_15,traj_16,traj_17,traj_18,traj_19,traj_20,traj_21,traj_22,traj_23,traj_24,traj_25,traj_26,traj_27,traj_28,traj_29,traj_30,traj_31,traj_32,traj_33,traj_34,traj_35,traj_36,traj_37,traj_38,traj_39,traj_40,traj_41,traj_42,traj_43,traj_44,traj_45,traj_46,traj_47,traj_48,traj_49
0,0.18769405842991577,0.18769405842991507,0.8123059415700842,0.1,0.036364300808286974,2.18,9.9087680116628762e-01,9.9719623664346613e-10,1.9278038088623218e-04,2.4729731953254208e-04,4.5007588224272083e-01,1.0177835827170294e-02,9.8748209873787385e-01,1.8490190884782722e-04,5.3791727641380215e-09,1.4870278295405762e-01,3.3267070713809860e-05,6.4114097403609988e-05,1.9534946174758539e-07,2.3624520833600870e-07,8.0794634054091696e-01,1.2974390372975179e-02,5.1190853805806379e-05,1.6349042870724757e-04,9.9087680116628762e-01,6.0788987082046364e-01,6.2248131405337925e-04,4.8609496532367626e-04,2.7852608174846252e-07,1.3949763200894569e-05,2.1913815595051302e-03,3.7683892062668817e-01,9.9087680116628762e-01,1.4196381623803163e-05,5.9832491571550372e-01,8.2534882958484003e-06,8.1482633079890156e-03,3.8713389364692779e-04,1.2251099514083891e-02,9.6906628675512332e-03,7.0143174324317145e-03,9.8970431728549448e-06,7.8287502655492952e-04,9.9087680116628762e-01,1.2562694927990384e-04,3.2369407309511647e-07,9.1836458504001282e-04,8.4613170600230324e-05,1.8490190884782722e-04,1.5062035046554678e-02,4.9473404414151362e-04,1.7466453908545437e-01,9.9087680116628762e-01,1.7311379569551130e-01,2.1598900473167780e-02,1.0996780588588544e-03
1,0.17973326339398388,0.17973326339398357,0.8202667366060161,0.1,0.04098818960860886,2.46,6.2747295162643868e-01,1.7767744022317759e-05,2.0698487433796223e-02,1.3442828883614437e-04,1.6365227482008622e-03,3.1664369498734773e-02,5.4746235361643980e-01,2.8945765460980582e-05,1.7498014667329125e-04,1.4104980613413018e-01,8.7396504281596259e-05,8.6938644772218784e-05,2.6480415404223091e-07,5.0064647934909924e-02,7.8177043116779157e-04,3.2182446938455345e-01,4.3332050372233782e-02,2.0705654786130059e-03,9.9087191074419556e-01,2.5781655780251255e-05,6.8706018856882294e-06,5.8173102601086235e-01,1.6761708308882749e-02,1.1350024794013484e-05,1.0542297495022889e-05,1.4198696118784271e-02,6.0026480181734021e-01,3.8198847212491654e-01,3.3447687944780650e-05,2.5398017218471188e-07,5.7472936900356726e-06,7.3404179398968656e-06,1.1878705988211080e-06,3.4214460660149812e-02,2.9770027197709825e-01,5.4169489181981831e-04,2.2724923297436131e-05,9.8884528039662500e-01,2.8221180466627586e-05,6.2992243390830793e-01,1.8223748694612590e-01,7.8077470739936871e-04,6.8612821293375670e-01,1.9459242562216950e-04,3.3871406141309617e-03,1.1213443802310427e-01,2.1100571676648197e-01,9.0688762114704402e-01,5.5812267313904040e-01,1.5715460226872870e-06
2,0.18005274899553445,0.18005274899553442,0.8199472510044655,0.1,0.037925283074091876,2.24,4.0414145824461322e-03,1.7641406949086660e-03,5.2602064010935992e-03,2.9746029160947518e-05,1.4158967484519974e-01,3.1753437645386000e-07,8.5404016604466956e-07,1.6212578274347217e-05,1.2904037974811027e-03,3.5484681613303669e-02,1.4303819573183762e-04,9.8883463305209784e-01,2.8158144277218208e-05,4.0109906714981710e-04,1.9909464656922246e-01,7.9978183777926110e-06,3.9139456739248780e-03,5.8455240108266203e-08,9.9086406612504574e-01,5.6161526339946288e-01,3.7455860540455099e-01,5.3213047457213647e-01,9.9086406612504574e-01,9.9446530734557962e-06,1.0865268268845777e-03,4.4931767619372105e-04,1.1534241007742876e-01,1.6090300281479898e-08,3.9978407857317841e-05,9.9086406612504574e-01,1.8261327194870767e-04,2.9045470283271178e-05,2.8190970787744815e-05,6.9222210041666907e-09,1.4303819573183762e-04,3.2904752899266311e-03,7.7093074983353391e-05,4.9875041909804840e-01,3.9855557792013733e-05,1.9571886665068866e-01,2.4145477465603479e-05,1.1815129136111822e-01,9.9086406612504574e-01,1.1157102014090098e-06,9.9086406612504574e-01,6.4847124666454891e-07,4.4071247468962583e-04,2.6429728954835563e-01,3.9206369839477098e-06,4.6247687015793960e-06
3,0.2430571215548612,0.2430571215548606,0.7569428784451389,0.1,0.032566994879683425,2.52,3.5290229373057561e-06,2.5795686908221464e-03,1.2820555656312344e-04,8.1570639222448837e-03,6.6003941480912787e-01,7.4528409596327262e-05,1.7778114872947554e-01,2.5563547720947808e-04,3.0164090732874775e-03,9.9085512422584010e-01,2.0941712807273402e-06,3.3624406847592637e-02,9.8882311507529053e-01,1.0063174697001525e-03,5.4907017694343584e-05,7.9594066163397013e-04,1.4666587116225331e-02,1.1817737346600353e-01,5.8977251158130906e-01,9.9085512422584010e-01,2.3691207570564974e-04,1.2389488499388524e-04,7.7744653527025444e-05,1.4194496670412245e-03,1.0258753792983371e-02,4.9912297890494783e-01,9.9085540507912351e-01,1.0603043988291414e-04,9.9085512422584010e-01,2.8555507304905900e-08,4.6206393677669863e-02,5.9981434976970427e-01,1.6972558307991442e-04,9.9085512422584010e-01,1.5779271293977504e-01,4.6389788657671682e-03,4.7837922511591007e-03,1.6375545647028931e-06,3.0408664161398249e-06,1.0047810579224509e-03,9.9085512422584010e-01,8.5472633301392404e-05,7.4923404602077698e-07,6.2347314551537694e-05,5.3471060766522061e-01,9.3845163753565042e-01,3.4520810531194946e-03,1.0908168129892897e-04,1.0302748754039226e-05,8.0612280903015077e-01
4,0.15245699598245646,0.1524569959824561,0.8475430040175436,0.1,0.03483993027790301,2.6,4.8708929343130975e-04,6.1172796324788481e-01,3.5778093624668428e-06,1.4759530337422908e-01,1.9250357584944543e-06,7.3680903091451231e-06,8.1535892998956583e-01,1.1703405059203619e-07,2.1302907104624129e-04,5.2519550772235621e-02,3.2409324452534408e-06,1.5670772326095966e-01,5.0690789948390979e-05,6.0517171053448182e-01,1.6809164878348585e-07,5.0104080130207616e-03,1.3097811324553997e-04,3.4794425961674255e-10,2.9409267833763772e-03,4.0196666235076269e-05,1.3739346730679686e-01,9.9084045082471173e-01,5.8916066317335141e-06,1.3443446296773295e-04,9.9084045082471173e-01,1.6129580648202167e-04,1.0732189397217754e-03,2.3733923464587533e-10,4.5843173771947093e-01,3.9923172297430437e-05,1.4217736056673275e-04,3.0107072547322043e-05,3.8545231868517460e-05,9.9084045082471173e-01,1.0088626373453984e-03,4.0099422391695299e-07,3.8528161875283068e-01,1.7453593058837949e-01,2.1763528826749683e-04,7.8613159947012504e-04,8.7210663727151378e-03,7.6026163715843836e-02,2.9791641570413264e-05,4.5876977135609960e-05,5.2276699706403293e-04,2.2134801616639412e-09,6.9960013483337166e-04,9.9084045082471173e-01,1.5402429748951637e-02,7.8802199399472537e-04
5,0.14032032130242078,0.14032032130242045,0.8596796786975792,0.1,0.04463998591731336,2.24,2.2503537807753209e-02,5.6753247597589589e-04,3.7545815397167985e-03,9.9084409026705333e-01,7.7149657725643572e-01,2.2563843957456892e-01,1.1568442514023004e-05,1.8374610694691301e-01,2.1121914614692197e-04,2.0228168742729151e-03,2.3042323677392875e-04,1.6566637627163698e-02,2.3185869854883476e-04,1.5707341005941353e-05,9.3013244072145114e-09,4.6926160403792078e-02,1.5306916298397878e-04,5.6204500745842678e-01,1.6426005543125684e-02,1.2814325394869917e-04,7.1537772441443938e-06,1.8904061346219599e-04,3.3081247233828975e-01,8.5307509016677815e-02,2.8557807168801140e-06,8.7412242032340166e-07,5.4094687369643534e-04,8.7310425722178016e-06,4.3254727679270915e-05,4.1813297411446254e-01,3.8774506735697616e-08,5.9762839281542035e-01,1.4496928328507461e-05,1.4003837510494813e-01,1.0663342601209736e-02,3.5750352550366818e-06,4.3696307054073062e-05,4.7931833268078478e-04,1.6916438437966652e-03,1.3395369398852939e-02,3.8294047035705015e-04,9.0475032358185503e-01,1.6901953110004839e-01,2.8721745336809292e-03,1.4423312351263614e-02,2.7528946015074858e-05,9.9084409026705333e-01,9.9295944590635064e-06,4.9114924987425601e-01,1.3430494332239407e-05
6,0.2059167351480097,0.20591673514800934,0.7940832648519903,0.1,0.04436766106264733,2.36,8.9438748426918876e-05,2.9094270031368339e-05,1.8778060348819843e-04,2.9760249165658214e-07,1.1871822400228460e-02,9.0497098074843574e-01,1.4745300418933963e-04,4.0072355946091587e-01,9.9081313236262558e-01,6.1845844337089859e-07,9.0522540809182772e-01,2.3850571255148688e-05,7.6176279560342883e-02,4.1552682041427658e-07,5.2637044833945255e-06,3.8577989578191396e-01,2.7397841220358635e-03,3.0141593545420639e-03,9.9533552560534025e-04,2.0659656804010465e-01,4.0733504475825725e-03,1.7827636563109445e-03,2.2158070928311072e-01,1.2556364759153144e-05,9.9081313236262558e-01,8.4290325541825006e-01,9.9032331966745657e-01,9.9081313236262558e-01,8.8548012671802647e-05,2.9486413381557088e-02,3.0493302305043356e-08,3.1404933673920127e-01,1.8279417601942025e-01,2.1882412741262626e-06,2.1825029664862726e-04,2.1756931881540807e-03,4.6342986712971613e-03,3.8252164967909151e-05,1.5193120601026891e-01,4.3757989094808292e-08,8.5981324818448670e-04,6.5585430343495519e-03,1.0094084457682603e-04,1.7157630232978667e-05,2.5745222824653719e-03,3.4655607964568770e-05,2.1476489924846510e-02,9.0704367008125941e-01,6.3559988032650372e-01,1.0445928994241940e-01
7,0.25243266646918244,0.25243266646918217,0.7475673335308175,0.1,0.04436788200030149,2.36,4.6442698135011374e-04,9.9079239068960712e-01,2.8855225196540444e-03,9.9079239068960712e-01,9.4366833916064601e-04,3.0467291255331032e-03,2.3352524537759858e-01,8.1760203418684085e-01,9.9079239068960712e-01,3.5569063653417771e-01,2.2238066714592799e-04,3.4703738310560736e-05,1.5351721910362404e-04,9.9274731886172685e-06,1.9479185323677853e-05,9.0430357064030453e-01,7.8063394974682265e-01,9.9079239068960712e-01,1.8434383844950455e-01,4.0280537861543262e-05,1.9541703477482109e-01,9.9079239068960712e-01,3.6498684655535054e-06,1.3239689783388778e-03,5.4846904974751786e-03,3.2114945323533195e-01,3.5442618775790374e-01,6.1188880789697131e-01,4.8234701624126664e-06,9.4262361600053890e-01,1.7121785344643571e-03,9.6311479348531765e-04,5.9830861093130605e-01,6.9535939608656299e-07,4.9100089427726068e-01,2.8228980625878974e-03,8.6518502280470977e-03,2.3382274869753326e-05,9.6950160269939343e-04,1.1211100512445468e-06,2.5655791154969692e-04,6.0079955884760194e-01,9.8898546006026794e-02,4.1711233944073611e-02,2.9863422444632333e-04,1.3526103291126853e-05,2.4402678936651014e-03,1.1941157992985821e-08,1.0217907499657300e-01,3.7756776664188646e-04
8,0.24518509408695321,0.24518509408695294,0.7548149059130468,0.1,0.04698485289012158,2.24,8.6898368515896110e-05,1.4851129754964240e-01,1.0935531663441006e-01,8.1366769629729541e-01,1.2479325478000887e-01,1.9291703642447058e-01,5.2058248976666624e-02,2.1236421026831479e-04,9.9080586426041506e-01,4.2884693728300880e-06,3.7983073875114925e-01,5.4643774668751832e-01,9.9080586426041506e-01,1.7810074301853956e-04,1.1498133578605822e-02,3.2311597939212844e-02,1.4745825794787327e-02,6.2869959201174141e-01,7.9894548418506106e-01,8.0388452457538562e-01,1.5612624753648435e-05,3.3760814998469287e-02,2.4733927919643517e-01,6.3785023711254035e-04,9.9080586426041506e-01,1.4608342097655772e-01,2.6288210021854219e-02,1.3361826131475521e-01,4.4911863326644770e-03,9.9080586426041506e-01,7.5718179498735864e-06,3.5547128623391426e-03,1.2175011784977502e-07,9.9104412084874096e-05,3.4615146167586288e-05,5.4285135535789073e-05,6.5711279805250633e-01,5.2750295825832394e-01,1.8066979433877350e-01,3.5025233607242451e-01,1.5739722514252857e-01,2.6032873488679984e-05,1.1039694098453008e-08,1.7129907042004580e-07,1.3306605890277514e-04,1.2372519441657492e-03,9.9080586426041506e-01,1.0556521393028792e-01,7.1017740504166774e-02,1.8759072732372464e-04
9,0.14773911643133697,0.14773911643133672,0.852260883568663,0.1,0.04415216231900907,2.52,1.3668929424596689e-02,1.5853048781838211e-01,1.4992432979884649e-02,4.6562570352270276e-06,8.0896963407088962e-01,6.3541436064854989e-02,8.1322253778004570e-05,2.1915417724019216e-04,3.7804679957642190e-01,1.2823672043048307e-02,6.3257459712309327e-01,6.8222664072591491e-02,7.7947396213579254e-03,1.4120651420887435e-05,4.7336588646971919e-02,7.3411945800136172e-02,7.5428463224951709e-04,2.4509753184051179e-04,4.6716053551704952e-05,1.7103779300279123e-08,3.0057753754797956e-01,3.0767107191196435e-03,3.7043983430305077e-01,3.8160463756839369e-01,9.8870827381771031e-01,3.2183404641631136e-01,1.2195092678689924e-05,2.4885610972301106e-05,3.8446583526104283e-01,3.1834719473437098e-03,9.6178882296950533e-05,5.7917448094536617e-01,9.8148068935336561e-05,3.7855276825884565e-05,9.7324761568504228e-05,2.5449061327559814e-05,6.3149361746235244e-01,1.2885324972891353e-05,4.4683511231917272e-05,8.7315190614666497e-06,1.2077861238295190e-01,9.3262088122244666e-05,9.9075569660529117e-01,1.5680614798954536e-05,3.9473637060184778e-03,2.4999914712844198e-02,1.2195092678689924e-05,1.0085997056065824e-11,5.6985368227711395e-05,3.1984162528223341e-08
