iteration,phase,loss,fidelity,step_size,gradient_norm,update_norm
0,init,9.8407676938146404e-01,1.5923230618535976e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,batch,9.8039633524459713e-01,1.9603664755402872e-02,4.0000000000000002e-01,9.1998391219880446e-02,3.6799356487952128e-02
2,batch,9.7527445960411974e-01,2.4725540395880239e-02,3.9800995024875629e-01,1.0832194041611559e-01,4.3113210115866871e-02
3,batch,9.6789503375412844e-01,3.2104966245871523e-02,3.9603960396039606e-01,1.2968281394866510e-01,5.1359530276698998e-02
4,batch,9.5683663718816658e-01,4.3163362811833444e-02,3.9408866995073899e-01,1.5823666648569004e-01,6.2359277432784244e-02
5,batch,9.3954478544520492e-01,6.0455214554795064e-02,3.9215686274509803e-01,1.9717682341301940e-01,7.7324244475693985e-02
6,batch,9.1138636755685887e-01,8.8613632443141174e-02,3.9024390243902446e-01,2.5097735672068044e-01,9.7942383110509429e-02
7,batch,8.6442680452753151e-01,1.3557319547246852e-01,3.8834951456310679e-01,3.2468361026478937e-01,1.2609072243292796e-01
8,batch,7.8836088961919382e-01,2.1163911038080621e-01,3.8647342995169087e-01,4.1897078099504281e-01,1.6192107478069284e-01
9,batch,6.8284517832722769e-01,3.1715482167277231e-01,3.8461538461538464e-01,5.1290351686746272e-01,1.9727058341056261e-01
10,batch,5.8176183315213326e-01,4.1823816684786680e-01,3.8277511961722493e-01,5.3717504215529344e-01,2.0561724101638021e-01
11,batch,5.2564861308991229e-01,4.7435138691008777e-01,3.8095238095238093e-01,4.2531457654576549e-01,1.6202460058886303e-01
12,batch,5.0415317650104674e-01,4.9584682349895332e-01,3.7914691943127965e-01,2.6520528757994205e-01,1.0055176780282155e-01
13,batch,4.9432715019911766e-01,5.0567284980088234e-01,3.7735849056603776e-01,1.7067863671060690e-01,6.4407032720983706e-02
14,batch,4.8458844285840619e-01,5.1541155714159381e-01,3.7558685446009393e-01,1.5115140046969672e-01,5.6770479049651379e-02
15,batch,4.6303339162880086e-01,5.3696660837119914e-01,3.7383177570093457e-01,2.0982324361627741e-01,7.8438595744402762e-02
16,batch,4.0782315504967370e-01,5.9217684495032630e-01,3.7209302325581400e-01,3.4324592232404844e-01,1.2771941295778549e-01
17,batch,3.0799916908977276e-01,6.9200083091022724e-01,3.7037037037037035e-01,5.0549837270831011e-01,1.8722161952159630e-01
18,batch,2.1664808217609632e-01,7.8335191782390368e-01,3.6866359447004610e-01,5.3229401881151972e-01,1.9623742628996119e-01
19,batch,1.6831453664768070e-01,8.3168546335231930e-01,3.6697247706422020e-01,4.0183955908459490e-01,1.4746405837966786e-01
20,batch,1.4868928290996908e-01,8.5131071709003092e-01,3.6529680365296807e-01,2.6481085125598497e-01,9.6734557536432897e-02
21,batch,1.4097959961350526e-01,8.5902040038649474e-01,3.6363636363636365e-01,1.8948228768721392e-01,6.8902650068077789e-02
