dp,mse_u1,mse_u2,signal_power_ref,nrmse_u1,nrmse_u2
1.000000000000000048e-04,5.662957598338353707e-10,1.885156421035065068e-09,7.207456290977531577e-06,8.864018342800986799e-03,1.617270582606704019e-02
1.097498765493055609e-04,2.685539453630291065e-11,3.541827889334317913e-08,7.007064854839236847e-06,1.957707027352991336e-03,7.109608034144378197e-02
1.204503540258782343e-04,1.036957309855498452e-11,8.540559921462505140e-09,6.693750551254758773e-06,1.244645509494587531e-03,3.571974994034023826e-02
1.321941148466028784e-04,1.340058913759470874e-09,2.936874929925243416e-07,6.215242149620375103e-06,1.468361263434960970e-02,2.173770541494256803e-01
1.450828778495940057e-04,5.137812807315396872e-10,3.684092108090055564e-07,5.511622625117358218e-06,9.654936042033730043e-03,2.585386653623312769e-01
1.592282793341092296e-04,6.854582106003032893e-10,1.762997444206673012e-07,4.538229465106146429e-06,1.228986933829742667e-02,1.970981806881651754e-01
1.747528400007682938e-04,4.177650048048042205e-10,4.780233861477429168e-07,3.316945304994691514e-06,1.122268758564941640e-02,3.796255346855428869e-01
1.917910261672488628e-04,5.027582309405039462e-10,5.857589993341295043e-06,2.004649191742089877e-06,1.583654367280290867e-02,1.709386591016216483e+00
2.104904144512019808e-04,2.068800684922344886e-09,1.595410694193919091e-05,8.981044090115643632e-07,4.799499060257882838e-02,4.214759854355786040e+00
2.310129700083160510e-04,1.007083058338210552e-08,1.049478593331487474e-05,2.538731397318761058e-07,1.991701576550339581e-01,6.429517967992663507e+00
2.535364493970111472e-04,4.247811141094613298e-11,7.563320297044787534e-05,1.055003954175523665e-15,2.006513959662320019e+02,2.677415862259636633e+05
2.782559402207125773e-04,9.241622087709601699e-11,7.941792955862527945e-05,1.193227104723660786e-16,8.799799794653425806e+02,8.157516658646143042e+05
3.053855508833415791e-04,3.527002396937739798e-11,9.673513134884135069e-05,1.344382808938684863e-17,1.619283802508461577e+03,2.681712443242615089e+06
3.351602650938841099e-04,9.790560641855466404e-12,8.501177360658073508e-05,1.533293716614635279e-18,2.524878681716465962e+03,7.440057176590607502e+06
3.678379771828634167e-04,3.780018764981724293e-11,5.830228862716259423e-05,1.856920821717111738e-19,1.423454604870655021e+04,1.767825708682919666e+07
4.037017258596553842e-04,4.332564776553940569e-11,6.081525663453195057e-05,2.288611735405729189e-20,4.322401941087389423e+04,5.121048502422642708e+07
4.430621457583881957e-04,2.366603346645266465e-11,9.966038923795841127e-05,2.301498379132651649e-21,9.933395841017110797e+04,2.038432310664255619e+08
4.862601580065353422e-04,2.625525204853774097e-11,1.052716839068271279e-04,1.502099366732566439e-22,3.865405541951392661e+05,7.740031960636082888e+08
5.336699231206312212e-04,5.920177804080353225e-11,4.358424797490630321e-05,5.386255979498942635e-24,2.316971096631695051e+06,1.988007504219517231e+09
5.857020818056667437e-04,1.795500077389382584e-11,1.084072419190381813e-04,9.028412009277631730e-26,3.258301891993348487e+06,8.006224321278618813e+09
