method,target_step,target_time,P_star,M_star_bytes,M_star_MiB,chi_max,missing,nondecreasing_violation
hybrid_tdvp,1,0.1,120,1920,0.0018310546875,2,0,0
tebd_swap,1,0.1,120,1920,0.0018310546875,2,0,0
mpo_zipup,1,0.1,1448,23168,0.0220947265625,8,0,0
hybrid_tdvp,2,0.2,120,1920,0.0018310546875,2,0,0
tebd_swap,2,0.2,120,1920,0.0018310546875,2,0,0
mpo_zipup,2,0.2,1448,23168,0.0220947265625,8,0,0
hybrid_tdvp,3,0.30000000000000004,424,6784,0.0064697265625,4,0,0
tebd_swap,3,0.30000000000000004,109224,1747584,1.6666259765625,128,0,0
mpo_zipup,3,0.30000000000000004,3096,49536,0.0472412109375,12,0,0
hybrid_tdvp,4,0.4,1448,23168,0.0220947265625,8,0,0
tebd_swap,4,0.4,141992,2271872,2.1666259765625,192,0,0
mpo_zipup,4,0.4,5240,83840,0.0799560546875,16,0,0
hybrid_tdvp,5,0.5,1448,23168,0.0220947265625,8,0,0
tebd_swap,5,0.5,141992,2271872,2.1666259765625,192,0,0
mpo_zipup,5,0.5,56808,908928,0.8668212890625,64,0,0
hybrid_tdvp,6,0.6000000000000001,1448,23168,0.0220947265625,8,0,0
tebd_swap,6,0.6000000000000001,141992,2271872,2.1666259765625,192,0,0
mpo_zipup,6,0.6000000000000001,105960,1695360,1.6168212890625,96,0,0
hybrid_tdvp,7,0.7000000000000001,4776,76416,0.0728759765625,16,0,0
tebd_swap,7,0.7000000000000001,141992,2271872,2.1666259765625,192,0,0
mpo_zipup,7,0.7000000000000001,171496,2743936,2.6168212890625,128,0,0
hybrid_tdvp,8,0.8,4776,76416,0.0728759765625,16,0,0
tebd_swap,8,0.8,174248,2787968,2.6588134765625,256,0,0
mpo_zipup,8,0.8,171496,2743936,2.6168212890625,128,0,0
hybrid_tdvp,9,0.9,4776,76416,0.0728759765625,16,0,0
tebd_swap,9,0.9,174760,2796160,2.6666259765625,256,0,0
mpo_zipup,9,0.9,286184,4578944,4.3668212890625,192,0,0
hybrid_tdvp,10,1.0,9128,146048,0.1392822265625,24,0,0
tebd_swap,10,1.0,174760,2796160,2.6666259765625,256,0,0
mpo_zipup,10,1.0,286184,4578944,4.3668212890625,192,0,0
hybrid_tdvp,11,1.1,9128,146048,0.1392822265625,24,0,0
tebd_swap,11,1.1,174760,2796160,2.6666259765625,256,0,0
mpo_zipup,11,1.1,286184,4578944,4.3668212890625,192,0,0
hybrid_tdvp,12,1.2000000000000002,15016,240256,0.2291259765625,32,0,0
tebd_swap,12,1.2000000000000002,174760,2796160,2.6666259765625,256,0,0
mpo_zipup,12,1.2000000000000002,286184,4578944,4.3668212890625,192,0,0
hybrid_tdvp,13,1.3,27304,436864,0.4166259765625,48,0,0
tebd_swap,13,1.3,174760,2796160,2.6666259765625,256,0,0
mpo_zipup,13,1.3,433640,6938240,6.6168212890625,256,0,0
hybrid_tdvp,14,1.4000000000000001,27304,436864,0.4166259765625,48,0,0
tebd_swap,14,1.4000000000000001,174760,2796160,2.6666259765625,256,0,0
mpo_zipup,14,1.4000000000000001,433640,6938240,6.6168212890625,256,0,0
hybrid_tdvp,15,1.5,43688,699008,0.6666259765625,64,0,0
tebd_swap,15,1.5,174760,2796160,2.6666259765625,256,0,0
mpo_zipup,15,1.5,433640,6938240,6.6168212890625,256,0,0
