method,target_step,target_time,R_star_s,R_iqr_low_s,R_iqr_high_s,chi_max,missing,timing_source,nondecreasing_violation
hybrid_tdvp,1,0.1,0.09889717563055456,0.09876823518425226,0.10331607575062662,24,0,timing_median,0
tebd_swap,1,0.1,0.02739320823457092,0.026941454503685236,0.028674176777713,2,0,timing_median,0
mpo_zipup,1,0.1,0.048248841892927885,0.048112393473275006,0.048846442019566894,128,0,timing_median,0
hybrid_tdvp,2,0.2,0.21808704594150186,0.21488265821244568,0.23154518706724048,2,0,timing_median,0
tebd_swap,2,0.2,0.05477480101399124,0.053858760627917945,0.05568552087061107,2,0,timing_median,0
mpo_zipup,2,0.2,0.10332511458545923,0.1010747856926173,0.10713264881633222,8,0,timing_median,0
hybrid_tdvp,3,0.30000000000000004,0.3636455546366051,0.3586496755015105,0.3662618768867105,4,0,timing_median,0
tebd_swap,3,0.30000000000000004,0.6063871474470943,0.6021940921200439,0.6065261703915894,128,0,timing_median,0
mpo_zipup,3,0.30000000000000004,0.1851613725302741,0.17468068620655686,0.18575627263635397,12,0,timing_median,0
hybrid_tdvp,4,0.4,0.5714362019207329,0.5711512682028115,0.5748663513222709,12,0,timing_median,0
tebd_swap,4,0.4,1.2205881469417363,1.2202733282465488,1.2238543579587713,256,0,timing_median,0
mpo_zipup,4,0.4,0.27475883485749364,0.26993286970537156,0.2813339299755171,16,0,timing_median,0
hybrid_tdvp,5,0.5,0.7546473980182782,0.754481477662921,0.7563117955578491,12,0,timing_median,0
tebd_swap,5,0.5,1.8083186047151685,1.8015935210278258,1.8486641437048092,192,0,timing_median,0
mpo_zipup,5,0.5,1.5554403709247708,1.5547575794626027,1.5573668774450198,64,0,timing_median,0
hybrid_tdvp,6,0.6000000000000001,0.9482290726155043,0.9466324317036197,0.951749530271627,12,0,timing_median,0
tebd_swap,6,0.6000000000000001,2.3853992481017485,2.383368890383281,2.424878693651408,192,0,timing_median,0
mpo_zipup,6,0.6000000000000001,3.7302564083365723,3.7253877142211422,3.7559506841935217,96,0,timing_median,0
hybrid_tdvp,7,0.7000000000000001,1.2857601182768121,1.2821035246597603,1.2963126708054915,16,0,timing_median,0
tebd_swap,7,0.7000000000000001,2.965324743418023,2.9648428263608366,3.0014345274539664,192,0,timing_median,0
mpo_zipup,7,0.7000000000000001,8.097041394445114,8.074609662755392,8.108776159584522,128,0,timing_median,0
hybrid_tdvp,8,0.8,1.5188455362804234,1.5171694038435817,1.5281909959157929,16,0,timing_median,0
tebd_swap,8,0.8,3.7056923661148176,3.703785181976855,3.7267481823218986,256,0,timing_median,0
mpo_zipup,8,0.8,9.693940219352953,9.68432676664088,9.69895178405568,128,0,timing_median,0
hybrid_tdvp,9,0.9,1.754658337449655,1.7513679853873327,1.7638173529412597,16,0,timing_median,0
tebd_swap,9,0.9,4.351339031709358,4.334453916060738,4.366922677960247,256,0,timing_median,0
mpo_zipup,9,0.9,18.429626269149594,18.383423854247667,18.49817429401446,192,0,timing_median,0
hybrid_tdvp,10,1.0,3.541276391944848,3.517663671867922,3.5779923159861937,24,0,timing_median,0
tebd_swap,10,1.0,5.000002457527444,4.962748777819797,5.008967031026259,256,0,timing_median,0
mpo_zipup,10,1.0,21.10188507346902,21.012440305785276,21.115079586510547,192,0,timing_median,0
hybrid_tdvp,11,1.1,3.9990956648252904,3.9791875357041135,4.038011237047613,24,0,timing_median,0
tebd_swap,11,1.1,5.638808418647386,5.605054868850857,5.6468092444119975,256,0,timing_median,0
mpo_zipup,11,1.1,23.731935143470764,23.653319632518105,23.769967355416156,192,0,timing_median,0
hybrid_tdvp,12,1.2000000000000002,11.8841933386866,11.601202787947841,16.36814359051641,32,0,timing_median,0
tebd_swap,12,1.2000000000000002,6.279574741260149,6.248177486937493,6.287056946661323,256,0,timing_median,0
mpo_zipup,12,1.2000000000000002,26.347187058418058,26.27444432640914,26.401135545922443,192,0,timing_median,0
hybrid_tdvp,13,1.3,70.25702294579241,68.75706233596429,73.53974604140967,48,0,timing_median,0
tebd_swap,13,1.3,6.918491865857504,6.888191558653489,6.928670571767725,256,0,timing_median,0
mpo_zipup,13,1.3,44.398185627767816,44.140005276189186,44.40197534032632,256,0,timing_median,0
hybrid_tdvp,14,1.4000000000000001,79.21886824222747,76.88405025971588,82.03367589786649,48,0,timing_median,0
tebd_swap,14,1.4000000000000001,7.56665167643223,7.5273830980295315,7.571509163710289,256,0,timing_median,0
mpo_zipup,14,1.4000000000000001,48.66684651048854,48.428165281773545,48.67185728286859,256,0,timing_median,0
hybrid_tdvp,15,1.5,263.49981664982624,257.54719686636236,266.4099175014999,64,0,timing_median,0
tebd_swap,15,1.5,8.207978062797338,8.164344620425254,8.21365036664065,256,0,timing_median,0
mpo_zipup,15,1.5,52.931332038366236,52.69267898751423,52.93888680136297,256,0,timing_median,0
