target_step,target_time,selected_chi_max,previous_chi_max,chi_switched,repeat,cumulative_runtime_s,incremental_step_runtime_s,infidelity,median_s,q1_s,q3_s,iqr_s,median_growth_from_prev_s,peak_param_count,peak_max_bond,memory_frontier_chi_max,memory_frontier_P_star,classification,reason
13,1.3,48,32,1,0,68.75706233596429,8.013852027826943,0.005490242220035468,,,,,,,,,,,
13,1.3,48,32,1,1,70.25702294579241,8.222444175509736,0.005490242220035468,,,,,,,,,,,
13,1.3,48,32,1,2,73.53974604140967,8.728069857344963,0.005490242220035468,,,,,,,,,,,
13,1.3,48,32,1,summary,70.25702294579241,8.222444175509736,,70.25702294579241,69.50704264087835,71.89838449360104,2.3913418527226895,58.372829607105814,27304,48,48,27304,B,Frontier χmax switches 32→48 at n=13; median growth 58.37s ≫ IQR 2.39s.
14,1.4000000000000001,48,48,0,0,76.88405025971588,8.126987923751585,0.009367289928388423,,,,,,,,,,,
14,1.4000000000000001,48,48,0,1,79.21886824222747,8.961845296435058,0.009367289928388423,,,,,,,,,,,
14,1.4000000000000001,48,48,0,2,82.03367589786649,8.493929856456816,0.009367289928388423,,,,,,,,,,,
14,1.4000000000000001,48,48,0,summary,79.21886824222747,8.493929856456816,,79.21886824222747,78.05145925097167,80.62627207004698,2.574812819075305,8.961845296435058,27304,48,48,27304,A,All repetitions show growth; median growth 8.96s ≫ IQR 2.57s; χmax unchanged (48).
15,1.5,64,48,1,0,263.49981664982624,26.824723629513755,0.007683931968177737,,,,,,,,,,,
15,1.5,64,48,1,1,266.4099175014999,26.25827465695329,0.007683931968177737,,,,,,,,,,,
15,1.5,64,48,1,2,257.54719686636236,26.002929906127974,0.007683931968177737,,,,,,,,,,,
15,1.5,64,48,1,summary,263.49981664982624,26.25827465695329,,263.49981664982624,260.5235067580943,264.95486707566306,4.43136031756876,184.28094840759877,43688,64,64,43688,B,Frontier χmax switches 48→64 at n=15; median growth 184.28s ≫ IQR 4.43s.
