Epochs,Train_Size,Characterizer_MSE,Emulator_MSE
10,10,0.16779581,0.09152346
10,50,0.04330783,0.04129979
10,100,0.00064998,0.04958530
10,200,0.00045761,0.04582804
10,400,0.00037659,0.04481534
10,800,0.00169558,0.02315146
50,10,0.00136352,0.04999152
50,50,0.00034088,0.04677160
50,100,0.00054949,0.04683798
50,200,0.00191810,0.04728588
50,400,0.00272931,0.04324309
50,800,0.00225170,0.00190885
100,10,0.00050393,0.04801737
100,50,0.00078823,0.04673959
100,100,0.00381391,0.04820838
100,200,0.00308632,0.04553083
100,400,0.00320594,0.04252127
100,800,0.00053453,0.00320556
