method,chi_max,x_fraction,theta,input_max_bond,output_max_bond,peak_max_bond,input_norm,output_norm,input_output_infidelity,exact_infidelity,discarded_weight,variational_converged,variational_sweeps,variational_objective_initial,variational_objective_final,input_valid_for_chi,failure_message
mpo_zipup,8,0.0,0.0,8,8,8,0.9999999999999996,0.9999999999999994,2.6645352591003757e-15,2.6645352591003757e-15,1.6779613264519288e-32,,,,,1,
variational_mpo,8,0.0,0.0,8,8,8,0.9999999999999996,0.9999999999999994,2.6645352591003757e-15,2.6645352591003757e-15,0.0,True,0,0.0,0.0,1,
hybrid_tdvp,8,0.0,0.0,8,8,8,0.9999999999999996,1.0000000000000204,0.0,0.0,2.02595136062951e-30,,,,,1,
tebd_swap,8,0.0,0.0,8,8,8,0.9999999999999996,0.8013495350004578,0.550336958220976,0.550336958220976,1.0547129625349974,,,,,1,
mpo_zipup,8,1e-08,6.283185307179586e-08,8,8,8,0.9999999999999996,0.9999999999999984,4.440892098500626e-15,5.329070518200751e-15,1.9739208802178694e-15,,,,,1,
variational_mpo,8,1e-08,6.283185307179586e-08,8,8,8,0.9999999999999996,0.9999999999999984,4.440892098500626e-15,5.329070518200751e-15,0.0,True,0,0.0,0.0,1,
mpo_zipup,8,1e-06,6.283185307179586e-06,8,8,8,0.9999999999999996,0.9726122621219203,0.1051320326468933,0.10513203263806481,0.11036599780843201,,,,,1,
variational_mpo,8,1e-06,6.283185307179586e-06,8,8,8,0.9999999999999996,0.9726122621219203,0.1051320326468933,0.10513203263806481,0.0,True,1,0.05402538757007935,0.05402538757007935,1,
mpo_zipup,8,0.0001,0.0006283185307179586,8,8,8,0.9999999999999996,0.9726122621219215,0.10513212091650326,0.10513203263806137,0.11036599780843216,,,,,1,
variational_mpo,8,0.0001,0.0006283185307179586,8,8,8,0.9999999999999996,0.9726122621219215,0.10513212091650326,0.10513203263806137,0.0,True,1,0.05402538757007935,0.05402538757007935,1,
mpo_zipup,12,0.0,0.0,8,8,8,0.9999999999999996,0.9999999999999994,2.6645352591003757e-15,2.6645352591003757e-15,1.6779613264519288e-32,,,,,1,
variational_mpo,12,0.0,0.0,8,8,8,0.9999999999999996,0.9999999999999994,2.6645352591003757e-15,2.6645352591003757e-15,0.0,True,0,0.0,0.0,1,
hybrid_tdvp,12,0.0,0.0,8,8,8,0.9999999999999996,1.0000000000000204,0.0,0.0,2.02595136062951e-30,,,,,1,
tebd_swap,12,0.0,0.0,8,12,12,0.9999999999999996,0.8756718397654795,0.4203274979696534,0.4203274979696534,0.4716442927404556,,,,,1,
mpo_zipup,12,1e-08,6.283185307179586e-08,8,8,8,0.9999999999999996,0.9999999999999984,4.440892098500626e-15,5.329070518200751e-15,1.9739208802178694e-15,,,,,1,
variational_mpo,12,1e-08,6.283185307179586e-08,8,8,8,0.9999999999999996,0.9999999999999984,4.440892098500626e-15,5.329070518200751e-15,0.0,True,0,0.0,0.0,1,
mpo_zipup,12,1e-06,6.283185307179586e-06,8,12,12,0.9999999999999996,0.9968579713552344,0.012509004504064225,0.012509004494321796,0.012576972145545305,,,,,1,
variational_mpo,12,1e-06,6.283185307179586e-06,8,12,12,0.9999999999999996,0.9968579713552344,0.012509004504064225,0.012509004494321796,0.0,True,1,0.006274184945525452,0.006274184945525452,1,
mpo_zipup,12,0.0001,0.0006283185307179586,8,12,12,0.9999999999999996,0.9968579713552342,0.01250910192030763,0.012509004494321574,0.012576972145545314,,,,,1,
variational_mpo,12,0.0001,0.0006283185307179586,8,12,12,0.9999999999999996,0.9968579713552342,0.01250910192030763,0.012509004494321574,0.0,True,1,0.0062741849455243415,0.0062741849455243415,1,
mpo_zipup,16,0.0,0.0,8,8,8,0.9999999999999996,0.9999999999999994,2.6645352591003757e-15,2.6645352591003757e-15,1.6779613264519288e-32,,,,,1,
variational_mpo,16,0.0,0.0,8,8,8,0.9999999999999996,0.9999999999999994,2.6645352591003757e-15,2.6645352591003757e-15,0.0,True,0,0.0,0.0,1,
hybrid_tdvp,16,0.0,0.0,8,8,8,0.9999999999999996,1.0000000000000204,0.0,0.0,2.02595136062951e-30,,,,,1,
tebd_swap,16,0.0,0.0,8,8,8,0.9999999999999996,1.0000000000000022,0.0,0.0,3.0429404458180792e-30,,,,,1,
mpo_zipup,16,1e-08,6.283185307179586e-08,8,8,8,0.9999999999999996,0.9999999999999984,4.440892098500626e-15,5.329070518200751e-15,1.9739208802178694e-15,,,,,1,
variational_mpo,16,1e-08,6.283185307179586e-08,8,8,8,0.9999999999999996,0.9999999999999984,4.440892098500626e-15,5.329070518200751e-15,0.0,True,0,0.0,0.0,1,
mpo_zipup,16,1e-06,6.283185307179586e-06,8,16,16,0.9999999999999996,0.9999999999999994,9.868106332078241e-12,2.220446049250313e-15,2.3695246157661654e-31,,,,,1,
variational_mpo,16,1e-06,6.283185307179586e-06,8,16,16,0.9999999999999996,0.9999999999999994,9.868106332078241e-12,2.220446049250313e-15,0.0,True,0,0.0,0.0,1,
mpo_zipup,16,0.0001,0.0006283185307179586,8,16,16,0.9999999999999996,1.0000000000000033,9.866031236427375e-08,0.0,2.369295378725494e-31,,,,,1,
variational_mpo,16,0.0001,0.0006283185307179586,8,16,16,0.9999999999999996,1.0000000000000033,9.866031236427375e-08,0.0,0.0,True,0,0.0,0.0,1,
