check_family,geometry,seed,N,chi,site_a_zero_based,site_b_zero_based,window_start_zero_based,window_end_zero_based,generator_norm,full_action_norm,absolute_residual,relative_residual,sigma_min_retained,sigma_max_discarded,hermitian_rel,idempotent_rel,pass
projector_algebra,P1,101,8,4,,,,,,,8.216910855138028e-16,8.216910855138028e-16,0.01495674081829979,1.4400456879269884e-16,2.0060495372421033e-16,8.216910855138028e-16,True
projector_algebra,P2,101,8,4,,,,,,,8.023849852122771e-16,8.023849852122771e-16,0.01495674081829979,1.4400456879269884e-16,1.6724649128343394e-16,8.023849852122771e-16,True
fixed_rank_locality,interior,101,8,4,2,5,2,5,0.6610574750176069,0.6152598052650604,5.015315078962111e-16,8.151540269726316e-16,0.01495674081829979,1.4400456879269884e-16,,,True
fixed_rank_locality,left_boundary,101,8,4,0,4,0,4,0.5509499423409402,0.5214238524978658,3.652160656484443e-16,7.004207112867725e-16,0.01495674081829979,1.4400456879269884e-16,,,True
fixed_rank_locality,right_boundary,101,8,4,3,7,3,7,0.602458102943548,0.503545516184643,3.5469944169579233e-16,7.044039323065465e-16,0.01495674081829979,1.4400456879269884e-16,,,True
two_site_locality,adjacent_interior,101,8,4,3,4,2,5,0.5964173528921339,0.5964173528921338,5.915046991020918e-16,9.917630602694242e-16,0.01495674081829979,1.4400456879269884e-16,,,True
two_site_locality,separated_interior,101,8,4,2,5,1,6,0.6610574750176069,0.6381962933400083,4.2385451525380367e-16,6.641444327975579e-16,0.01495674081829979,1.4400456879269884e-16,,,True
two_site_locality,left_clipped,101,8,4,0,4,0,5,0.5509499423409402,0.5349139421739787,3.614956087599131e-16,6.758014332001427e-16,0.01495674081829979,1.4400456879269884e-16,,,True
two_site_locality,right_clipped,101,8,4,3,7,2,7,0.602458102943548,0.5509957686423989,3.8517485768120793e-16,6.990522969536447e-16,0.01495674081829979,1.4400456879269884e-16,,,True
nearest_neighbor_exactness,left_boundary,101,8,4,0,1,0,1,0.6289262516662649,0.6289262516662653,4.938800276196356e-16,7.85274944894031e-16,0.01495674081829979,1.4400456879269884e-16,,,True
nearest_neighbor_exactness,interior,101,8,4,3,4,3,4,0.5964173528921339,0.5964173528921338,4.0637224089923736e-16,6.813554953233101e-16,0.01495674081829979,1.4400456879269884e-16,,,True
nearest_neighbor_exactness,right_boundary,101,8,4,6,7,6,7,0.7244078282734309,0.7244078282734309,4.470429103906047e-16,6.171149633433647e-16,0.01495674081829979,1.4400456879269884e-16,,,True
projector_algebra,P1,102,8,4,,,,,,,8.7046379899348355e-16,8.7046379899348355e-16,0.022245793620556703,1.5844140342410653e-16,1.927090035915243e-16,8.7046379899348355e-16,True
projector_algebra,P2,102,8,4,,,,,,,8.11607150565938e-16,8.11607150565938e-16,0.022245793620556703,1.5844140342410653e-16,1.6149877013169637e-16,8.11607150565938e-16,True
fixed_rank_locality,interior,102,8,4,2,5,2,5,0.6250179940247717,0.5544237471830256,4.6250196640984675e-16,8.342030238779911e-16,0.022245793620556703,1.5844140342410653e-16,,,True
fixed_rank_locality,left_boundary,102,8,4,0,4,0,4,0.6173653445417374,0.571215159288211,4.195366642895798e-16,7.34463463491345e-16,0.022245793620556703,1.5844140342410653e-16,,,True
fixed_rank_locality,right_boundary,102,8,4,3,7,3,7,0.5218513125997751,0.45501305825017857,3.8228694167944336e-16,8.40166968283472e-16,0.022245793620556703,1.5844140342410653e-16,,,True
two_site_locality,adjacent_interior,102,8,4,3,4,2,5,0.6705362962752914,0.6705362962752913,6.337381595419137e-16,9.451213350600337e-16,0.022245793620556703,1.5844140342410653e-16,,,True
two_site_locality,separated_interior,102,8,4,2,5,1,6,0.6250179940247717,0.6090973916492388,4.219147261538535e-16,6.926884467711228e-16,0.022245793620556703,1.5844140342410653e-16,,,True
two_site_locality,left_clipped,102,8,4,0,4,0,5,0.6173653445417374,0.6026566340777271,4.2155059710577357e-16,6.994871926547223e-16,0.022245793620556703,1.5844140342410653e-16,,,True
two_site_locality,right_clipped,102,8,4,3,7,2,7,0.5218513125997751,0.4858669848520404,5.189099002871878e-16,1.0680081513363372e-15,0.022245793620556703,1.5844140342410653e-16,,,True
nearest_neighbor_exactness,left_boundary,102,8,4,0,1,0,1,0.5357407963653784,0.5357407963653783,3.4856966638355644e-16,6.506311797577384e-16,0.022245793620556703,1.5844140342410653e-16,,,True
nearest_neighbor_exactness,interior,102,8,4,3,4,3,4,0.6705362962752914,0.6705362962752913,5.501337022594213e-16,8.204383645081037e-16,0.022245793620556703,1.5844140342410653e-16,,,True
nearest_neighbor_exactness,right_boundary,102,8,4,6,7,6,7,0.5759178672313998,0.5759178672313997,3.894164664115307e-16,6.761666698822279e-16,0.022245793620556703,1.5844140342410653e-16,,,True
projector_algebra,P1,103,8,4,,,,,,,9.16211337771552e-16,9.16211337771552e-16,0.043949793980744514,1.2074326488499327e-16,1.9713536855696466e-16,9.16211337771552e-16,True
projector_algebra,P2,103,8,4,,,,,,,8.43450411691685e-16,8.43450411691685e-16,0.043949793980744514,1.2074326488499327e-16,1.7790725132107032e-16,8.43450411691685e-16,True
fixed_rank_locality,interior,103,8,4,2,5,2,5,0.5917718954047849,0.5323441507482299,4.0139978800777873e-16,7.540231022424048e-16,0.043949793980744514,1.2074326488499327e-16,,,True
fixed_rank_locality,left_boundary,103,8,4,0,4,0,4,0.5110084226135175,0.4332435600081946,2.8561725362296006e-16,6.592533161198236e-16,0.043949793980744514,1.2074326488499327e-16,,,True
fixed_rank_locality,right_boundary,103,8,4,3,7,3,7,0.6706813053862295,0.5808679240286939,3.7757338711003314e-16,6.500159011902706e-16,0.043949793980744514,1.2074326488499327e-16,,,True
two_site_locality,adjacent_interior,103,8,4,3,4,2,5,0.5646426717889892,0.5646426717889892,3.890167782152631e-16,6.889609971961901e-16,0.043949793980744514,1.2074326488499327e-16,,,True
two_site_locality,separated_interior,103,8,4,2,5,1,6,0.5917718954047849,0.5645541520625124,4.2502387387869506e-16,7.528487255402077e-16,0.043949793980744514,1.2074326488499327e-16,,,True
two_site_locality,left_clipped,103,8,4,0,4,0,5,0.5110084226135175,0.47502714659542195,2.830061604562082e-16,5.957683944687123e-16,0.043949793980744514,1.2074326488499327e-16,,,True
two_site_locality,right_clipped,103,8,4,3,7,2,7,0.6706813053862295,0.6403553015407789,4.090141307611203e-16,6.387299828344961e-16,0.043949793980744514,1.2074326488499327e-16,,,True
nearest_neighbor_exactness,left_boundary,103,8,4,0,1,0,1,0.5456581464126182,0.5456581464126181,3.171891825208449e-16,5.812965216522056e-16,0.043949793980744514,1.2074326488499327e-16,,,True
nearest_neighbor_exactness,interior,103,8,4,3,4,3,4,0.5646426717889892,0.5646426717889892,3.69256107569162e-16,6.539642255503416e-16,0.043949793980744514,1.2074326488499327e-16,,,True
nearest_neighbor_exactness,right_boundary,103,8,4,6,7,6,7,0.7190895389552773,0.7190895389552772,4.906156553441056e-16,6.82273387062329e-16,0.043949793980744514,1.2074326488499327e-16,,,True
