L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,1,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,9.095287493918576,1
6,20,0.1,1.0,1,0.05,32,32,1,1.0,2.3297440399857695e-10,0.0,9.09373797418699,1
6,20,0.1,1.0,1,0.1,32,32,1,1.0,3.3077237184219808e-09,0.0,9.086954575210475,1
6,20,0.1,1.0,1,0.15000000000000002,32,32,1,1.0,1.550659039954825e-08,0.0,9.074385702426419,1
6,20,0.1,1.0,1,0.2,32,32,1,1.0,4.623814504507661e-08,0.0,9.055316894948383,1
6,20,0.1,1.0,1,0.25,32,32,1,1.0,1.0766977842393037e-07,0.0,9.028929340731384,1
6,20,0.1,1.0,1,0.30000000000000004,32,32,1,1.0,2.1440410278579262e-07,0.0,8.994367013700801,1
6,20,0.1,1.0,1,0.35000000000000003,32,32,1,1.0,3.8302923759478695e-07,0.0,8.950808594504531,1
6,20,0.1,1.0,1,0.4,32,32,1,1.0,6.315532923290383e-07,0.0,8.897539724975152,1
6,20,0.1,1.0,1,0.45,32,32,1,1.0,9.787069217055423e-07,0.0,8.834022166701217,1
6,20,0.1,1.0,1,0.5,32,32,1,1.0,1.443087450125423e-06,0.0,8.759957149304352,1
6,20,0.1,1.0,1,0.55,32,32,1,1.0,2.0424823331771698e-06,0.0,8.675340102215506,1
6,20,0.1,1.0,1,0.6000000000000001,32,32,1,1.0,2.7934427828530924e-06,0.0,8.580505627346072,1
6,20,0.1,1.0,1,0.65,32,32,1,1.0,3.7110845657850366e-06,0.0,8.47615941938165,1
6,20,0.1,1.0,1,0.7000000000000001,32,32,1,1.0,4.809599608855517e-06,0.0,8.363396326716284,1
6,20,0.1,1.0,1,0.75,32,32,1,1.0,6.10318269502571e-06,0.0,8.243700231345988,1
6,20,0.1,1.0,1,0.8,32,32,1,1.0,7.607391911586081e-06,0.0,8.118923675589611,1
6,20,0.1,1.0,1,0.8500000000000001,32,32,1,1.0,9.340555947207243e-06,0.0,7.991243670845213,1
6,20,0.1,1.0,1,0.9,32,32,1,1.0,1.1324720347327547e-05,0.0,7.863091937861398,1
6,20,0.1,1.0,1,0.9500000000000001,32,32,1,1.0,1.3585865446735684e-05,0.0,7.737059411415144,1
6,20,0.1,1.0,1,1.0,32,32,1,1.0,1.6152556625582226e-05,0.0,7.6157776270534505,1
6,20,0.1,1.0,1,1.05,32,32,1,1.0,1.9053667350190315e-05,0.0,7.501784102466394,1
6,20,0.1,1.0,1,1.1,32,32,1,1.0,2.2313589571940193e-05,0.0,7.3973811500765425,1
6,20,0.1,1.0,1,1.1500000000000001,32,32,1,1.0,2.59489017359071e-05,0.0,7.304502342680402,1
6,20,0.1,1.0,1,1.2000000000000002,32,32,1,1.0,2.9963229388890116e-05,0.0,7.224601781318366,1
6,20,0.1,1.0,1,1.25,32,32,1,1.0,3.43457079615149e-05,0.0,7.158579087245764,1
6,20,0.1,1.0,1,1.3,32,32,1,1.0,3.90701977163458e-05,0.0,7.106750498256096,1
6,20,0.1,1.0,1,1.35,32,32,1,1.0,4.409711840099079e-05,0.0,7.068868527550814,1
6,20,0.1,1.0,1,1.4000000000000001,32,32,1,1.0,4.9376229778545586e-05,0.0,7.044185855386898,1
6,20,0.1,1.0,1,1.4500000000000002,32,32,1,1.0,5.485049672254726e-05,0.0,7.031552093216112,1
6,20,0.1,1.0,1,1.5,32,32,1,1.0,6.045922096269814e-05,0.0,7.0295287986564565,1
6,20,0.1,1.0,1,1.55,32,32,1,1.0,6.6141088439009e-05,0.0,7.036506525059874,1
6,20,0.1,1.0,1,1.6,32,32,1,1.0,7.18365159207272e-05,0.0,7.05081110749729,1
6,20,0.1,1.0,1,1.6500000000000001,32,32,1,1.0,7.748958524614899e-05,0.0,7.070790370874458,1
6,20,0.1,1.0,1,1.7000000000000002,32,32,1,1.0,8.305123033679897e-05,0.0,7.0948776976329215,1
6,20,0.1,1.0,1,1.75,32,32,1,1.0,8.848175050591677e-05,0.0,7.121633856706956,1
6,20,0.1,1.0,1,1.8,32,32,1,1.0,9.375339075335885e-05,0.0,7.149770401592326,1
6,20,0.1,1.0,1,1.85,32,32,1,1.0,9.88540727296292e-05,0.0,7.178160414472777,1
6,20,0.1,1.0,1,1.9000000000000001,32,32,1,1.0,0.00010378808416196698,0.0,7.205841628367121,1
6,20,0.1,1.0,1,1.9500000000000002,32,32,1,1.0,0.00010857740941025114,0.0,7.2320154529970235,1
6,20,0.1,1.0,1,2.0,32,32,1,1.0,0.00011326053763674264,0.0,7.256044853361776,1
6,20,0.1,1.0,2,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,9.342052220266364,1
6,20,0.1,1.0,2,0.05,32,32,1,1.0,5.578651304107676e-08,0.0,9.346125536584083,1
6,20,0.1,1.0,2,0.1,32,32,1,1.0,7.703036301312588e-07,0.0,9.343546444287233,1
6,20,0.1,1.0,2,0.15000000000000002,32,32,1,1.0,3.59523081606058e-06,0.0,9.33378538747019,1
6,20,0.1,1.0,2,0.2,32,32,1,1.0,1.0850266291174866e-05,0.0,9.316147861963604,1
6,20,0.1,1.0,2,0.25,32,32,1,1.0,2.58449764132552e-05,0.0,9.28982893269823,1
6,20,0.1,1.0,2,0.30000000000000004,32,32,1,1.0,5.295586510840857e-05,0.0,9.253976967696508,1
6,20,0.1,1.0,2,0.35000000000000003,32,32,1,1.0,9.75655542849599e-05,0.0,9.20776071129281,1
6,20,0.1,1.0,2,0.4,32,32,1,1.0,0.00016583916695025704,0.0,9.150434749718304,1
6,20,0.1,1.0,2,0.45,32,32,1,1.0,0.00026437610323340444,0.0,9.081400689105145,1
6,20,0.1,1.0,2,0.5,32,32,1,1.0,0.0003998108931859667,0.0,9.000261615224247,1
6,20,0.1,1.0,2,0.55,32,32,1,1.0,0.0005784679427374153,0.0,8.906870519462524,1
6,20,0.1,1.0,2,0.6000000000000001,32,32,1,1.0,0.0008061572647795855,0.0,8.801371987675859,1
6,20,0.1,1.0,2,0.65,32,32,1,1.0,0.001088188625875621,0.0,8.68423955509186,1
6,20,0.1,1.0,2,0.7000000000000001,32,32,1,1.0,0.00142961963940629,0.0,8.556306339858432,1
6,20,0.1,1.0,2,0.75,32,32,1,1.0,0.001835715357253785,0.0,8.418789101863553,1
6,20,0.1,1.0,2,0.8,32,32,1,1.0,0.002312529288521416,0.0,8.273301961438378,1
6,20,0.1,1.0,2,0.8500000000000001,32,32,1,1.0,0.002867455299930243,0.0,8.121855168983128,1
6,20,0.1,1.0,2,0.9,32,32,1,1.0,0.0035095621637617645,0.0,7.966834759596033,1
6,20,0.1,1.0,2,0.9500000000000001,32,32,1,1.0,0.004249496345449777,0.0,7.810957531522569,1
6,20,0.1,1.0,2,1.0,32,32,1,1.0,0.005098759399606572,0.0,7.657197597834503,1
