L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,centered,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,1,0.0,32,32,1,1.0,0,2.141404136484463e-27,0.0,17.923534807505884,1
6,20,0.1,1.0,1,0.05,32,32,1,1.0,0,6.307292505323079e-11,0.0,17.920435636253398,32
6,20,0.1,1.0,1,0.1,32,32,1,1.0,0,9.00848663357638e-10,0.0,17.907042120904325,32
6,20,0.1,1.0,1,0.15000000000000002,32,32,1,1.0,0,4.241929025926618e-09,0.0,17.882267189509673,32
6,20,0.1,1.0,1,0.2,32,32,1,1.0,0,1.2696989223585731e-08,0.0,17.844702797122057,32
6,20,0.1,1.0,1,0.25,32,32,1,1.0,0,2.966879245439113e-08,0.0,17.792735207536374,32
6,20,0.1,1.0,1,0.30000000000000004,32,32,1,1.0,0,5.9271649158547713e-08,0.0,17.72467725948813,32
6,20,0.1,1.0,1,0.35000000000000003,32,32,1,1.0,0,1.0621221124294348e-07,0.0,17.638910067418077,32
6,20,0.1,1.0,1,0.4,32,32,1,1.0,0,1.7563486401733207e-07,0.0,17.534025445744827,32
6,20,0.1,1.0,1,0.45,32,32,1,1.0,0,2.7292470654987495e-07,0.0,17.408962261962195,32
6,20,0.1,1.0,1,0.5,32,32,1,1.0,0,4.034645604512315e-07,0.0,17.263131229798578,32
6,20,0.1,1.0,1,0.55,32,32,1,1.0,0,5.724383973450832e-07,0.0,17.09652292503815,32
6,20,0.1,1.0,1,0.6000000000000001,32,32,1,1.0,0,7.847049314604187e-07,0.0,16.90979635024004,32
6,20,0.1,1.0,1,0.65,32,32,1,1.0,0,1.0447332744368531e-06,0.0,16.704342112486973,32
6,20,0.1,1.0,1,0.7000000000000001,32,32,1,1.0,0,1.3567482124110814e-06,0.0,16.482317919962814,32
6,20,0.1,1.0,1,0.75,32,32,1,1.0,0,1.724985208004965e-06,0.0,16.246648482434374,32
6,20,0.1,1.0,1,0.8,32,32,1,1.0,0,2.1540764512949475e-06,0.0,16.00098536975688,32
6,20,0.1,1.0,1,0.8500000000000001,32,32,1,1.0,0,2.6494556580333618e-06,0.0,15.749619964845202,32
6,20,0.1,1.0,1,0.9,32,32,1,1.0,0,3.2176172676799637e-06,0.0,15.497345919064442,32
6,20,0.1,1.0,1,0.9500000000000001,32,32,1,1.0,0,3.866183490167232e-06,0.0,15.249270820671473,32
6,20,0.1,1.0,1,1.0,32,32,1,1.0,0,4.6035028094003895e-06,0.0,15.010582462208248,32
6,20,0.1,1.0,1,1.05,32,32,1,1.0,0,5.4379909093822315e-06,0.0,14.786282985089237,32
6,20,0.1,1.0,1,1.1,32,32,1,1.0,0,6.376750893276812e-06,0.0,14.580910725743859,32
6,20,0.1,1.0,1,1.1500000000000001,32,32,1,1.0,0,7.424592231999744e-06,0.0,14.39827676093062,32
6,20,0.1,1.0,1,1.2000000000000002,32,32,1,1.0,0,8.582563312193925e-06,0.0,14.241246334644732,32
6,20,0.1,1.0,1,1.25,32,32,1,1.0,0,9.84749484305098e-06,0.0,14.111591174738745,32
6,20,0.1,1.0,1,1.3,32,32,1,1.0,0,1.1211790076365147e-05,0.0,14.009932415227746,32
6,20,0.1,1.0,1,1.35,32,32,1,1.0,0,1.2663942251817156e-05,0.0,13.935779597580444,32
6,20,0.1,1.0,1,1.4000000000000001,32,32,1,1.0,0,1.4189366466754313e-05,0.0,13.887656698863118,32
6,20,0.1,1.0,1,1.4500000000000002,32,32,1,1.0,0,1.577149582091633e-05,0.0,13.863293409450558,32
6,20,0.1,1.0,1,1.5,32,32,1,1.0,0,1.739269608735929e-05,0.0,13.859851899906477,32
6,20,0.1,1.0,1,1.55,32,32,1,1.0,0,1.903514418686532e-05,0.0,13.87415788664787,32
6,20,0.1,1.0,1,1.6,32,32,1,1.0,0,2.068148135003067e-05,0.0,13.902910285080079,32
6,20,0.1,1.0,1,1.6500000000000001,32,32,1,1.0,0,2.2315404749067828e-05,0.0,13.942852234500958,32
6,20,0.1,1.0,1,1.7000000000000002,32,32,1,1.0,0,2.3922577628363007e-05,0.0,13.990896404522932,32
6,20,0.1,1.0,1,1.75,32,32,1,1.0,0,2.5491389416582294e-05,0.0,14.044207235408438,32
6,20,0.1,1.0,1,1.8,32,32,1,1.0,0,2.701369159352663e-05,0.0,14.100246997604675,32
6,20,0.1,1.0,1,1.85,32,32,1,1.0,0,2.848590699410037e-05,0.0,14.156796630349316,32
