run_kind,build_method,total_time,J,cut,k,L,dt,object_type,valid,entropy,effective_rank,p1,numerical_rank,ipr,r_90,r_99,r_999,chi_1e-2,chi_1e-3,chi_1e-4,n_singular_values
main,exhaustive,0.4,0.0,1,3,6,0.1,process_tensor,True,2.0109703184094242e-28,1.0,1.0,1,1.0,1,1,1,3,3,3,4
main,exhaustive,0.4,0.0,1,3,6,0.1,response_centered,True,2.637674330518329e-26,1.0,1.0,1,1.0,1,1,1,3,3,3,4
main,exhaustive,0.4,0.0,1,3,6,0.1,response_uncentered,True,1.2521888282392157e-27,1.0,1.0,1,1.0,1,1,1,3,3,3,4
main,exhaustive,0.4,0.0,2,3,6,0.1,process_tensor,True,8.576002183314932e-29,1.0,1.0,1,1.0,1,1,1,63,63,63,64
main,exhaustive,0.4,0.0,2,3,6,0.1,response_centered,True,-0.0,1.0,1.0,1,1.0,1,1,1,63,63,63,64
main,exhaustive,0.4,0.0,2,3,6,0.1,response_uncentered,True,-0.0,1.0,1.0,1,1.0,1,1,1,63,63,63,64
main,exhaustive,0.4,0.0,3,3,6,0.1,process_tensor,True,9.964872168816852e-28,1.0,1.0,1,1.0,1,1,1,15,15,15,16
main,exhaustive,0.4,0.0,3,3,6,0.1,response_centered,True,2.184071465489859e-27,1.0,1.0,1,1.0,1,1,1,11,11,11,12
main,exhaustive,0.4,0.0,3,3,6,0.1,response_uncentered,True,1.563994991309143e-28,1.0,1.0,1,1.0,1,1,1,11,11,11,12
main,exhaustive,0.4,0.2,1,3,6,0.1,process_tensor,True,1.964263204621044e-09,1.0000000019642632,0.999999999918968,4,1.000000000162064,1,1,1,3,3,3,4
main,exhaustive,0.4,0.2,1,3,6,0.1,response_centered,True,3.0994201980976385e-09,1.0000000030994203,0.9999999998695822,3,1.0000000002608356,1,1,1,3,3,3,4
main,exhaustive,0.4,0.2,1,3,6,0.1,response_uncentered,True,8.4974094432637e-10,1.000000000849741,0.9999999999661652,4,1.0000000000676696,1,1,1,3,3,3,4
main,exhaustive,0.4,0.2,2,3,6,0.1,process_tensor,True,6.436000465495552e-07,1.0000006436002538,0.9999999645534049,5,1.0000000708931929,1,1,1,63,63,62,64
main,exhaustive,0.4,0.2,2,3,6,0.1,response_centered,True,4.367238502583226e-07,1.0000004367239457,0.9999999764809916,63,1.000000047038018,1,1,1,63,63,62,64
main,exhaustive,0.4,0.2,2,3,6,0.1,response_uncentered,True,1.9957310868297156e-07,1.0000001995731287,0.9999999897104197,64,1.0000000205791608,1,1,1,63,63,62,64
