L,k,dt,g,left_cut,tau,ell,right_cut,past_len_fixed,future_len_fixed,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,22,0.1,1.0,16,0,0,17,15,5,0.5,64,64,1,1.0,0.012535449738262537,0.0,15.863452497588092,1
6,22,0.1,1.0,16,0,0,17,15,5,1.0,64,64,1,1.0,0.0769271002014326,0.0,13.185885082989028,1
6,22,0.1,1.0,16,0,0,17,15,5,1.5,64,64,1,1.0,0.26066019364958626,0.0,13.466073180672126,1
6,22,0.1,1.0,16,0,0,17,15,5,2.0,64,64,1,1.0,0.3337582549036478,0.0,15.592104207752108,1
6,23,0.1,1.0,16,1,1,18,15,5,0.5,64,64,1,1.0,0.014732065459546731,0.0,15.842022358117335,1
6,23,0.1,1.0,16,1,1,18,15,5,1.0,64,64,1,1.0,0.0618936813642361,0.0,13.183954273617978,1
6,23,0.1,1.0,16,1,1,18,15,5,1.5,64,64,1,1.0,0.23325129341418124,0.0,13.47999783629653,1
6,23,0.1,1.0,16,1,1,18,15,5,2.0,64,64,1,1.0,0.3076464826843887,0.0,15.625504904373578,1
6,24,0.1,1.0,16,2,2,19,15,5,0.5,64,64,1,1.0,0.016382759091186666,0.0,15.82555387107481,1
6,24,0.1,1.0,16,2,2,19,15,5,1.0,64,64,1,1.0,0.047208045722385,0.0,13.184984841649493,1
6,24,0.1,1.0,16,2,2,19,15,5,1.5,64,64,1,1.0,0.2131439929978758,0.0,13.433024329413342,1
6,24,0.1,1.0,16,2,2,19,15,5,2.0,64,64,1,1.0,0.28447291890136045,0.0,15.435073037693304,1
6,27,0.1,1.0,16,5,5,22,15,5,0.5,64,64,1,1.0,0.016136059769954428,0.0,15.806903725605258,1
6,27,0.1,1.0,16,5,5,22,15,5,1.0,64,64,1,1.0,0.015069387731560038,0.0,13.181589782317861,1
6,27,0.1,1.0,16,5,5,22,15,5,1.5,64,64,1,1.0,0.13997405388072762,0.0,12.848122766828821,1
6,27,0.1,1.0,16,5,5,22,15,5,2.0,64,64,1,1.0,0.21650870280865486,0.0,14.340475838324476,1
6,32,0.1,1.0,16,10,10,27,15,5,0.5,64,64,1,1.0,0.00633319943162611,0.0,15.803490096851224,1
6,32,0.1,1.0,16,10,10,27,15,5,1.0,64,64,1,1.0,0.0015260393001803256,0.0,13.131519172557065,1
6,32,0.1,1.0,16,10,10,27,15,5,1.5,64,64,1,1.0,0.103337728569029,0.0,12.757972860459887,1
6,32,0.1,1.0,16,10,10,27,15,5,2.0,64,64,1,1.0,0.05627462659709298,0.0,14.347787646208221,1
6,37,0.1,1.0,16,15,15,32,15,5,0.5,64,64,1,1.0,0.006502055735435902,0.0,15.79331263417901,1
6,37,0.1,1.0,16,15,15,32,15,5,1.0,64,64,1,1.0,0.0017271043726992633,0.0,13.09177254698576,1
6,37,0.1,1.0,16,15,15,32,15,5,1.5,64,64,1,1.0,0.02756025122820365,0.0,12.895178078251211,1
6,37,0.1,1.0,16,15,15,32,15,5,2.0,64,64,1,1.0,0.025069546838049805,0.0,13.866876605791623,1
