L,J,c,entropy,k,dt,g,n_pasts,n_futures,n_seeds,branch_weight_beta
2,0.5,1,1.629890529766109e-06,20,0.1,1.0,32,32,1,1.0
2,0.5,2,0.0008760412795593175,20,0.1,1.0,32,32,1,1.0
2,0.5,3,0.002271536299967128,20,0.1,1.0,32,32,1,1.0
2,0.5,4,0.0016500362390991776,20,0.1,1.0,32,32,1,1.0
2,0.5,5,0.006152459062291869,20,0.1,1.0,32,32,1,1.0
2,0.5,6,0.00658936188963367,20,0.1,1.0,32,32,1,1.0
2,0.5,7,0.00725918510022998,20,0.1,1.0,32,32,1,1.0
2,0.5,8,0.01159287815772561,20,0.1,1.0,32,32,1,1.0
2,0.5,9,0.011210399711663176,20,0.1,1.0,32,32,1,1.0
2,0.5,10,0.012716957992695871,20,0.1,1.0,32,32,1,1.0
2,0.5,11,0.006284209465522775,20,0.1,1.0,32,32,1,1.0
2,0.5,12,0.012750230536946884,20,0.1,1.0,32,32,1,1.0
2,0.5,13,0.006674451373467792,20,0.1,1.0,32,32,1,1.0
2,0.5,14,0.006049222890662884,20,0.1,1.0,32,32,1,1.0
2,0.5,15,0.0035350814584267443,20,0.1,1.0,32,32,1,1.0
2,0.5,16,0.006045439563422069,20,0.1,1.0,32,32,1,1.0
2,0.5,17,0.007289107019796563,20,0.1,1.0,32,32,1,1.0
2,0.5,18,0.004352358067343164,20,0.1,1.0,32,32,1,1.0
2,0.5,19,0.0037017908876123755,20,0.1,1.0,32,32,1,1.0
2,0.5,20,0.002552601637306526,20,0.1,1.0,32,32,1,1.0
2,1.0,1,2.1719324302129764e-05,20,0.1,1.0,32,32,1,1.0
2,1.0,2,0.013165841876265905,20,0.1,1.0,32,32,1,1.0
2,1.0,3,0.04103038089509953,20,0.1,1.0,32,32,1,1.0
2,1.0,4,0.03272847724151096,20,0.1,1.0,32,32,1,1.0
2,1.0,5,0.0840694266665971,20,0.1,1.0,32,32,1,1.0
2,1.0,6,0.08854498333201624,20,0.1,1.0,32,32,1,1.0
2,1.0,7,0.12548008459518736,20,0.1,1.0,32,32,1,1.0
2,1.0,8,0.14694885184407247,20,0.1,1.0,32,32,1,1.0
2,1.0,9,0.1784915802125944,20,0.1,1.0,32,32,1,1.0
2,1.0,10,0.1952134113479939,20,0.1,1.0,32,32,1,1.0
2,1.0,11,0.13973457913972834,20,0.1,1.0,32,32,1,1.0
2,1.0,12,0.1777572829683129,20,0.1,1.0,32,32,1,1.0
2,1.0,13,0.11440370354418873,20,0.1,1.0,32,32,1,1.0
2,1.0,14,0.09995026422891126,20,0.1,1.0,32,32,1,1.0
2,1.0,15,0.058695018634903,20,0.1,1.0,32,32,1,1.0
2,1.0,16,0.09625509486194796,20,0.1,1.0,32,32,1,1.0
2,1.0,17,0.1324738221803369,20,0.1,1.0,32,32,1,1.0
2,1.0,18,0.06530610341076115,20,0.1,1.0,32,32,1,1.0
2,1.0,19,0.04560681509207498,20,0.1,1.0,32,32,1,1.0
2,1.0,20,0.038304926253827955,20,0.1,1.0,32,32,1,1.0
2,1.5,1,9.180990206109633e-05,20,0.1,1.0,32,32,1,1.0
2,1.5,2,0.050535503398556114,20,0.1,1.0,32,32,1,1.0
2,1.5,3,0.17608500582268738,20,0.1,1.0,32,32,1,1.0
2,1.5,4,0.15335297604521106,20,0.1,1.0,32,32,1,1.0
2,1.5,5,0.29389281831518227,20,0.1,1.0,32,32,1,1.0
2,1.5,6,0.3408020226579023,20,0.1,1.0,32,32,1,1.0
2,1.5,7,0.5053876034608755,20,0.1,1.0,32,32,1,1.0
2,1.5,8,0.4985893532834357,20,0.1,1.0,32,32,1,1.0
2,1.5,9,0.6299570369304394,20,0.1,1.0,32,32,1,1.0
2,1.5,10,0.6917628394333112,20,0.1,1.0,32,32,1,1.0
2,1.5,11,0.5590595268599221,20,0.1,1.0,32,32,1,1.0
2,1.5,12,0.5920023690970759,20,0.1,1.0,32,32,1,1.0
2,1.5,13,0.4967382407183371,20,0.1,1.0,32,32,1,1.0
2,1.5,14,0.3994012827105124,20,0.1,1.0,32,32,1,1.0
2,1.5,15,0.2692083494971214,20,0.1,1.0,32,32,1,1.0
2,1.5,16,0.42985417883602567,20,0.1,1.0,32,32,1,1.0
2,1.5,17,0.499415643769986,20,0.1,1.0,32,32,1,1.0
2,1.5,18,0.2777586896285464,20,0.1,1.0,32,32,1,1.0
2,1.5,19,0.17024139588483247,20,0.1,1.0,32,32,1,1.0
2,1.5,20,0.19346865262237697,20,0.1,1.0,32,32,1,1.0
2,2.0,1,0.00022597248580524156,20,0.1,1.0,32,32,1,1.0
2,2.0,2,0.09139639232090045,20,0.1,1.0,32,32,1,1.0
2,2.0,3,0.3644278652873609,20,0.1,1.0,32,32,1,1.0
2,2.0,4,0.3430104480932642,20,0.1,1.0,32,32,1,1.0
2,2.0,5,0.48763625647946574,20,0.1,1.0,32,32,1,1.0
2,2.0,6,0.6552272092243662,20,0.1,1.0,32,32,1,1.0
2,2.0,7,0.9154470283421297,20,0.1,1.0,32,32,1,1.0
2,2.0,8,0.8207049885131583,20,0.1,1.0,32,32,1,1.0
2,2.0,9,1.004300411467729,20,0.1,1.0,32,32,1,1.0
2,2.0,10,1.0624438214562488,20,0.1,1.0,32,32,1,1.0
2,2.0,11,0.9498133049009366,20,0.1,1.0,32,32,1,1.0
2,2.0,12,0.9428168099559754,20,0.1,1.0,32,32,1,1.0
2,2.0,13,0.9094720623279253,20,0.1,1.0,32,32,1,1.0
2,2.0,14,0.7597808504828819,20,0.1,1.0,32,32,1,1.0
2,2.0,15,0.5653764292242353,20,0.1,1.0,32,32,1,1.0
2,2.0,16,0.8483139292156089,20,0.1,1.0,32,32,1,1.0
2,2.0,17,0.7751161308374847,20,0.1,1.0,32,32,1,1.0
2,2.0,18,0.537585274006562,20,0.1,1.0,32,32,1,1.0
2,2.0,19,0.3641991154152583,20,0.1,1.0,32,32,1,1.0
2,2.0,20,0.43055744379947924,20,0.1,1.0,32,32,1,1.0
3,0.5,1,1.391012190992113e-06,20,0.1,1.0,32,32,1,1.0
3,0.5,2,0.0010764636859873211,20,0.1,1.0,32,32,1,1.0
3,0.5,3,0.0026976038996549432,20,0.1,1.0,32,32,1,1.0
3,0.5,4,0.002537631596632291,20,0.1,1.0,32,32,1,1.0
3,0.5,5,0.006520490145779517,20,0.1,1.0,32,32,1,1.0
3,0.5,6,0.006612863443688629,20,0.1,1.0,32,32,1,1.0
3,0.5,7,0.0074993314839726325,20,0.1,1.0,32,32,1,1.0
3,0.5,8,0.011184931084649097,20,0.1,1.0,32,32,1,1.0
3,0.5,9,0.01167895827009973,20,0.1,1.0,32,32,1,1.0
3,0.5,10,0.015608383873124014,20,0.1,1.0,32,32,1,1.0
3,0.5,11,0.009176403698391468,20,0.1,1.0,32,32,1,1.0
3,0.5,12,0.013223031462931677,20,0.1,1.0,32,32,1,1.0
3,0.5,13,0.008569427222190123,20,0.1,1.0,32,32,1,1.0
3,0.5,14,0.007450406847780501,20,0.1,1.0,32,32,1,1.0
3,0.5,15,0.0029003192302621142,20,0.1,1.0,32,32,1,1.0
3,0.5,16,0.007107384139713669,20,0.1,1.0,32,32,1,1.0
3,0.5,17,0.00680655840194462,20,0.1,1.0,32,32,1,1.0
3,0.5,18,0.005966231542559888,20,0.1,1.0,32,32,1,1.0
3,0.5,19,0.004051405637188284,20,0.1,1.0,32,32,1,1.0
3,0.5,20,0.0028942863431930654,20,0.1,1.0,32,32,1,1.0
3,1.0,1,1.6890101236155292e-05,20,0.1,1.0,32,32,1,1.0
3,1.0,2,0.012651191167775595,20,0.1,1.0,32,32,1,1.0
3,1.0,3,0.04362042875141657,20,0.1,1.0,32,32,1,1.0
3,1.0,4,0.04195555610237593,20,0.1,1.0,32,32,1,1.0
3,1.0,5,0.07382306143576996,20,0.1,1.0,32,32,1,1.0
3,1.0,6,0.07920027278238134,20,0.1,1.0,32,32,1,1.0
3,1.0,7,0.1152935474121732,20,0.1,1.0,32,32,1,1.0
3,1.0,8,0.13927428250510032,20,0.1,1.0,32,32,1,1.0
3,1.0,9,0.16141998575524583,20,0.1,1.0,32,32,1,1.0
3,1.0,10,0.21215744710205128,20,0.1,1.0,32,32,1,1.0
3,1.0,11,0.153469558163449,20,0.1,1.0,32,32,1,1.0
3,1.0,12,0.18985581034665244,20,0.1,1.0,32,32,1,1.0
3,1.0,13,0.12112142963006638,20,0.1,1.0,32,32,1,1.0
3,1.0,14,0.15364814392009038,20,0.1,1.0,32,32,1,1.0
3,1.0,15,0.09519790257045083,20,0.1,1.0,32,32,1,1.0
3,1.0,16,0.16716212215810242,20,0.1,1.0,32,32,1,1.0
3,1.0,17,0.1481589851702846,20,0.1,1.0,32,32,1,1.0
3,1.0,18,0.12328213695960617,20,0.1,1.0,32,32,1,1.0
3,1.0,19,0.06251748638285069,20,0.1,1.0,32,32,1,1.0
3,1.0,20,0.04354382014589691,20,0.1,1.0,32,32,1,1.0
3,1.5,1,8.126111766851085e-05,20,0.1,1.0,32,32,1,1.0
3,1.5,2,0.040294615669047025,20,0.1,1.0,32,32,1,1.0
3,1.5,3,0.13287166255341581,20,0.1,1.0,32,32,1,1.0
3,1.5,4,0.12085926083239937,20,0.1,1.0,32,32,1,1.0
3,1.5,5,0.19293132857966602,20,0.1,1.0,32,32,1,1.0
3,1.5,6,0.24762181242911335,20,0.1,1.0,32,32,1,1.0
3,1.5,7,0.4225152523655522,20,0.1,1.0,32,32,1,1.0
3,1.5,8,0.3848710385199597,20,0.1,1.0,32,32,1,1.0
3,1.5,9,0.48652915320433854,20,0.1,1.0,32,32,1,1.0
3,1.5,10,0.5666929448616695,20,0.1,1.0,32,32,1,1.0
3,1.5,11,0.4065447994856129,20,0.1,1.0,32,32,1,1.0
