L,J,peak_entropy,integrated_entropy,mean_entropy,peak_cut,k,dt,g,n_pasts,n_futures,n_seeds,branch_weight_beta
2,0.5,0.012750230536946884,0.11955497852390334,0.005977748926195167,12,20,0.1,1.0,32,32,1,1.0
2,1.0,0.1952134113479939,1.874182367650633,0.09370911838253165,10,20,0.1,1.0,32,32,1,1.0
2,1.5,0.6917628394333112,7.227605298874399,0.36138026494371994,10,20,0.1,1.0,32,32,1,1.0
2,2.0,1.0624438214562488,12.827851743836776,0.6413925871918388,10,20,0.1,1.0,32,32,1,1.0
3,0.5,0.015608383873124014,0.13356350302193457,0.006678175151096729,10,20,0.1,1.0,32,32,1,1.0
3,1.0,0.21215744710205128,2.137370058562976,0.1068685029281488,10,20,0.1,1.0,32,32,1,1.0
3,1.5,0.599191981778112,6.582033798031819,0.32910168990159094,16,20,0.1,1.0,32,32,1,1.0
3,2.0,0.8376203694607164,9.605122516842368,0.4802561258421184,10,20,0.1,1.0,32,32,1,1.0
4,0.5,0.012790731353883525,0.11007558779938345,0.005503779389969173,10,20,0.1,1.0,32,32,1,1.0
4,1.0,0.12290014197519233,1.1047596002319169,0.05523798001159584,10,20,0.1,1.0,32,32,1,1.0
4,1.5,0.3998643492513654,3.9963502760656153,0.19981751380328078,10,20,0.1,1.0,32,32,1,1.0
4,2.0,0.6343591625379821,6.344812184513699,0.3172406092256849,14,20,0.1,1.0,32,32,1,1.0
5,0.5,0.012640572873797381,0.10922447365807372,0.005461223682903686,10,20,0.1,1.0,32,32,1,1.0
5,1.0,0.12752092534781284,1.223460139398242,0.061173006969912104,10,20,0.1,1.0,32,32,1,1.0
5,1.5,0.41918386845448535,3.8430912955674206,0.19215456477837103,10,20,0.1,1.0,32,32,1,1.0
5,2.0,0.5961526648606936,5.5449868374555535,0.27724934187277767,14,20,0.1,1.0,32,32,1,1.0
6,0.5,0.012638926122913738,0.10922037422177584,0.005461018711088792,10,20,0.1,1.0,32,32,1,1.0
6,1.0,0.12816322691128992,1.260096435866432,0.06300482179332159,10,20,0.1,1.0,32,32,1,1.0
6,1.5,0.4364748177114412,4.14294848614889,0.20714742430744448,10,20,0.1,1.0,32,32,1,1.0
6,2.0,0.5585148918637937,5.295081653464249,0.26475408267321243,14,20,0.1,1.0,32,32,1,1.0
7,0.5,0.01263892013452263,0.10922038221204446,0.005461019110602223,10,20,0.1,1.0,32,32,1,1.0
7,1.0,0.12817698821499418,1.2615027417168636,0.06307513708584318,10,20,0.1,1.0,32,32,1,1.0
7,1.5,0.43776387495855,4.179353396853562,0.20896766984267812,10,20,0.1,1.0,32,32,1,1.0
7,2.0,0.5509367488012703,5.281617230314107,0.26408086151570537,14,20,0.1,1.0,32,32,1,1.0
8,0.5,0.012638919898260156,0.10922038195363622,0.005461019097681811,10,20,0.1,1.0,32,32,1,1.0
8,1.0,0.12817717446801047,1.2615241799920986,0.06307620899960494,10,20,0.1,1.0,32,32,1,1.0
8,1.5,0.4378112431883818,4.1809215292847295,0.20904607646423648,10,20,0.1,1.0,32,32,1,1.0
8,2.0,0.5504063324309629,5.2841010407629705,0.26420505203814854,14,20,0.1,1.0,32,32,1,1.0
9,0.5,0.012638919898260053,0.10922038202014502,0.00546101910100725,10,20,0.1,1.0,32,32,1,1.0
9,1.0,0.12817717619517335,1.2615243411389463,0.06307621705694731,10,20,0.1,1.0,32,32,1,1.0
9,1.5,0.43781220239549884,4.180954599540938,0.20904772997704688,10,20,0.1,1.0,32,32,1,1.0
9,2.0,0.5503925943119973,5.284349234545758,0.2642174617272879,14,20,0.1,1.0,32,32,1,1.0
10,0.5,0.0126389198982601,0.10922038202014517,0.005461019101007258,10,20,0.1,1.0,32,32,1,1.0
10,1.0,0.12817717630941092,1.2615243421823532,0.06307621710911766,10,20,0.1,1.0,32,32,1,1.0
10,1.5,0.43781221298324,4.180954981487708,0.2090477490743854,10,20,0.1,1.0,32,32,1,1.0
10,2.0,0.5503925861158853,5.284357997415771,0.2642178998707886,14,20,0.1,1.0,32,32,1,1.0
