cut,J,m,probe_draw,entropy
10,0.0,4,0,2.0723265836946412e-28
10,0.0,8,0,4.835428695287497e-28
10,0.0,16,0,1.0361632918473208e-27
10,0.0,32,0,2.141404136484463e-27
10,0.0,64,0,4.351885825758746e-27
10,0.0,4,1,2.0723265836946412e-28
10,0.0,8,1,4.835428695287497e-28
10,0.0,16,1,1.0361632918473208e-27
10,0.0,32,1,2.141404136484463e-27
10,0.0,64,1,4.351885825758746e-27
10,0.0,4,2,2.0723265836946412e-28
10,0.0,8,2,4.835428695287497e-28
10,0.0,16,2,1.0361632918473208e-27
10,0.0,32,2,2.141404136484463e-27
10,0.0,64,2,4.351885825758746e-27
10,0.0,4,3,2.0723265836946412e-28
10,0.0,8,3,4.835428695287497e-28
10,0.0,16,3,1.0361632918473208e-27
10,0.0,32,3,2.141404136484463e-27
10,0.0,64,3,4.351885825758746e-27
10,0.0,4,4,2.0723265836946412e-28
10,0.0,8,4,4.835428695287497e-28
10,0.0,16,4,1.0361632918473208e-27
10,0.0,32,4,2.141404136484463e-27
10,0.0,64,4,4.351885825758746e-27
10,0.2,4,0,5.608273755546426e-05
10,0.2,8,0,5.2874366558074024e-05
10,0.2,16,0,0.00019083620594709185
10,0.2,32,0,0.00018658015245375583
10,0.2,64,0,0.0002502712174458904
10,0.2,4,1,0.000990596497288655
10,0.2,8,1,0.0005688378809172157
10,0.2,16,1,0.00022623929182350326
10,0.2,32,1,0.0003461939551186704
10,0.2,64,1,0.000341239627726096
10,0.2,4,2,0.00048069833717016874
10,0.2,8,2,0.0006561953383834267
10,0.2,16,2,0.0009370392732567949
10,0.2,32,2,0.0006005949296084387
10,0.2,64,2,0.00048103793669267055
10,0.2,4,3,0.002199331465528531
10,0.2,8,3,0.0007589563403574835
10,0.2,16,3,0.000384383437188492
10,0.2,32,3,0.00039378768077927853
10,0.2,64,3,0.0003583542875522211
10,0.2,4,4,0.0003329700216074653
10,0.2,8,4,0.00021489622044579512
10,0.2,16,4,0.00022535252261129507
10,0.2,32,4,0.0002836466512489851
10,0.2,64,4,0.0003340187057492078
10,0.4,4,0,0.005347180712586576
10,0.4,8,0,0.004925705964706056
10,0.4,16,0,0.00884410815869269
10,0.4,32,0,0.006475689607628368
10,0.4,64,0,0.004319285661359362
10,0.4,4,1,0.0023437807619010554
10,0.4,8,1,0.0030403861676931952
10,0.4,16,1,0.004016954667754631
10,0.4,32,1,0.005194169205768537
10,0.4,64,1,0.004302159267536698
10,0.4,4,2,0.0008695694800864887
10,0.4,8,2,0.0017240747244690409
10,0.4,16,2,0.0016643793493629738
10,0.4,32,2,0.005373780295612083
10,0.4,64,2,0.005071167622772055
10,0.4,4,3,0.00585727721219924
10,0.4,8,3,0.00239929417226062
10,0.4,16,3,0.002909452906238063
10,0.4,32,3,0.0051679799172379285
10,0.4,64,3,0.005727981383736366
10,0.4,4,4,0.0023374685592552256
10,0.4,8,4,0.0050161199588077314
10,0.4,16,4,0.003336573641464258
