cut,J,m,entropy_mean,entropy_std,entropy_sem
10,0.0,4,2.0723265836946412e-28,0.0,0.0
10,0.2,4,0.0008119358118300569,0.0008466443620468569,0.000378630869260743
10,0.4,4,0.003351055345205717,0.002148569110274872,0.0009608693169861711
10,0.6,4,0.021959475008843498,0.032157058570532596,0.01438107378403062
10,0.8,4,0.06598277396615619,0.05902746927886264,0.02639788676946347
10,1.0,4,0.06619996561646915,0.026323197374435132,0.011772091742876188
10,1.2,4,0.072646954452445,0.03501902693141878,0.01566098494490965
10,1.4,4,0.07977851658813978,0.04096077177970902,0.01831821402205688
10,1.6,4,0.28346434290879363,0.173334774089876,0.07751766754590639
10,1.8,4,0.22214602744357514,0.12833339858581072,0.05739244060428963
10,2.0,4,0.13043081054683792,0.07366259729792089,0.03294291499146869
10,0.0,8,4.835428695287497e-28,0.0,0.0
10,0.2,8,0.00045035202933239903,0.0003021071482243958,0.00013510642398367075
10,0.4,8,0.003421116197587329,0.001489702380864637,0.0006662151579713221
10,0.6,8,0.019397988299784914,0.011972972573872758,0.005354476113584022
10,0.8,8,0.031069765106449487,0.012040129424728489,0.005384509570317667
10,1.0,8,0.05873945721257605,0.0291895683626632,0.01305397181855843
10,1.2,8,0.10125411839098541,0.03565631252248098,0.015945987725448894
10,1.4,8,0.2465389801508151,0.1868905649132504,0.08358000149987299
10,1.6,8,0.353154127085085,0.19403407466841868,0.08677467618197082
10,1.8,8,0.33238014011420514,0.20589857586082783,0.09208064241904165
10,2.0,8,0.24922507395952417,0.09227448288116569,0.041266403262185426
10,0.0,16,1.0361632918473208e-27,0.0,0.0
10,0.2,16,0.0003927701461654354,0.00031338383889757687,0.0001401495133649649
10,0.4,16,0.0041542937447025235,0.002758223605701451,0.001233515095898604
10,0.6,16,0.02193275976336604,0.010027823608739038,0.004484579051103548
10,0.8,16,0.047920537912841274,0.018960086766192503,0.008479208573700119
10,1.0,16,0.08079068341935607,0.033799524044820214,0.015115606674271328
10,1.2,16,0.16920315918493165,0.018317646157839648,0.008191900399343458
10,1.4,16,0.334639193004877,0.09691866159816873,0.043343343124360736
10,1.6,16,0.34745881571195864,0.1503634795253972,0.06724459231043718
10,1.8,16,0.3331634449818459,0.07202559800332968,0.032210826651103655
10,2.0,16,0.3599317621313921,0.1790950207488498,0.08009372816523269
10,0.0,32,2.141404136484463e-27,0.0,0.0
10,0.2,32,0.0003621606738418257,0.00015419068489390031,6.89561705840022e-05
10,0.4,32,0.005298809746402501,0.000782905049312542,0.00035012578203813375
10,0.6,32,0.01870865923346603,0.0016792726358097491,0.0007509935532851693
10,0.8,32,0.045423193500313895,0.01166293999330146,0.0052158253285046014
10,1.0,32,0.08497484175264028,0.015373909127070552,0.006875421177606841
10,1.2,32,0.17820340230203782,0.010648536815747933,0.004762170436184306
10,1.4,32,0.3385391880251525,0.08762930738448796,0.03918901762658787
10,1.6,32,0.3151894792873288,0.05930890072908557,0.026523746740204433
10,1.8,32,0.3538194418903916,0.06400621960798578,0.028624451605247226
10,2.0,32,0.4030426073769274,0.09809772143528132,0.043870634713425456
10,0.0,64,4.351885825758746e-27,0.0,0.0
10,0.2,64,0.00035298435503321716,8.287668408000641e-05,3.7063579870533786e-05
10,0.4,64,0.00481153079215837,0.0005998953321128562,0.0002682813483978318
10,0.6,64,0.018972195040117504,0.004308698969024394,0.001926908757864361
10,0.8,64,0.04531891188700106,0.007256541054398459,0.0032452238158305904
10,1.0,64,0.09311744534249378,0.011834889776948855,0.005292723609494993
10,1.2,64,0.20650002192365932,0.04134988649302107,0.0184922314120591
10,1.4,64,0.30233994840241785,0.037615660384110024,0.016822234727483173
10,1.6,64,0.32667660979428104,0.04577109509042114,0.02046945600535771
10,1.8,64,0.369644319863227,0.04163548041362922,0.018619952896147197
10,2.0,64,0.4207817659245226,0.07562157331673691,0.033818995700341595
