L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,1,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,9.095287493918576,1
6,20,0.1,1.0,1,0.1,32,32,1,1.0,3.3077237184219808e-09,0.0,9.086954575210475,1
6,20,0.1,1.0,1,0.2,32,32,1,1.0,4.623814504507661e-08,0.0,9.055316894948383,1
6,20,0.1,1.0,1,0.3,32,32,1,1.0,2.1440410278579712e-07,0.0,8.994367013700801,1
6,20,0.1,1.0,1,0.4,32,32,1,1.0,6.315532923290383e-07,0.0,8.897539724975152,1
6,20,0.1,1.0,1,0.5,32,32,1,1.0,1.443087450125423e-06,0.0,8.759957149304352,1
6,20,0.1,1.0,1,0.6,32,32,1,1.0,2.793442782853102e-06,0.0,8.58050562734608,1
6,20,0.1,1.0,1,0.7,32,32,1,1.0,4.809599608855537e-06,0.0,8.363396326716284,1
6,20,0.1,1.0,1,0.8,32,32,1,1.0,7.607391911586081e-06,0.0,8.118923675589611,1
6,20,0.1,1.0,1,0.9,32,32,1,1.0,1.1324720347327547e-05,0.0,7.863091937861398,1
6,20,0.1,1.0,1,1.0,32,32,1,1.0,1.6152556625582226e-05,0.0,7.6157776270534505,1
6,20,0.1,1.0,1,1.1,32,32,1,1.0,2.2313589571940193e-05,0.0,7.3973811500765425,1
6,20,0.1,1.0,1,1.2,32,32,1,1.0,2.996322938888996e-05,0.0,7.224601781318365,1
6,20,0.1,1.0,1,1.3,32,32,1,1.0,3.90701977163458e-05,0.0,7.106750498256096,1
6,20,0.1,1.0,1,1.4,32,32,1,1.0,4.937622977854541e-05,0.0,7.0441858553868855,1
6,20,0.1,1.0,1,1.5,32,32,1,1.0,6.045922096269814e-05,0.0,7.0295287986564565,1
6,20,0.1,1.0,1,1.6,32,32,1,1.0,7.18365159207272e-05,0.0,7.05081110749729,1
6,20,0.1,1.0,1,1.7,32,32,1,1.0,8.305123033679898e-05,0.0,7.094877697632904,1
6,20,0.1,1.0,1,1.8,32,32,1,1.0,9.375339075335885e-05,0.0,7.149770401592326,1
6,20,0.1,1.0,1,1.9,32,32,1,1.0,0.00010378808416196733,0.0,7.2058416283671285,1
6,20,0.1,1.0,1,2.0,32,32,1,1.0,0.00011326053763674264,0.0,7.256044853361776,1
