J,R_mean,R_std,rank_tol,cut,m_spectrum
0.0,22.0,0.0,1e-16,1,32
0.1,32.0,0.0,1e-16,1,32
0.2,32.0,0.0,1e-16,1,32
0.3,32.0,0.0,1e-16,1,32
0.4,32.0,0.0,1e-16,1,32
0.5,32.0,0.0,1e-16,1,32
0.6,32.0,0.0,1e-16,1,32
0.7,32.0,0.0,1e-16,1,32
0.8,32.0,0.0,1e-16,1,32
0.9,32.0,0.0,1e-16,1,32
1.0,32.0,0.0,1e-16,1,32
1.1,32.0,0.0,1e-16,1,32
1.2,32.0,0.0,1e-16,1,32
1.3,32.0,0.0,1e-16,1,32
1.4,32.0,0.0,1e-16,1,32
1.5,32.0,0.0,1e-16,1,32
1.6,32.0,0.0,1e-16,1,32
1.7,32.0,0.0,1e-16,1,32
1.8,32.0,0.0,1e-16,1,32
1.9,32.0,0.0,1e-16,1,32
2.0,32.0,0.0,1e-16,1,32
0.0,21.0,3.5355339059327378,1e-16,5,32
0.1,32.0,0.0,1e-16,5,32
0.2,32.0,0.0,1e-16,5,32
0.3,32.0,0.0,1e-16,5,32
0.4,32.0,0.0,1e-16,5,32
0.5,32.0,0.0,1e-16,5,32
0.6,32.0,0.0,1e-16,5,32
0.7,32.0,0.0,1e-16,5,32
0.8,32.0,0.0,1e-16,5,32
0.9,32.0,0.0,1e-16,5,32
1.0,32.0,0.0,1e-16,5,32
1.1,32.0,0.0,1e-16,5,32
1.2,32.0,0.0,1e-16,5,32
1.3,32.0,0.0,1e-16,5,32
1.4,32.0,0.0,1e-16,5,32
1.5,32.0,0.0,1e-16,5,32
1.6,32.0,0.0,1e-16,5,32
1.7,32.0,0.0,1e-16,5,32
1.8,32.0,0.0,1e-16,5,32
1.9,32.0,0.0,1e-16,5,32
2.0,32.0,0.0,1e-16,5,32
0.0,19.0,2.1213203435596424,1e-16,10,32
0.1,32.0,0.0,1e-16,10,32
0.2,32.0,0.0,1e-16,10,32
0.3,32.0,0.0,1e-16,10,32
0.4,32.0,0.0,1e-16,10,32
0.5,32.0,0.0,1e-16,10,32
0.6,32.0,0.0,1e-16,10,32
0.7,32.0,0.0,1e-16,10,32
0.8,32.0,0.0,1e-16,10,32
0.9,32.0,0.0,1e-16,10,32
1.0,32.0,0.0,1e-16,10,32
1.1,32.0,0.0,1e-16,10,32
1.2,32.0,0.0,1e-16,10,32
1.3,32.0,0.0,1e-16,10,32
1.4,32.0,0.0,1e-16,10,32
1.5,32.0,0.0,1e-16,10,32
1.6,32.0,0.0,1e-16,10,32
1.7,32.0,0.0,1e-16,10,32
1.8,32.0,0.0,1e-16,10,32
1.9,32.0,0.0,1e-16,10,32
2.0,32.0,0.0,1e-16,10,32
0.0,24.0,0.7071067811865476,1e-16,15,32
0.1,32.0,0.0,1e-16,15,32
0.2,32.0,0.0,1e-16,15,32
0.3,32.0,0.0,1e-16,15,32
0.4,32.0,0.0,1e-16,15,32
0.5,32.0,0.0,1e-16,15,32
0.6,32.0,0.0,1e-16,15,32
0.7,32.0,0.0,1e-16,15,32
0.8,32.0,0.0,1e-16,15,32
0.9,32.0,0.0,1e-16,15,32
1.0,32.0,0.0,1e-16,15,32
1.1,32.0,0.0,1e-16,15,32
1.2,32.0,0.0,1e-16,15,32
1.3,32.0,0.0,1e-16,15,32
1.4,32.0,0.0,1e-16,15,32
1.5,32.0,0.0,1e-16,15,32
1.6,32.0,0.0,1e-16,15,32
1.7,32.0,0.0,1e-16,15,32
1.8,32.0,0.0,1e-16,15,32
1.9,32.0,0.0,1e-16,15,32
2.0,32.0,0.0,1e-16,15,32
0.0,23.0,0.0,1e-16,20,32
0.1,32.0,0.0,1e-16,20,32
0.2,32.0,0.0,1e-16,20,32
0.3,32.0,0.0,1e-16,20,32
0.4,32.0,0.0,1e-16,20,32
0.5,32.0,0.0,1e-16,20,32
0.6,32.0,0.0,1e-16,20,32
0.7,32.0,0.0,1e-16,20,32
0.8,32.0,0.0,1e-16,20,32
0.9,32.0,0.0,1e-16,20,32
1.0,32.0,0.0,1e-16,20,32
1.1,32.0,0.0,1e-16,20,32
1.2,32.0,0.0,1e-16,20,32
1.3,32.0,0.0,1e-16,20,32
1.4,32.0,0.0,1e-16,20,32
1.5,32.0,0.0,1e-16,20,32
1.6,32.0,0.0,1e-16,20,32
1.7,32.0,0.0,1e-16,20,32
1.8,32.0,0.0,1e-16,20,32
1.9,32.0,0.0,1e-16,20,32
2.0,32.0,0.0,1e-16,20,32
