J,m,median,p16,p84,p05,p95,S_V_full
0.0,4.0,0.0,0.0,0.0,-0.0,0.0,-0.0
0.2,4.0,4.464742445505328e-07,1.5278413525883878e-08,4.3775855110127545e-06,5.967527367062153e-09,1.8946258118018747e-05,4.367238502583226e-07
0.4,4.0,6.118721546883887e-06,3.541587019987176e-07,5.724579313721466e-05,9.976576917585737e-08,0.00014290162564827984,6.057198464281415e-06
0.6000000000000001,4.0,2.752030544742026e-05,2.0219974551128985e-06,0.00025321654803127407,5.323602974869778e-07,0.000359349551008555,2.8330628124314688e-05
0.8,4.0,7.720774418333486e-05,7.103665961555283e-06,0.0006257447858100192,1.4693997288345326e-06,0.001007007481780076,8.535363161067756e-05
1.0,4.0,0.00016801847176427703,1.9383393098766067e-05,0.00132429596023603,3.7021344229922367e-06,0.0022179807918724227,0.00020233603562120958
1.2000000000000002,4.0,0.00032637273525815624,3.8696339379821856e-05,0.00248365970239673,6.796228314337754e-06,0.004224073803406351,0.0004119425449233594
1.4000000000000001,4.0,0.000597875315530177,7.438307797296176e-05,0.00416004097842912,1.1448374160411788e-05,0.006993144642441426,0.0007541328005343014
1.6,4.0,0.0010036001246009276,0.0001231165623952227,0.006564679588511523,2.046028440782785e-05,0.011654800501974249,0.001275523968769985
1.8,4.0,0.0015785979178808479,0.00018335976977009447,0.009547497032454317,3.296493994305207e-05,0.017832109786223963,0.0020285443252110913
2.0,4.0,0.002274264024504287,0.00027783765928882537,0.013920103537430933,4.537197911343589e-05,0.023941720359021333,0.0030707499318952994
0.0,8.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
0.2,8.0,4.2222459147995905e-07,1.535020629618398e-07,2.7014475846152516e-06,4.958074740917179e-08,3.4315691316554005e-06,4.367238502583226e-07
0.4,8.0,5.895832719305078e-06,2.245526741840872e-06,3.673855932899933e-05,9.464846625177574e-07,4.6116683776036474e-05,6.057198464281415e-06
0.6000000000000001,8.0,2.7427069547852988e-05,1.1235926886300829e-05,0.00016386489224191027,4.628098184020177e-06,0.00021059517078682161,2.8330628124314688e-05
0.8,8.0,8.071359355665131e-05,3.3940264567994225e-05,0.0004747458463651005,1.3356929566282803e-05,0.0006195351870866191,8.535363161067756e-05
1.0,8.0,0.00018367326372889032,7.762946351325103e-05,0.0010918911528524503,3.0235854057770222e-05,0.0014264389411994692,0.00020233603562120958
1.2000000000000002,8.0,0.0003605442428125271,0.00016502956395986193,0.002208812811797491,6.865665150227368e-05,0.0028258459695638853,0.0004119425449233594
