case,L,k,cut,J,S_V_full,S_PT_cb
"$L{=}2,\ k{=}2,\ c{=}2$",2,2,2,0.0,-0.0,-0.0
"$L{=}2,\ k{=}2,\ c{=}2$",2,2,2,0.5,7.91889368720137e-06,7.606194057977495e-06
"$L{=}2,\ k{=}2,\ c{=}2$",2,2,2,1.0,0.00010719758260250557,9.639338749284411e-05
"$L{=}2,\ k{=}2,\ c{=}2$",2,2,2,1.5,0.0004958192557682592,0.0004010749217804279
"$L{=}2,\ k{=}2,\ c{=}2$",2,2,2,2.0,0.0014894389496375071,0.0010449444849865799
"$L{=}3,\ k{=}2,\ c{=}2$",3,2,2,0.0,-0.0,-0.0
"$L{=}3,\ k{=}2,\ c{=}2$",3,2,2,0.5,7.869782336331252e-06,7.508135192432371e-06
"$L{=}3,\ k{=}2,\ c{=}2$",3,2,2,1.0,0.00010427882193747996,9.155224947892713e-05
"$L{=}3,\ k{=}2,\ c{=}2$",3,2,2,1.5,0.0004614702210602891,0.000357172205203338
"$L{=}3,\ k{=}2,\ c{=}2$",3,2,2,2.0,0.001286169309683148,0.0008495430359189713
"$L{=}3,\ k{=}3,\ c{=}2$",3,3,2,0.0,-0.0,8.047149976169847e-29
"$L{=}3,\ k{=}3,\ c{=}2$",3,3,2,0.5,1.4141038451298661e-05,1.9539001602196796e-05
"$L{=}3,\ k{=}3,\ c{=}2$",3,3,2,1.0,0.00020226063161588964,0.0002301134743854385
"$L{=}3,\ k{=}3,\ c{=}2$",3,3,2,1.5,0.0009878316128218818,0.0008575534446763826
"$L{=}3,\ k{=}3,\ c{=}2$",3,3,2,2.0,0.003060000083127143,0.001922203703515966
"$L{=}3,\ k{=}3,\ c{=}1$",3,3,1,0.0,2.637674330518329e-26,7.812818664508543e-29
"$L{=}3,\ k{=}3,\ c{=}1$",3,3,1,0.5,1.0280197242420297e-07,6.355130854487173e-08
"$L{=}3,\ k{=}3,\ c{=}1$",3,3,1,1.0,1.4493394600354488e-06,8.06276104069286e-07
"$L{=}3,\ k{=}3,\ c{=}1$",3,3,1,1.5,6.9653885226123285e-06,3.207357482577089e-06
"$L{=}3,\ k{=}3,\ c{=}1$",3,3,1,2.0,2.1992507535145867e-05,7.689603879172589e-06
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,0.0,-0.0,8.576002183314932e-29
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,0.2,4.367238502583226e-07,6.436000465495552e-07
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,0.4,6.057198464281415e-06,8.593110028413005e-06
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,0.6000000000000001,2.8330628124314688e-05,3.7949088717287415e-05
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,0.8,8.535363161067756e-05,0.00010611933051701678
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,1.0,0.00020233603562120958,0.00023013480772884196
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,1.2000000000000002,0.0004119425449233594,0.00042350054483194615
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,1.4000000000000001,0.0007541328005343014,0.0006937280886896019
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,1.6,0.001275523968769985,0.001040763839313151
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,1.8,0.0020285443252110913,0.0014564759164547758
"$L{=}6,\ k{=}3,\ c{=}2$",6,3,2,2.0,0.0030707499318952994,0.00192525441113052
