cut,J,k,L,S_temporal,S_V_full
1,0.0,3,6,-0.0,2.637674330518329e-26
1,0.2,3,6,1.964263197616786e-09,3.0994201980976385e-09
1,0.4,3,6,2.744608781945857e-08,4.389098752961088e-08
1,0.6,3,6,1.2549375358434723e-07,2.0600298356416342e-07
1,0.8,3,6,3.616594957347397e-07,6.172144496232086e-07
1,1.0,3,6,8.063438977232133e-07,1.4494822150349867e-06
1,1.2,3,6,1.5235843795545598e-06,2.9237117663416814e-06
1,1.4,3,6,2.561195030999114e-06,5.319124851520721e-06
1,1.6,3,6,3.94338673939956e-06,8.987242990611462e-06
1,1.8,3,6,5.666834908000046e-06,1.437040863297788e-05
1,2.0,3,6,7.700750839056937e-06,2.2024680825277785e-05
1,2.2,3,6,9.990920971999754e-06,3.264657993384679e-05
1,2.4,3,6,1.2467015472382191e-05,4.710279974785247e-05
1,2.6,3,6,1.5051886224966137e-05,6.646084296639619e-05
1,2.8,3,6,1.7671230728945756e-05,9.201820890480156e-05
1,3.0,3,6,2.0261998505459628e-05,0.0001253247142687906
1,3.2,3,6,2.277826898692247e-05,0.0001681917588117376
1,3.4,3,6,2.519393440059269e-05,0.0002226775135981238
1,3.6,3,6,2.7502202541634718e-05,0.00029103772728131353
1,3.8,3,6,2.9712507770050385e-05,0.0003756301790454916
1,4.0,3,6,3.1845756240686146e-05,0.0004787674146534364
1,4.2,3,6,3.392889972577929e-05,0.0006025317818749049
1,4.4,3,6,3.598968609673696e-05,0.0007485969687176977
1,4.6,3,6,3.805217732493231e-05,0.0009181575519836993
1,4.8,3,6,4.013336138812619e-05,0.0011121383236767618
1,5.0,3,6,4.224098044831508e-05,0.0013319339003409975
1,5.2,3,6,4.437257408777442e-05,0.0015809826887567516
1,5.4,3,6,4.6515675177807175e-05,0.001867471603329494
1,5.6,3,6,4.864906156351608e-05,0.0022082358320480175
1,5.8,3,6,5.074492631105287e-05,0.0026329718343723074
1,6.0,3,6,5.277176602231492e-05,0.0031842223315896897
2,0.0,3,6,-0.0,-0.0
2,0.2,3,6,6.436000467655535e-07,4.367238502583226e-07
2,0.4,3,6,8.593110028393354e-06,6.057198464281415e-06
2,0.6,3,6,3.794908871724361e-05,2.8330628124314688e-05
2,0.8,3,6,0.00010611933051711016,8.535363161067756e-05
2,1.0,3,6,0.00023013480772921885,0.00020233603562120958
2,1.2,3,6,0.0004235005448321118,0.0004119425449233594
2,1.4,3,6,0.0006937280886896192,0.0007541328005343014
2,1.6,3,6,0.0010407638393140517,0.001275523968769985
2,1.8,3,6,0.0014564759164553704,0.0020285443252110913
2,2.0,3,6,0.0019252544111311868,0.0030707499318952994
2,2.2,3,6,0.0024256382304896004,0.0044646298705438865
2,2.4,3,6,0.0029327315269009353,0.0062780853630085435
2,2.6,3,6,0.0034210459086776936,0.008585582799912918
2,2.8,3,6,0.003867333771821123,0.011469819735206842
2,3.0,3,6,0.004252985800329933,0.015023654940623781
2,3.2,3,6,0.004565655378893566,0.019352020571803432
2,3.4,3,6,0.00479992520691461,0.024573575336766983
2,3.6,3,6,0.004957010167666078,0.030821874394594162
2,3.8,3,6,0.005043653237312464,0.038245829052920385
2,4.0,3,6,0.005070483626661594,0.04700918406830313
2,4.2,3,6,0.005050151624783804,0.057288643503534784
2,4.4,3,6,0.0049955354855917905,0.06927028977883457
2,4.6,3,6,0.004918249533781338,0.08314407887564373
2,4.8,3,6,0.004827593123637317,0.09909662709101705
2,5.0,3,6,0.004729989341636118,0.11730311634849402
2,5.2,3,6,0.004628886359994856,0.13791975124876002
2,5.4,3,6,0.00452504140097445,0.16107805839544173
2,5.6,3,6,0.004417078757440092,0.1868800903468296
2,5.8,3,6,0.004302205719352723,0.2153871285130111
2,6.0,3,6,0.00417697760811552,0.24657916650535688
3,0.0,3,6,-0.0,2.184071465489859e-27
3,0.2,3,6,1.4312823572277382e-06,1.1260102625607433e-06
3,0.4,3,6,1.8916927552122827e-05,1.5202091752355001e-05
3,0.6,3,6,8.279232057992245e-05,6.870217323463136e-05
3,0.8,3,6,0.00022945673276584605,0.00019864369086235772
3,1.0,3,6,0.0004930175980305566,0.000449506511814569
3,1.2,3,6,0.0008984013560095989,0.0008700878709710977
3,1.4,3,6,0.0014562596713652365,0.0015097539504668888
3,1.6,3,6,0.002160110242019383,0.0024141349090144875
3,1.8,3,6,0.002985991916185581,0.0036206865133514778
3,2.0,3,6,0.0038946385592157737,0.005154766193844574
3,2.2,3,6,0.00483584373661534,0.007026902928928606
3,2.4,3,6,0.005754360460627302,0.00923181749798484
3,2.6,3,6,0.006596429082637797,0.011749472054802928
3,2.8,3,6,0.007315919776074517,0.014548112515513849
3,3.0,3,6,0.007879155143237566,0.017588931748109292
3,3.2,3,6,0.008267739122882648,0.020831751143054106
3,3.4,3,6,0.00847910631453162,0.024240981966332485
3,3.6,3,6,0.008524930459487939,0.027791151077238445
3,3.8,3,6,0.008427893087365792,0.03147138420615499
3,4.0,3,6,0.008217536519559315,0.03528848383258788
3,4.2,3,6,0.007925976141555286,0.039268465772046755
3,4.4,3,6,0.007584139208502362,0.043456743224441555
3,4.6,3,6,0.007218981290828058,0.04791741064403466
3,4.8,3,6,0.006851872342319697,0.052732468546945084
3,5.0,3,6,0.006498103920575503,0.05800219317698587
3,5.2,3,6,0.006167291772932425,0.0638483899042163
3,5.4,3,6,0.005864355459549909,0.07042289629492463
3,5.6,3,6,0.005590748164397428,0.07792455140357436
3,5.8,3,6,0.0053456667287751095,0.08662909415555249
3,6.0,3,6,0.005127065167738272,0.09693840666669086
