J,cut,k,L,s_bond,chi,entropy_SV,ratio_SV_over_bond,n_pasts,n_futures,max_bond_dim
2.0,2,3,6,0.6932338668154302,64,0.004418131610653731,0.006373219518183227,64,64,none
2.5,2,3,6,0.6932751639215866,64,0.010806293596389033,0.015587308126346334,64,64,none
3.0,2,3,6,0.6933214565819426,64,0.010355938965303953,0.014936706295458492,64,64,none
3.5,2,3,6,0.6933713031850427,64,0.014057879276799405,0.02027467709180304,64,64,none
4.0,2,3,6,0.6934232513423374,64,0.014805347077662142,0.021351096965672504,64,64,none
4.5,2,3,6,0.6934758648330935,64,0.020489479821094916,0.029546060447289458,64,64,none
5.0,2,3,6,0.6935277539228424,64,0.012154866790502747,0.01752614328950853,64,64,none
5.5,2,3,6,0.6935776060667347,64,0.01645305008106072,0.02372200304211904,64,64,none
6.0,2,3,6,0.6936242150428451,64,0.019122034864602885,0.027568291951026707,64,64,none
6.5,2,3,6,0.6936665071150987,64,0.015953483657326458,0.022998780384648625,64,64,none
7.0,2,3,6,0.6937035631904044,64,0.011368712860916303,0.016388430828624522,64,64,none
7.5,2,3,6,0.6937346362192258,64,0.012213587753052677,0.0176055614285245,64,64,none
8.0,2,3,6,0.6937591633338832,64,0.007602454997205795,0.010958348947308948,64,64,none
8.5,2,3,6,0.6937767724478024,64,0.004976444648229654,0.0071729767352568235,64,64,none
9.0,2,3,6,0.6937872832512262,64,0.0048030685570155775,0.006922970012519451,64,64,none
9.5,2,3,6,0.6937907027360918,64,0.0033982933877362144,0.0048981535416003944,64,64,none
10.0,2,3,6,0.6937872155680549,64,0.0036045957125541406,0.005195534930119448,64,64,none
