cut,J,m,probe_draw,entropy
2,0.4,4,0,0.00018457284167786494
2,0.4,8,0,0.0003809422002086182
2,0.4,16,0,0.0002451534016602719
2,0.4,4,1,3.1409509213085296e-05
2,0.4,8,1,0.00011259438356181207
2,0.4,16,1,0.00011790744868503099
2,1.0,4,0,0.0008363599636200582
2,1.0,8,0,0.004055107289807674
2,1.0,16,0,0.006950124334826908
2,1.0,4,1,0.013458711269078265
2,1.0,8,1,0.012871471688006125
2,1.0,16,1,0.005033461652970497
2,2.0,4,0,0.007107394077342937
2,2.0,8,0,0.018415682389156064
2,2.0,16,0,0.034762628230328683
2,2.0,4,1,0.03641947632104038
2,2.0,8,1,0.029130417753707172
2,2.0,16,1,0.024590923468802907
