L,k,dt,g,left_cut,tau,ell,right_cut,past_len_fixed,future_len_fixed,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,7,0.1,1.0,4,0,0,5,3,2,0.5,6,6,5,1.0,0.0010284267462630726,0.0005112876870775014,1.510835462952365,1
6,7,0.1,1.0,4,0,0,5,3,2,1.0,6,6,5,1.0,0.016422708219619674,0.007008719202793231,1.4835693869779774,1
6,7,0.1,1.0,4,0,0,5,3,2,1.5,6,6,5,1.0,0.06732203153623116,0.02727178824037146,1.446021403095509,1
6,7,0.1,1.0,4,0,0,5,3,2,2.0,6,6,5,1.0,0.1272255646837319,0.058493056230070804,1.4352842518682345,1
6,8,0.1,1.0,4,1,1,6,3,2,0.5,6,6,5,1.0,0.0013562129521767763,0.0006300823913140584,1.509676853417881,1
6,8,0.1,1.0,4,1,1,6,3,2,1.0,6,6,5,1.0,0.02263360691712763,0.008742544472488692,1.4802422485458582,1
6,8,0.1,1.0,4,1,1,6,3,2,1.5,6,6,5,1.0,0.07621587229242215,0.030637723045193424,1.450306305388506,1
6,8,0.1,1.0,4,1,1,6,3,2,2.0,6,6,5,1.0,0.10223818169540788,0.053035755091353116,1.4559191222684558,1
6,9,0.1,1.0,4,2,2,7,3,2,0.5,6,6,5,1.0,0.0017197577188772211,0.0007399242306716611,1.5092944347789732,1
6,9,0.1,1.0,4,2,2,7,3,2,1.0,6,6,5,1.0,0.027333380984030615,0.010141174501607059,1.4790533109800457,1
6,9,0.1,1.0,4,2,2,7,3,2,1.5,6,6,5,1.0,0.0680662010971704,0.02880098876023809,1.4587665982358857,1
6,9,0.1,1.0,4,2,2,7,3,2,2.0,6,6,5,1.0,0.05891383040536859,0.03514839536105079,1.4739102996145401,1
