L,k,dt,g,left_cut,tau,ell,right_cut,past_len_fixed,future_len_fixed,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,7,0.1,1.0,4,0,0,5,3,2,0.5,6,6,1,1.0,0.0005510598842386993,0.0,1.4725923511569632,1
6,7,0.1,1.0,4,0,0,5,3,2,1.0,6,6,1,1.0,0.006141604022282121,0.0,1.3543626630216663,1
6,7,0.1,1.0,4,0,0,5,3,2,1.5,6,6,1,1.0,0.022532049361189632,0.0,1.2457312896144577,1
6,7,0.1,1.0,4,0,0,5,3,2,2.0,6,6,1,1.0,0.04342135256934322,0.0,1.173933312143301,1
6,8,0.1,1.0,4,1,1,6,3,2,0.5,6,6,1,1.0,0.003744933276897333,0.0,0.7703809019680937,1
6,8,0.1,1.0,4,1,1,6,3,2,1.0,6,6,1,1.0,0.01578891371536618,0.0,0.8903745168126624,1
6,8,0.1,1.0,4,1,1,6,3,2,1.5,6,6,1,1.0,0.019114180174704943,0.0,1.0582120737221472,1
6,8,0.1,1.0,4,1,1,6,3,2,2.0,6,6,1,1.0,0.01174040920465157,0.0,1.265023731772056,1
6,9,0.1,1.0,4,2,2,7,3,2,0.5,6,6,1,1.0,0.0005798858406567194,0.0,1.582971213621665,1
6,9,0.1,1.0,4,2,2,7,3,2,1.0,6,6,1,1.0,0.007604183930487701,0.0,1.5365050373375722,1
6,9,0.1,1.0,4,2,2,7,3,2,1.5,6,6,1,1.0,0.012778194126106488,0.0,1.5096145949203317,1
6,9,0.1,1.0,4,2,2,7,3,2,2.0,6,6,1,1.0,0.006845876674064259,0.0,1.512032292318819,1
