L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,1,0.0,8,8,1,1.0,4.835428695287497e-28,0.0,1.938738214617179,1
6,20,0.1,1.0,1,0.5,8,8,1,1.0,1.4290125346463318e-06,0.0,1.8733806651808609,1
6,20,0.1,1.0,1,1.0,8,8,1,1.0,1.7223777653498495e-05,0.0,1.628164500340192,1
6,20,0.1,1.0,1,1.5,8,8,1,1.0,5.566724157459934e-05,0.0,1.4659796918662191,1
6,20,0.1,1.0,1,2.0,8,8,1,1.0,7.095463087054676e-05,0.0,1.5847276606938188,1
6,20,0.1,1.0,2,0.0,8,8,1,1.0,4.835428695287497e-28,0.0,2.0300291162811934,1
6,20,0.1,1.0,2,0.5,8,8,1,1.0,0.0001595673188381895,0.0,1.9145410671966414,1
6,20,0.1,1.0,2,1.0,8,8,1,1.0,0.0020365886280524765,0.0,1.6710906310659674,1
6,20,0.1,1.0,2,1.5,8,8,1,1.0,0.008741519073078435,0.0,1.5500051047408603,1
6,20,0.1,1.0,2,2.0,8,8,1,1.0,0.022365076837721775,0.0,1.4565941139276828,1
6,20,0.1,1.0,3,0.0,8,8,1,1.0,4.835428695287497e-28,0.0,2.0405896274725936,1
6,20,0.1,1.0,3,0.5,8,8,1,1.0,0.0028765129322640107,0.0,2.017890568759126,1
6,20,0.1,1.0,3,1.0,8,8,1,1.0,0.021997903194362237,0.0,1.8286997118783919,1
6,20,0.1,1.0,3,1.5,8,8,1,1.0,0.046322949261393485,0.0,1.7226908399749044,1
6,20,0.1,1.0,3,2.0,8,8,1,1.0,0.06972279562880529,0.0,1.7371238968072864,1
6,20,0.1,1.0,4,0.0,8,8,1,1.0,4.835428695287497e-28,0.0,2.2696704062054947,1
6,20,0.1,1.0,4,0.5,8,8,1,1.0,0.0015479874078749188,0.0,2.207062871387101,1
6,20,0.1,1.0,4,1.0,8,8,1,1.0,0.01581404074543716,0.0,1.9436044899427352,1
6,20,0.1,1.0,4,1.5,8,8,1,1.0,0.05885451763086597,0.0,1.8388795064706296,1
6,20,0.1,1.0,4,2.0,8,8,1,1.0,0.09690462908688963,0.0,1.9351744075442232,1
