L,J,c,entropy,k,dt,g,n_pasts,n_futures,n_seeds,branch_weight_beta
2,0.5,1,1.8382456729173674e-07,4,0.1,1.0,6,6,1,1.0
2,0.5,2,1.0169955351209799e-05,4,0.1,1.0,6,6,1,1.0
2,0.5,3,0.00022681249320707906,4,0.1,1.0,6,6,1,1.0
2,0.5,4,0.00020816641133221815,4,0.1,1.0,6,6,1,1.0
2,1.0,1,2.341826963167651e-06,4,0.1,1.0,6,6,1,1.0
2,1.0,2,0.000136518091137161,4,0.1,1.0,6,6,1,1.0
2,1.0,3,0.0025445870961209646,4,0.1,1.0,6,6,1,1.0
2,1.0,4,0.0024045395955311394,4,0.1,1.0,6,6,1,1.0
3,0.5,1,1.6945447800295457e-07,4,0.1,1.0,6,6,1,1.0
3,0.5,2,6.3146861197138015e-06,4,0.1,1.0,6,6,1,1.0
3,0.5,3,0.00023955787996358656,4,0.1,1.0,6,6,1,1.0
3,0.5,4,0.00019298428715579442,4,0.1,1.0,6,6,1,1.0
3,1.0,1,1.8189101475715504e-06,4,0.1,1.0,6,6,1,1.0
3,1.0,2,6.467712710889068e-05,4,0.1,1.0,6,6,1,1.0
3,1.0,3,0.002727105823026735,4,0.1,1.0,6,6,1,1.0
3,1.0,4,0.00190079352054589,4,0.1,1.0,6,6,1,1.0
