#time	operator	index_1	index_2	value
0	ZZ	1	2	1
0	ZZ	1	3	1
0	ZZ	1	4	1
0	ZZ	1	5	1
0	ZZ	1	6	1
0	ZZ	1	7	1
0	ZZ	1	8	1
0	ZZ	1	9	1
0	ZZ	1	10	1
0	ZZ	1	11	1
0	ZZ	1	12	1
0	ZZ	1	13	1
0	ZZ	1	14	1
0	ZZ	1	15	1
0	ZZ	1	16	-1
0	ZZ	1	17	-1
0	ZZ	1	18	-1
0	ZZ	1	19	-1
0	ZZ	1	20	-1
0	ZZ	1	21	-1
0	ZZ	1	22	-1
0	ZZ	1	23	-1
0	ZZ	1	24	-1
0	ZZ	1	25	-1
0	ZZ	1	26	-1
0	ZZ	1	27	-1
0	ZZ	1	28	-1
0	ZZ	1	29	-1
0	ZZ	1	30	-1
0	ZZ	2	1	1
0	ZZ	2	3	1
0	ZZ	2	4	1
0	ZZ	2	5	1
0	ZZ	2	6	1
0	ZZ	2	7	1
0	ZZ	2	8	1
0	ZZ	2	9	1
0	ZZ	2	10	1
0	ZZ	2	11	1
0	ZZ	2	12	1
0	ZZ	2	13	1
0	ZZ	2	14	1
0	ZZ	2	15	1
0	ZZ	2	16	-1
0	ZZ	2	17	-1
0	ZZ	2	18	-1
0	ZZ	2	19	-1
0	ZZ	2	20	-1
0	ZZ	2	21	-1
0	ZZ	2	22	-1
0	ZZ	2	23	-1
0	ZZ	2	24	-1
0	ZZ	2	25	-1
0	ZZ	2	26	-1
0	ZZ	2	27	-1
0	ZZ	2	28	-1
0	ZZ	2	29	-1
0	ZZ	2	30	-1
0	ZZ	3	1	1
0	ZZ	3	2	1
0	ZZ	3	4	1
0	ZZ	3	5	1
0	ZZ	3	6	1
0	ZZ	3	7	1
0	ZZ	3	8	1
0	ZZ	3	9	1
0	ZZ	3	10	1
0	ZZ	3	11	1
0	ZZ	3	12	1
0	ZZ	3	13	1
0	ZZ	3	14	1
0	ZZ	3	15	1
0	ZZ	3	16	-1
0	ZZ	3	17	-1
0	ZZ	3	18	-1
0	ZZ	3	19	-1
0	ZZ	3	20	-1
0	ZZ	3	21	-1
0	ZZ	3	22	-1
0	ZZ	3	23	-1
0	ZZ	3	24	-1
0	ZZ	3	25	-1
0	ZZ	3	26	-1
0	ZZ	3	27	-1
0	ZZ	3	28	-1
0	ZZ	3	29	-1
0	ZZ	3	30	-1
0	ZZ	4	1	1
0	ZZ	4	2	1
0	ZZ	4	3	1
0	ZZ	4	5	1
0	ZZ	4	6	1
0	ZZ	4	7	1
0	ZZ	4	8	1
0	ZZ	4	9	1
0	ZZ	4	10	1
