section,circuit,target_label,target_gate,sites,theta,theta_relative_to_original,method,tdvp_config,fidelity_error,phase_aligned_l2_error,state_delta_norm,tebd_error,enrichment_error,dense_exact_error,max_bond_before,max_bond_after,wall_time_s,window_size,tdvp_sweeps,tdvp_circuit_full_sweep,tdvp_error,estimated_order_p,error_at_original_theta,error_at_smallest_theta,monotonic_decrease,m,theta_per_substep
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,1.0,tebd,,9.159339953157541e-13,9.606237711529616e-07,9.606237711492306e-07,9.159339953157541e-13,9.166001291305292e-13,9.168221737354543e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,1.0,enrichment,,9.166001291305292e-13,9.606237711477097e-07,9.606237711460974e-07,9.159339953157541e-13,9.166001291305292e-13,9.168221737354543e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,1.0,dense_exact,,9.168221737354543e-13,9.606237711404375e-07,9.606237711388252e-07,9.159339953157541e-13,9.166001291305292e-13,9.168221737354543e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,1.0,2tdvp,current_local,0.009648514321641377,0.0982269604315414,0.09822696043154351,9.159339953157541e-13,9.166001291305292e-13,9.168221737354543e-13,15,16,0.01782939999247901,1,1,False,0.009648514321641377,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,1.0,2tdvp,local_full_sweep,0.006540814143136453,0.08194958809700638,0.08194958809701389,9.159339953157541e-13,9.166001291305292e-13,9.168221737354543e-13,15,15,0.016346900025382638,1,1,True,0.006540814143136453,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,1.0,2tdvp,local_many_sweeps,0.00017037070664915888,0.013380228530288547,0.013380228530290153,9.159339953157541e-13,9.166001291305292e-13,9.168221737354543e-13,15,15,0.15880199999082834,1,8,True,0.00017037070664915888,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,1.0,2tdvp,full_chain_many_sweeps,0.0001703707066686988,0.013380228530288854,0.01338022853029059,9.159339953157541e-13,9.166001291305292e-13,9.168221737354543e-13,15,15,0.342178100021556,full,8,True,0.0001703707066686988,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.1,0.5,tebd,,9.14823772291129e-13,9.606237711501522e-07,9.60623771147954e-07,9.14823772291129e-13,9.170442183403793e-13,9.166001291305292e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.1,0.5,enrichment,,9.170442183403793e-13,9.606237711514648e-07,9.60623771152704e-07,9.14823772291129e-13,9.170442183403793e-13,9.166001291305292e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.1,0.5,dense_exact,,9.166001291305292e-13,9.606237711448482e-07,9.606237711476405e-07,9.14823772291129e-13,9.170442183403793e-13,9.166001291305292e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.1,0.5,2tdvp,current_local,0.004874492233905348,0.06981757350794224,0.06981757350794218,9.14823772291129e-13,9.170442183403793e-13,9.166001291305292e-13,15,16,0.024342399992747232,1,1,False,0.004874492233905348,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.1,0.5,2tdvp,local_full_sweep,0.0016149435858984207,0.04072785942781571,0.040727859427826314,9.14823772291129e-13,9.170442183403793e-13,9.166001291305292e-13,15,15,0.013741500006290153,1,1,True,0.0016149435858984207,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.1,0.5,2tdvp,local_many_sweeps,3.911508958676091e-05,0.0064249628029239845,0.0064249628029300395,9.14823772291129e-13,9.170442183403793e-13,9.166001291305292e-13,15,15,0.10594929999206215,1,8,True,3.911508958676091e-05,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.1,0.5,2tdvp,full_chain_many_sweeps,3.911508957610277e-05,0.0064249628029250236,0.0064249628029310465,9.14823772291129e-13,9.170442183403793e-13,9.166001291305292e-13,15,15,0.3373184000083711,full,8,True,3.911508957610277e-05,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.05,0.25,tebd,,9.183764859699295e-13,9.60623771150314e-07,9.60623771156505e-07,9.183764859699295e-13,1.8671730828145883e-12,9.163780845256042e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.05,0.25,enrichment,,1.8671730828145883e-12,1.3685774142313102e-06,1.3685774142332362e-06,9.183764859699295e-13,1.8671730828145883e-12,9.163780845256042e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.05,0.25,dense_exact,,9.163780845256042e-13,9.60623771137796e-07,9.60623771141646e-07,9.183764859699295e-13,1.8671730828145883e-12,9.163780845256042e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.05,0.25,2tdvp,current_local,0.0020803093188735966,0.04561040866282846,0.045610408662844194,9.183764859699295e-13,1.8671730828145883e-12,9.163780845256042e-13,15,15,0.009023799997521564,1,1,False,0.0020803093188735966,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.05,0.25,2tdvp,local_full_sweep,0.000400946964395299,0.020295467097774265,0.02029546709777571,9.183764859699295e-13,1.8671730828145883e-12,9.163780845256042e-13,15,15,0.01916469997377135,1,1,True,0.000400946964395299,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.05,0.25,2tdvp,local_many_sweeps,9.331107572840835e-06,0.0031420340416279707,0.003142034041629047,9.183764859699295e-13,1.8671730828145883e-12,9.163780845256042e-13,15,15,0.1488868000160437,1,8,True,9.331107572840835e-06,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.05,0.25,2tdvp,full_chain_many_sweeps,9.331107565069274e-06,0.0031420340416220384,0.0031420340416231022,9.183764859699295e-13,1.8671730828145883e-12,9.163780845256042e-13,15,15,0.24246670000138693,full,8,True,9.331107565069274e-06,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.025,0.125,tebd,,9.083844787483031e-13,9.606237711419973e-07,9.60623771140105e-07,9.083844787483031e-13,1.5218937221561646e-12,9.168221737354543e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.025,0.125,enrichment,,1.5218937221561646e-12,1.235944582211212e-06,1.2359445822094412e-06,9.083844787483031e-13,1.5218937221561646e-12,9.168221737354543e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.025,0.125,dense_exact,,9.168221737354543e-13,9.60623771139384e-07,9.60623771138637e-07,9.083844787483031e-13,1.5218937221561646e-12,9.168221737354543e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.025,0.125,2tdvp,current_local,0.0007076097458845743,0.026600935081330254,0.026600935081335826,9.083844787483031e-13,1.5218937221561646e-12,9.168221737354543e-13,15,15,0.008122700004605576,1,1,False,0.0007076097458845743,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.025,0.125,2tdvp,local_full_sweep,9.987477398576416e-05,0.010129899248981009,0.010129899248981193,9.083844787483031e-13,1.5218937221561646e-12,9.168221737354543e-13,15,15,0.014574700006050989,1,1,True,9.987477398576416e-05,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.025,0.125,2tdvp,local_many_sweeps,2.2763871990738593e-06,0.0015529665618401482,0.001552966561840299,9.083844787483031e-13,1.5218937221561646e-12,9.168221737354543e-13,15,15,0.150648499984527,1,8,True,2.2763871990738593e-06,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.025,0.125,2tdvp,full_chain_many_sweeps,2.276387159994009e-06,0.0015529665618391434,0.0015529665618392635,9.083844787483031e-13,1.5218937221561646e-12,9.168221737354543e-13,15,15,0.22353950000251643,full,8,True,2.276387159994009e-06,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0125,0.0625,tebd,,9.14379683081279e-13,9.606237711429337e-07,9.606237711477703e-07,9.14379683081279e-13,1.191491350027718e-12,9.170442183403793e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0125,0.0625,enrichment,,1.191491350027718e-12,1.0940942454234146e-06,1.094094245425149e-06,9.14379683081279e-13,1.191491350027718e-12,9.170442183403793e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0125,0.0625,dense_exact,,9.170442183403793e-13,9.606237711360779e-07,9.606237711374903e-07,9.14379683081279e-13,1.191491350027718e-12,9.170442183403793e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0125,0.0625,2tdvp,current_local,0.00020666600591778828,0.014375882782019275,0.0143758827820207,9.14379683081279e-13,1.191491350027718e-12,9.170442183403793e-13,15,15,0.0175615000189282,1,1,False,0.00020666600591778828,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0125,0.0625,2tdvp,local_full_sweep,2.4922668977134244e-05,0.00506040618739739,0.005060406187397397,9.14379683081279e-13,1.191491350027718e-12,9.170442183403793e-13,15,15,0.03318979998584837,1,1,True,2.4922668977134244e-05,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0125,0.0625,2tdvp,local_many_sweeps,5.620276078976971e-07,0.0007719178377711803,0.0007719178377711811,9.14379683081279e-13,1.191491350027718e-12,9.170442183403793e-13,15,15,0.13453790001221932,1,8,True,5.620276078976971e-07,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0125,0.0625,2tdvp,full_chain_many_sweeps,5.620275990159129e-07,0.0007719178377731121,0.0007719178377731133,9.14379683081279e-13,1.191491350027718e-12,9.170442183403793e-13,15,15,0.23056379999616183,full,8,True,5.620275990159129e-07,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.00625,0.03125,tebd,,9.177103521551544e-13,9.606237711564846e-07,9.606237711592419e-07,9.177103521551544e-13,1.4206413823103503e-12,9.166001291305292e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.00625,0.03125,enrichment,,1.4206413823103503e-12,1.194019475786469e-06,1.1940194757859705e-06,9.177103521551544e-13,1.4206413823103503e-12,9.166001291305292e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.00625,0.03125,dense_exact,,9.166001291305292e-13,9.60623771142338e-07,9.60623771142346e-07,9.177103521551544e-13,1.4206413823103503e-12,9.166001291305292e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.00625,0.03125,2tdvp,current_local,5.5716354846468974e-05,0.007464338844702355,0.007464338844704084,9.177103521551544e-13,1.4206413823103503e-12,9.166001291305292e-13,15,15,0.019000700005562976,1,1,False,5.5716354846468974e-05,,,,,,
