section,circuit_name,method,fidelity_error,statevector_norm_error,phase_aligned_l2_error,pauli_obs_max_error,max_bond,mean_bond,wall_time,defect_tol,svd_threshold,tdvp_lr_pauli_count,enriched_lr_pauli_count,tebd_fidelity_error,gate_order,prefix_index,gate_index_1based,gate_name,sites,is_nearest_neighbor,is_long_range,route_used,route_reason,projected_ratio,projection_defect,tdvp_projection_defect_tol,fidelity_error_after_gate,phase_aligned_l2_error_after_gate,max_bond_after_gate,mean_bond_after_gate,first_exceeds_1e_6,first_exceeds_1e_4,fid_before,fid_after,input_fidelity_to_qiskit_before_gate,projected_ratio_before_gate,projection_defect_before_gate,route_chosen_by_current_router,tdvp_fidelity_error_after_gate,enrichment_fidelity_error_after_gate,tebd_fidelity_error_after_gate,dense_exact_fidelity_error_after_gate,tdvp_sweeps,window_size,nontrivial_mpo_sites_in_window,max_bond_before,max_bond_after,gate,route,reason,fidelity_error_before,fidelity_error_after,delta_fidelity_error,first_bad_gate,index,qiskit_gate_name,qiskit_qargs,internal_gate_name,internal_sites,parameters,dag_matches_data
method_comparison,ising2d_3x3_h1_dt0.1_L4_plus,qiskit_reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_comparison,ising2d_3x3_h1_dt0.1_L4_plus,tebd_swaps,0.0,2.0204560136112848e-14,2.0209072676542555e-14,0.1614477220716094,16.0,7.5,0.5314691000094172,0.0001,1e-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_comparison,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,0.044894264200435297,0.21313542601305888,0.21203881890016768,0.19113264220891502,16.0,7.5,2.2721472999837715,0.0001,1e-12,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_comparison,ising2d_3x3_h1_dt0.1_L4_plus,force_all_lr_pauli_enrichment,6.339373470609644e-13,8.029490420957001e-07,8.029490420964623e-07,0.1614477230047504,16.0,7.5,1.6806605999881867,0.0001,1e-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_comparison,ising2d_3x3_h1_dt0.1_L4_plus,force_all_lr_pauli_tdvp,0.10062784154170756,0.32231371775201134,0.319730349858256,0.15727942566783137,16.0,7.5,1.4851082999957725,0.0001,1e-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,0,1,ry,[0],True,False,,,nan,nan,0.0001,0.0,0.0,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,1,2,ry,[1],True,False,,,nan,nan,0.0001,0.0,0.0,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,2,3,rzz,"(0, 1)",True,False,,,nan,nan,0.0001,0.0,1.8554244192615835e-16,2,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,3,4,ry,[2],True,False,,,nan,nan,0.0001,0.0,1.9552419133213832e-16,2,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,4,5,rzz,"(1, 2)",True,False,,,nan,nan,0.0001,0.0,3.203637084000316e-16,2,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,5,6,rzz,"(2, 0)",False,True,tdvp,projection-complete: projection defect 0 below defect tol 0.0001,1.0000000000000009,0.0,0.0001,0.0,3.976416080268664e-16,2,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,6,7,ry,[3],True,False,,,nan,nan,0.0001,0.0,4.0892403624808086e-16,2,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,7,8,ry,[4],True,False,,,nan,nan,0.0001,0.0,4.3720538306433645e-16,2,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,8,9,rzz,"(3, 4)",True,False,,,nan,nan,0.0001,0.0,4.305718437321126e-16,2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,9,10,ry,[5],True,False,,,nan,nan,0.0001,0.0,4.1078766499300778e-16,2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,10,11,rzz,"(4, 5)",True,False,,,nan,nan,0.0001,0.0,4.840500222729029e-16,2,1.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,11,12,rzz,"(1, 4)",False,True,pauli_enriched,projection-incomplete: projection defect 0.510804 above defect tol 0.0001,0.48919610254239326,0.5108038974576068,0.0001,0.0,1.1744670551493472e-15,4,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,12,13,rx,[1],True,False,,,nan,nan,0.0001,0.0,1.2016864130210498e-15,4,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,13,14,rzz,"(5, 3)",False,True,pauli_enriched,projection-incomplete: projection defect 0.00991654 above defect tol 0.0001,0.990083455321177,0.00991654467882297,0.0001,0.0,1.208480663146915e-15,4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,14,15,rzz,"(0, 3)",False,True,pauli_enriched,projection-incomplete: projection defect 0.863629 above defect tol 0.0001,0.1363712354832809,0.8636287645167191,0.0001,0.0,1.2034868451104667e-15,4,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,15,16,rx,[0],True,False,,,nan,nan,0.0001,0.0,1.1938210851160818e-15,4,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,16,17,rzz,"(2, 5)",False,True,pauli_enriched,projection-incomplete: projection defect 0.0385037 above defect tol 0.0001,0.9614962924184068,0.03850370758159316,0.0001,0.0,1.7474109790679527e-15,8,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,17,18,rx,[2],True,False,,,nan,nan,0.0001,0.0,1.7581251400418518e-15,8,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,18,19,ry,[6],True,False,,,nan,nan,0.0001,0.0,1.6885838992360273e-15,8,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,19,20,ry,[7],True,False,,,nan,nan,0.0001,0.0,1.7161306408225482e-15,8,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,20,21,rzz,"(6, 7)",True,False,,,nan,nan,0.0001,0.0,1.7867419665346358e-15,8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,21,22,ry,[8],True,False,,,nan,nan,0.0001,0.0,1.7381043017495138e-15,8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,22,23,rzz,"(7, 8)",True,False,,,nan,nan,0.0001,0.0,1.7885337064949806e-15,8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,23,24,rzz,"(4, 7)",False,True,pauli_enriched,projection-incomplete: projection defect 0.981044 above defect tol 0.0001,0.018955830665802156,0.9810441693341978,0.0001,0.0,2.516134104343971e-15,8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,24,25,rx,[4],True,False,,,nan,nan,0.0001,0.0,2.5584101239963205e-15,8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,25,26,rx,[7],True,False,,,nan,nan,0.0001,0.0,2.5438166478585363e-15,8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,26,27,rzz,"(8, 6)",False,True,pauli_enriched,projection-incomplete: projection defect 0.00991654 above defect tol 0.0001,0.9900834553211775,0.009916544678822525,0.0001,0.0,3.975917937418899e-15,8,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,27,28,rzz,"(3, 6)",False,True,pauli_enriched,projection-incomplete: projection defect 0.866347 above defect tol 0.0001,0.13365289007608336,0.8663471099239166,0.0001,0.0,6.285765069503578e-15,8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,28,29,rx,[3],True,False,,,nan,nan,0.0001,0.0,6.285212258061745e-15,8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,29,30,rzz,"(5, 8)",False,True,pauli_enriched,projection-incomplete: projection defect 0.0476607 above defect tol 0.0001,0.9523392585473719,0.04766074145262811,0.0001,0.0,1.3981162330611315e-14,8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,30,31,rx,[5],True,False,,,nan,nan,0.0001,0.0,1.3963027260054632e-14,8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,31,32,rx,[6],True,False,,,nan,nan,0.0001,0.0,1.3988824790072914e-14,8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,32,33,rx,[8],True,False,,,nan,nan,0.0001,0.0,1.3920036491604712e-14,8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,33,34,rzz,"(0, 1)",True,False,,,nan,nan,0.0001,0.0,1.3945384205811025e-14,8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,34,35,rzz,"(1, 2)",True,False,,,nan,nan,0.0001,0.0,1.3940662674185823e-14,8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,35,36,rzz,"(2, 0)",False,True,tdvp,projection-complete: projection defect 7.77156e-16 below defect tol 0.0001,0.9999999999999992,7.771561172376096e-16,0.0001,0.0,1.4457893711163666e-14,8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,36,37,rzz,"(3, 4)",True,False,,,nan,nan,0.0001,1.7061907442439406e-12,9.247248605014191e-07,14,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,37,38,rzz,"(4, 5)",True,False,,,nan,nan,0.0001,3.4154901129568316e-12,1.307751233907288e-06,14,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,38,39,rzz,"(1, 4)",False,True,tdvp,projection-complete: projection defect 2.39928e-05 below defect tol 0.0001,0.9999760071773176,2.3992822682394888e-05,0.0001,3.4141578453272814e-12,1.3077512339111587e-06,16,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,39,40,rx,[1],True,False,,,nan,nan,0.0001,3.4141578453272814e-12,1.3077512339105492e-06,16,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,40,41,rzz,"(5, 3)",False,True,tdvp,projection-complete: projection defect 8.54428e-13 below defect tol 0.0001,0.9999999999991456,8.544276397515205e-13,0.0001,3.4270364324129332e-12,1.3079969766873031e-06,16,7.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,41,42,rzz,"(0, 3)",False,True,tdvp,projection-complete: projection defect 0 below defect tol 0.0001,4.7431114509445,0.0,0.0001,3.870237463843296e-12,1.307996976694061e-06,16,7.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,42,43,rx,[0],True,False,,,nan,nan,0.0001,3.870015419238371e-12,1.3079969766895797e-06,16,7.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,43,44,rzz,"(2, 5)",False,True,pauli_enriched,projection-incomplete: projection defect 0.000176233 above defect tol 0.0001,0.9998237665306359,0.00017623346936412876,0.0001,9.168221737354543e-13,9.606237711433621e-07,15,7.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,44,45,rx,[2],True,False,,,nan,nan,0.0001,9.166001291305292e-13,9.606237711350021e-07,15,7.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,45,46,rzz,"(6, 7)",True,False,,,nan,nan,0.0001,9.168221737354543e-13,9.606237711549248e-07,15,7.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,46,47,rzz,"(7, 8)",True,False,,,nan,nan,0.0001,9.168221737354543e-13,9.606237711389269e-07,15,7.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,47,48,rzz,"(4, 7)",False,True,tdvp,projection-complete: projection defect 3.1391e-05 below defect tol 0.0001,0.999968608961189,3.139103881100169e-05,0.0001,0.009648514321641377,0.0982269604315414,16,7.375,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,48,49,rx,[4],True,False,,,nan,nan,0.0001,0.0096485143216416,0.09822696043154136,16,7.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,49,50,rx,[7],True,False,,,nan,nan,0.0001,0.009648514321640933,0.09822696043154144,16,7.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,50,51,rzz,"(8, 6)",False,True,pauli_enriched,projection-incomplete: projection defect 0.286495 above defect tol 0.0001,0.7135049466749961,0.2864950533250039,0.0001,0.009648514321597412,0.09822696043154357,16,7.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,51,52,rzz,"(3, 6)",False,True,pauli_enriched,projection-incomplete: projection defect 0.000264419 above defect tol 0.0001,0.9997355807339993,0.0002644192660007372,0.0001,0.009648514321598078,0.09822696043154334,16,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,52,53,rx,[3],True,False,,,nan,nan,0.0001,0.0096485143215983,0.0982269604315433,16,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,53,54,rzz,"(5, 8)",False,True,tdvp,projection-complete: projection defect 0 below defect tol 0.0001,1.0000000000000002,0.0,0.0001,0.009648514321598078,0.09822696043154369,16,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,54,55,rx,[5],True,False,,,nan,nan,0.0001,0.0096485143215983,0.09822696043154362,16,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,55,56,rx,[6],True,False,,,nan,nan,0.0001,0.009648514321597856,0.09822696043154365,16,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,56,57,rx,[8],True,False,,,nan,nan,0.0001,0.009648514321597856,0.09822696043154364,16,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix_divergence,ising2d_3x3_h1_dt0.1_L4_plus,current_enriched_tdvp,,,,,,,,,,,,,dag_topo,57,58,rzz,"(0, 1)",True,False,,,nan,nan,0.0001,0.009648514321596524,0.09822696043154366,16,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
