stage,family,model,n_qubits,alpha,max_range,initial_state,dt,theta_max,theta_mean,theta_min_nonzero,layers,method,circuit_name,circuit_key,svd_threshold,max_bond_dim_setting,reference_method,fidelity_error,observable_error_max,observable_error_mean,energy_error,energy_density_error,magnetization_x_error,magnetization_z_error,long_range_corr_error_max,practical_pass_1e3,practical_pass_1e2,max_bond_observed,mean_bond_observed,sum_chi_cubed,wall_time_s,num_swaps_inserted,num_lr_pauli_gates,num_nn_2q_gates,tdvp_lr_pauli_count,enriched_lr_pauli_count,tdvp_lr_pauli_fraction,status
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,8,qiskit_statevector,8.892803170734709e-06,0.0019496813909351905,0.0005176412674095567,0.0019496813909351905,4.332625313189312e-05,7.911826226503216e-06,4.7458560632063365e-06,0.0005825410106909904,False,True,8,6.090909090909091,3559.0,7.316038099990692,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,8,qiskit_statevector,0.2914819799066505,0.38277402114268644,0.13670129007009932,0.38277402114268644,0.008506089358726366,0.2417422146070618,0.005031326598543432,0.04545279864347862,False,False,8,5.909090909090909,3263.0,2.2296604000148363,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,12,qiskit_statevector,3.804416185637649e-06,0.0018873017317734024,0.0005010976309890693,0.0018873017317734024,4.1940038483853374e-05,2.2429515816879686e-06,2.742522648937569e-06,0.0005712609104574655,False,True,12,7.818181818181818,9242.0,5.743210999993607,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,12,qiskit_statevector,0.2860550850172483,0.2518847457664556,0.07185198615932388,0.08520238027602417,0.0018933862283560927,0.2518847457664556,0.003781212654843547,0.01649820587093998,False,False,12,8.0,9808.0,2.313240700023016,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,16,qiskit_statevector,3.021431648098094e-06,0.0018980697171026148,0.0005017588117153391,0.0018980697171026148,4.2179327046724775e-05,3.986667995725668e-09,5.917992290171235e-08,0.0005684818478364587,False,True,16,9.090909090909092,17362.0,5.781840099982219,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,16,qiskit_statevector,0.13236561938175373,0.14502079656563419,0.05474389645536154,0.14502079656563419,0.0032226843681252043,0.11118003087762629,0.004192109613750119,0.010103860851671897,False,False,16,9.363636363636363,18397.0,2.9212916000105906,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,24,qiskit_statevector,2.644230593040753e-06,0.0019390219264371908,0.0005103689628388645,0.0019390219264371908,4.308937614304867e-05,4.62817227875334e-08,2.656879541311113e-06,0.0005670303503499845,False,True,24,11.0,40933.0,6.264845800003968,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,24,qiskit_statevector,0.3507642088843873,0.3113761217075912,0.07863413691450476,0.042459697204655755,0.0009435488267701278,0.3113761217075912,0.006261697146679876,0.032129619686826816,False,False,24,12.0,50832.0,3.0075834000017494,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,32,qiskit_statevector,2.631977316203127e-06,0.0019402627188813111,0.0005106091950191233,0.0019402627188813111,4.3116949308473585e-05,4.37703264744016e-08,2.608968727965896e-06,0.0005670135678513917,False,True,28,11.727272727272727,57189.0,6.704839000012726,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,32,qiskit_statevector,0.011191161493232626,0.03937505875953611,0.011850399779944527,0.03937505875953611,0.0008750013057674691,0.00940146274608944,0.002836485942545329,0.006763990145784283,False,False,32,13.909090909090908,98919.0,3.4657487999938894,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,48,qiskit_statevector,2.631977316203127e-06,0.0019402627188813111,0.0005106091950191233,0.0019402627188813111,4.3116949308473585e-05,4.37703264744016e-08,2.608968727965896e-06,0.0005670135678513917,False,True,28,11.727272727272727,57189.0,6.110140900011174,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,48,qiskit_statevector,0.010517891940278745,0.01613479580601733,0.006061625474918096,0.01613479580601733,0.00035855101791149626,0.008882063476409519,0.0014979626464278453,0.0034347544278242924,False,False,48,15.545454545454545,182511.0,3.9346145000017714,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,64,qiskit_statevector,2.631977316203127e-06,0.0019402627188813111,0.0005106091950191233,0.0019402627188813111,4.3116949308473585e-05,4.37703264744016e-08,2.608968727965896e-06,0.0005670135678513917,False,True,28,11.727272727272727,57189.0,5.729864700027974,1600,340,0,340,0,1.0,ok
