case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,tdvp_padding_dim,tdvp_mean_obs_error,tebd_mean_obs_error,tdvp_error_over_tebd_error,tebd_error_over_tdvp_error,tdvp_peak_chi,tebd_peak_chi,tdvp_peak_chi_over_tebd_peak_chi,tdvp_time_over_tebd_time,tdvp_hit_chi_max,tebd_hit_chi_max,outcome
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,16,1,,1.1493941900391023e-08,1.1493941900391023e-08,1.0,1.0,8,8,1.0,1.0249191679676717,False,False,similar
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,32,1,,1.1493941900391023e-08,1.1493941900391023e-08,1.0,1.0,8,8,1.0,1.0568004758611838,False,False,similar
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,64,1,,1.1493941900391023e-08,1.1493941900391023e-08,1.0,1.0,8,8,1.0,1.4921622458777763,False,False,similar
nn_brickwork_n8_d4_s0_medium,nn_brickwork,8,4,0,medium,16,1,,6.463053059005805e-16,6.463053059005805e-16,0.6463053059005804,0.6463053059005804,8,8,1.0,0.6712282975957732,False,False,similar
nn_brickwork_n8_d4_s0_medium,nn_brickwork,8,4,0,medium,32,1,,6.463053059005805e-16,6.463053059005805e-16,0.6463053059005804,0.6463053059005804,8,8,1.0,0.821429222518433,False,False,similar
nn_brickwork_n8_d4_s0_medium,nn_brickwork,8,4,0,medium,64,1,,6.463053059005805e-16,6.463053059005805e-16,0.6463053059005804,0.6463053059005804,8,8,1.0,1.3488288438030724,False,False,similar
nn_brickwork_n8_d4_s1_small,nn_brickwork,8,4,1,small,16,1,,4.669992217838697e-09,4.669992217838697e-09,1.0,1.0,8,8,1.0,0.9133301823465507,False,False,similar
nn_brickwork_n8_d4_s1_small,nn_brickwork,8,4,1,small,32,1,,4.669992217838697e-09,4.669992217838697e-09,1.0,1.0,8,8,1.0,2.1726204885830938,False,False,similar
nn_brickwork_n8_d4_s1_small,nn_brickwork,8,4,1,small,64,1,,4.669992217838697e-09,4.669992217838697e-09,1.0,1.0,8,8,1.0,1.6966548239214378,False,False,similar
nn_brickwork_n8_d4_s1_medium,nn_brickwork,8,4,1,medium,16,1,,7.028263140124962e-16,7.028263140124962e-16,0.7028263140124962,0.7028263140124962,8,8,1.0,0.6508707193800394,False,False,similar
nn_brickwork_n8_d4_s1_medium,nn_brickwork,8,4,1,medium,32,1,,7.028263140124962e-16,7.028263140124962e-16,0.7028263140124962,0.7028263140124962,8,8,1.0,1.520576194753346,False,False,similar
nn_brickwork_n8_d4_s1_medium,nn_brickwork,8,4,1,medium,64,1,,7.028263140124962e-16,7.028263140124962e-16,0.7028263140124962,0.7028263140124962,8,8,1.0,1.1159831780214478,False,False,similar
nn_brickwork_n8_d4_s2_small,nn_brickwork,8,4,2,small,16,1,,9.76720313200644e-09,9.76720313200644e-09,1.0,1.0,6,6,1.0,0.5328866954404969,False,False,similar
nn_brickwork_n8_d4_s2_small,nn_brickwork,8,4,2,small,32,1,,9.76720313200644e-09,9.76720313200644e-09,1.0,1.0,6,6,1.0,0.8429290724984149,False,False,similar
nn_brickwork_n8_d4_s2_small,nn_brickwork,8,4,2,small,64,1,,9.76720313200644e-09,9.76720313200644e-09,1.0,1.0,6,6,1.0,0.7533157248634621,False,False,similar
nn_brickwork_n8_d4_s2_medium,nn_brickwork,8,4,2,medium,16,1,,1.3814857616002906e-15,1.3814857616002906e-15,1.0,1.0,8,8,1.0,1.6817493040909164,False,False,similar
nn_brickwork_n8_d4_s2_medium,nn_brickwork,8,4,2,medium,32,1,,1.3814857616002906e-15,1.3814857616002906e-15,1.0,1.0,8,8,1.0,1.0218758031164745,False,False,similar
nn_brickwork_n8_d4_s2_medium,nn_brickwork,8,4,2,medium,64,1,,1.3814857616002906e-15,1.3814857616002906e-15,1.0,1.0,8,8,1.0,1.218217944615414,False,False,similar
nn_brickwork_n8_d8_s0_small,nn_brickwork,8,8,0,small,16,1,,4.937768299658312e-08,4.937768299658312e-08,1.0,1.0,14,14,1.0,0.9045296628574369,False,False,similar
