case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tebd_error,unpadded_tdvp_error,padded4_tdvp_error,tebd_fidelity,unpadded_tdvp_fidelity,padded4_tdvp_fidelity,tebd_peak_chi,unpadded_tdvp_peak_chi,padded4_tdvp_peak_chi,tebd_wall_time,unpadded_tdvp_wall_time,padded4_tdvp_wall_time,tebd_hit_chi_max,unpadded_tdvp_hit_chi_max,padded4_tdvp_hit_chi_max,padded4_error_over_tebd_error,padded4_peak_chi_over_tebd_peak_chi,padded4_time_over_tebd_time,unpadded_error_over_padded4_error,outcome
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,16,1.1493941900391023e-08,1.1493941900391023e-08,1.1493941900391023e-08,0.9999999999458837,0.9999999999458837,0.9999999999458837,8,8,8,0.04277430003276095,0.0438401999999769,0.03476549999322742,False,False,False,1.0,1.0,0.8127660760456731,1.0,similar
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,32,1.1493941900391023e-08,1.1493941900391023e-08,1.1493941900391023e-08,0.9999999999458837,0.9999999999458837,0.9999999999458837,8,8,8,0.0446034999913536,0.04713700001593679,0.04301249998388812,False,False,False,1.0,1.0,0.9643301532890043,1.0,similar
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,64,1.1493941900391023e-08,1.1493941900391023e-08,1.1493941900391023e-08,0.9999999999458837,0.9999999999458837,0.9999999999458837,8,8,8,0.03770849999273196,0.05626720003783703,0.03525349998380989,False,False,False,1.0,1.0,0.9348953151306667,1.0,similar
nn_brickwork_n8_d4_s0_medium,nn_brickwork,8,4,0,medium,16,6.463053059005805e-16,6.463053059005805e-16,6.463053059005805e-16,1.0,1.0,1.0,8,8,8,0.047263799991924316,0.031724800006486475,0.03591710003092885,False,False,False,0.6463053059005804,1.0,0.7599283180164479,0.6463053059005804,similar
nn_brickwork_n8_d4_s0_medium,nn_brickwork,8,4,0,medium,32,6.463053059005805e-16,6.463053059005805e-16,6.463053059005805e-16,1.0,1.0,1.0,8,8,8,0.04939050000393763,0.04057080001803115,0.046207499981392175,False,False,False,0.6463053059005804,1.0,0.935554407785066,0.6463053059005804,similar
nn_brickwork_n8_d4_s0_medium,nn_brickwork,8,4,0,medium,64,6.463053059005805e-16,6.463053059005805e-16,6.463053059005805e-16,1.0,1.0,1.0,8,8,8,0.037531299982219934,0.05062329996144399,0.05805939994752407,False,False,False,0.6463053059005804,1.0,1.546959470496069,0.6463053059005804,similar
nn_brickwork_n8_d4_s1_small,nn_brickwork,8,4,1,small,16,4.669992217838697e-09,4.669992217838697e-09,4.669992217838697e-09,0.9999999999944054,0.9999999999944054,0.9999999999944054,8,8,8,0.042552300030365586,0.03886429994599894,0.023804500000551343,False,False,False,1.0,1.0,0.5594174694097452,1.0,similar
nn_brickwork_n8_d4_s1_small,nn_brickwork,8,4,1,small,32,4.669992217838697e-09,4.669992217838697e-09,4.669992217838697e-09,0.9999999999944054,0.9999999999944054,0.9999999999944054,8,8,8,0.02647599996998906,0.05752229999052361,0.08307260001311079,False,False,False,1.0,1.0,3.1376567497837593,1.0,similar
nn_brickwork_n8_d4_s1_small,nn_brickwork,8,4,1,small,64,4.669992217838697e-09,4.669992217838697e-09,4.669992217838697e-09,0.9999999999944054,0.9999999999944054,0.9999999999944054,8,8,8,0.030007400026079267,0.05091220000758767,0.033464199979789555,False,False,False,1.0,1.0,1.1151982494553345,1.0,similar
nn_brickwork_n8_d4_s1_medium,nn_brickwork,8,4,1,medium,16,7.028263140124962e-16,7.028263140124962e-16,7.028263140124962e-16,1.0,1.0,1.0,8,8,8,0.05037790001370013,0.0327895000227727,0.028382599994074553,False,False,False,0.7028263140124962,1.0,0.5633938688662288,0.7028263140124962,similar
