case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,method,padding_dim,fidelity_to_reference,infidelity_to_reference,mean_abs_observable_error,max_abs_observable_error,rms_observable_error,wall_time_s,peak_bond_dim,mean_bond_dim,hit_chi_max,error_ratio_vs_unpadded,infidelity_ratio_vs_unpadded,fidelity_gain_vs_unpadded,time_ratio_vs_unpadded,peak_chi_ratio_vs_unpadded,classification
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,16,1,hybrid_tdvp_padded4,4,0.9999999999458837,5.411626702311878e-11,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,0.03476549999322742,8.0,4.571428571428571,False,1.0,1.0,0.0,0.7930050500053772,1.0,padding_neutral
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,16,1,hybrid_tdvp_unpadded,none,0.9999999999458837,5.411626702311878e-11,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,0.0438401999999769,8.0,4.571428571428571,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,32,1,hybrid_tdvp_padded4,4,0.9999999999458837,5.411626702311878e-11,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,0.04301249998388812,8.0,4.571428571428571,False,1.0,1.0,0.0,0.9124997341652163,1.0,padding_neutral
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,32,1,hybrid_tdvp_unpadded,none,0.9999999999458837,5.411626702311878e-11,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,0.04713700001593679,8.0,4.571428571428571,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,64,1,hybrid_tdvp_padded4,4,0.9999999999458837,5.411626702311878e-11,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,0.03525349998380989,8.0,4.571428571428571,False,1.0,1.0,0.0,0.6265373069941916,1.0,padding_neutral
nn_brickwork_n8_d4_s0_small,nn_brickwork,8,4,0,small,64,1,hybrid_tdvp_unpadded,none,0.9999999999458837,5.411626702311878e-11,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,0.05626720003783703,8.0,4.571428571428571,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s0_medium,nn_brickwork,8,4,0,medium,16,1,hybrid_tdvp_padded4,4,1.0,0.0,6.463053059005805e-16,1.8908485888147197e-15,7.329509639248872e-16,0.03591710003092885,8.0,5.142857142857143,False,1.0,1.0,0.0,1.132145829873954,1.0,padding_neutral
nn_brickwork_n8_d4_s0_medium,nn_brickwork,8,4,0,medium,16,1,hybrid_tdvp_unpadded,none,1.0,0.0,6.463053059005805e-16,1.8908485888147197e-15,7.329509639248872e-16,0.031724800006486475,8.0,5.142857142857143,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s0_medium,nn_brickwork,8,4,0,medium,32,1,hybrid_tdvp_padded4,4,1.0,0.0,6.463053059005805e-16,1.8908485888147197e-15,7.329509639248872e-16,0.046207499981392175,8.0,5.142857142857143,False,1.0,1.0,0.0,1.1389348980265577,1.0,padding_neutral
nn_brickwork_n8_d4_s0_medium,nn_brickwork,8,4,0,medium,32,1,hybrid_tdvp_unpadded,none,1.0,0.0,6.463053059005805e-16,1.8908485888147197e-15,7.329509639248872e-16,0.04057080001803115,8.0,5.142857142857143,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
