case_id,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,tebd_error,tdvp_error,tebd_fidelity,tdvp_fidelity,tebd_peak_chi,tdvp_peak_chi,tdvp_peak_chi_over_tebd_peak_chi,tebd_wall_time,tdvp_wall_time,tdvp_time_over_tebd_time,tebd_error_over_tdvp_error,tdvp_error_over_tebd_error,tebd_hit_chi_max,tdvp_hit_chi_max,tdvp_gate_count,tebd_gate_count,outcome
nn_brickwork_n8_d4_s0_small,8,4,0,small,16,1,2.3081604640876745e-08,3.5173536349109485e-08,0.999999999979309,0.9999999997846112,8,6,0.75,0.021361200022511184,0.16378920001443475,7.667602936250208,0.6562207567582586,1.5238774295101796,False,False,28,28,similar
nn_brickwork_n8_d4_s0_small,8,4,0,small,32,1,2.3081604640876745e-08,3.5173536349109485e-08,0.999999999979309,0.9999999997846112,8,6,0.75,0.030959299998357892,0.27345430001150817,8.832702936630104,0.6562207567582586,1.5238774295101796,False,False,28,28,similar
nn_brickwork_n8_d4_s0_small,8,4,0,small,64,1,2.3081604640876745e-08,3.5173536349109485e-08,0.999999999979309,0.9999999997846112,8,6,0.75,0.05329369998071343,0.26272170001175255,4.9296952567907555,0.6562207567582586,1.5238774295101796,False,False,28,28,similar
nn_brickwork_n8_d4_s0_medium,8,4,0,medium,16,1,6.006603944389407e-16,7.157387177065538e-05,1.0,0.9998739801611367,8,8,1.0,0.06670259998645633,0.1321369000361301,1.9809857496253505,8.392174121355916e-12,71573871770.65538,False,False,28,28,tebd_wins
nn_brickwork_n8_d4_s0_medium,8,4,0,medium,32,1,6.006603944389407e-16,7.157387177065538e-05,1.0,0.9998739801611367,8,8,1.0,0.01362480001989752,0.20414510002592579,14.983346524557744,8.392174121355916e-12,71573871770.65538,False,False,28,28,tebd_wins
nn_brickwork_n8_d4_s0_medium,8,4,0,medium,64,1,6.006603944389407e-16,7.157387177065538e-05,1.0,0.9998739801611367,8,8,1.0,0.043293300026562065,0.12022360000992194,2.7769562481067567,8.392174121355916e-12,71573871770.65538,False,False,28,28,tebd_wins
nn_brickwork_n8_d4_s1_small,8,4,1,small,16,1,3.041130891351087e-08,1.866762825381404e-08,0.9999999999369766,0.9999999991423558,8,6,0.75,0.031416799989528954,0.15066069999011233,4.795545696580388,1.6290933427655676,0.6138383687102843,False,False,28,28,similar
nn_brickwork_n8_d4_s1_small,8,4,1,small,32,1,3.041130891351087e-08,1.866762825381404e-08,0.9999999999369766,0.9999999991423558,8,6,0.75,0.10152379999635741,0.2131342000211589,2.099352073393687,1.6290933427655676,0.6138383687102843,False,False,28,28,similar
nn_brickwork_n8_d4_s1_small,8,4,1,small,64,1,3.041130891351087e-08,1.866762825381404e-08,0.9999999999369766,0.9999999991423558,8,6,0.75,0.03420619998360053,0.10930479998933151,3.1954674895701802,1.6290933427655676,0.6138383687102843,False,False,28,28,similar
nn_brickwork_n8_d4_s1_medium,8,4,1,medium,16,1,8.871391344747855e-16,0.00011710873082591569,1.0,0.999771545063473,8,8,1.0,0.05057769996346906,0.24367430002894253,4.817820901404019,7.575345819378184e-12,117108730825.91568,False,False,28,28,tebd_wins
