family,model,geometry,n_qubits,lx,ly,initial_state,dt,theta_max,theta_mean,layers,method,circuit_name,svd_threshold,max_bond_dim_setting,reference_method,fidelity_error,observable_error_max,observable_error_mean,energy_error,magnetization_error,strict_pass,practical_pass,observable_ordering_suspect,max_bond_observed,mean_bond_observed,sum_chi_cubed,wall_time_s,num_1q_gates,num_nn_2q_gates,num_lr_pauli_gates,num_swaps_inserted,tdvp_lr_pauli_count,enriched_lr_pauli_count,tdvp_lr_pauli_fraction,worst_observable,status
ising_2d,ising,2d_row_major,9,3,3,all_zero,0.0025,0.005,0.005,10,local_generator_tdvp,ising2d_3x3_h0.5_dt0.0025_L10_all_zero,1e-09,16,qiskit_statevector,7.100725130104735e-08,3.4169760202363425e-05,8.56843588271667e-06,5.3030093649653054e-08,3.4169760202363425e-05,False,True,False,4,2.625,177.0,0.6821850999840535,90,60,60,240,60,0,1.0,magnetization_x,ok
ising_2d,ising,2d_row_major,9,3,3,all_zero,0.0025,0.005,0.005,10,tebd_swaps,ising2d_3x3_h0.5_dt0.0025_L10_all_zero,1e-09,16,qiskit_statevector,9.376760479185009e-09,3.806913257735334e-05,9.645357512782311e-06,3.909844070726365e-07,3.806913257735334e-05,False,True,False,5,3.5,448.0,0.35654099998646416,90,60,60,240,0,0,0.0,magnetization_x,ok
ising_2d,ising,2d_row_major,9,3,3,all_zero,0.0025,0.005,0.005,10,local_generator_tdvp,ising2d_3x3_h0.5_dt0.0025_L10_all_zero,1e-09,32,qiskit_statevector,7.100725130104735e-08,3.4169760202363425e-05,8.56843588271667e-06,5.3030093649653054e-08,3.4169760202363425e-05,False,True,False,4,2.625,177.0,0.5773644000000786,90,60,60,240,60,0,1.0,magnetization_x,ok
ising_2d,ising,2d_row_major,9,3,3,all_zero,0.0025,0.005,0.005,10,tebd_swaps,ising2d_3x3_h0.5_dt0.0025_L10_all_zero,1e-09,32,qiskit_statevector,9.376760479185009e-09,3.806913257735334e-05,9.645357512782311e-06,3.909844070726365e-07,3.806913257735334e-05,False,True,False,5,3.5,448.0,0.3646807000041008,90,60,60,240,0,0,0.0,magnetization_x,ok
ising_2d,ising,2d_row_major,9,3,3,all_zero,0.0025,0.005,0.005,10,local_generator_tdvp,ising2d_3x3_h0.5_dt0.0025_L10_all_zero,1e-09,64,qiskit_statevector,7.100725130104735e-08,3.4169760202363425e-05,8.56843588271667e-06,5.3030093649653054e-08,3.4169760202363425e-05,False,True,False,4,2.625,177.0,0.7729332000017166,90,60,60,240,60,0,1.0,magnetization_x,ok
ising_2d,ising,2d_row_major,9,3,3,all_zero,0.0025,0.005,0.005,10,tebd_swaps,ising2d_3x3_h0.5_dt0.0025_L10_all_zero,1e-09,64,qiskit_statevector,9.376760479185009e-09,3.806913257735334e-05,9.645357512782311e-06,3.909844070726365e-07,3.806913257735334e-05,False,True,False,5,3.5,448.0,0.3578653000004124,90,60,60,240,0,0,0.0,magnetization_x,ok
ising_2d,ising,2d_row_major,9,3,3,all_zero,0.0025,0.005,0.005,10,local_generator_tdvp,ising2d_3x3_h0.5_dt0.0025_L10_all_zero,1e-09,128,qiskit_statevector,7.100725130104735e-08,3.4169760202363425e-05,8.56843588271667e-06,5.3030093649653054e-08,3.4169760202363425e-05,False,True,False,4,2.625,177.0,0.8891541000048164,90,60,60,240,60,0,1.0,magnetization_x,ok
ising_2d,ising,2d_row_major,9,3,3,all_zero,0.0025,0.005,0.005,10,tebd_swaps,ising2d_3x3_h0.5_dt0.0025_L10_all_zero,1e-09,128,qiskit_statevector,9.376760479185009e-09,3.806913257735334e-05,9.645357512782311e-06,3.909844070726365e-07,3.806913257735334e-05,False,True,False,5,3.5,448.0,0.6643128999858163,90,60,60,240,0,0,0.0,magnetization_x,ok
power_law_ising,ising,1d_chain,12,,,all_zero,0.0025,0.005,0.0016977777777777779,10,local_generator_tdvp,plising_n12_a2_R5_h0.5_dt0.0025_L10_all_zero,1e-09,16,qiskit_statevector,3.007225246598466e-08,4.349911984942228e-05,1.1209929023803396e-05,1.009489359660165e-06,4.349911984942228e-05,False,True,False,3,2.5454545454545454,202.0,5.160864799981937,120,110,340,1600,340,0,1.0,magnetization_x,ok
power_law_ising,ising,1d_chain,12,,,all_zero,0.0025,0.005,0.0016977777777777779,10,tebd_swaps,plising_n12_a2_R5_h0.5_dt0.0025_L10_all_zero,1e-09,16,qiskit_statevector,4.078002868723729e-08,7.149209703507945e-05,1.823984017202513e-05,1.2967101543637227e-06,7.149209703507945e-05,False,True,False,3,2.090909090909091,107.0,1.5842292999732308,120,110,340,1600,0,0,0.0,magnetization_x,ok
power_law_ising,ising,1d_chain,12,,,all_zero,0.0025,0.005,0.0016977777777777779,10,local_generator_tdvp,plising_n12_a2_R5_h0.5_dt0.0025_L10_all_zero,1e-09,32,qiskit_statevector,3.007225246598466e-08,4.349911984942228e-05,1.1209929023803396e-05,1.009489359660165e-06,4.349911984942228e-05,False,True,False,3,2.5454545454545454,202.0,3.3429885000223294,120,110,340,1600,340,0,1.0,magnetization_x,ok
power_law_ising,ising,1d_chain,12,,,all_zero,0.0025,0.005,0.0016977777777777779,10,tebd_swaps,plising_n12_a2_R5_h0.5_dt0.0025_L10_all_zero,1e-09,32,qiskit_statevector,4.078002868723729e-08,7.149209703507945e-05,1.823984017202513e-05,1.2967101543637227e-06,7.149209703507945e-05,False,True,False,3,2.090909090909091,107.0,1.431875400012359,120,110,340,1600,0,0,0.0,magnetization_x,ok
