circuit_name,method,n_qubits,depth,fidelity_error,pauli_obs_max_error,pauli_obs_mean_error,pauli_obs_l2_error,worst_observable,max_bond_before,max_bond_after_expansion,max_bond_final,mean_bond_final,sum_chi_cubed,wall_time_s,projected_ratio_before_expansion,projection_defect_before_expansion,projected_ratio_after_expansion,projection_defect_after_expansion,state_delta_from_expansion,route_summary
tangent_blind_rxx_8q,plain_tdvp,8,1,0.015543789144677689,0.031087578289355267,0.0018840956539003494,0.0439644748381416,Z(1),2,,2,2.0,56.0,0.004328600014559925,,,,,,
tangent_blind_rxx_8q,current_projection_defect_router,8,1,4.440892098500626e-16,2.220446049250313e-16,7.401486830834377e-17,7.364386412590295e-16,Z(0),2,,2,2.0,56.0,0.003749199997400865,,,,,,
tangent_blind_rxx_8q,exact_pauli_enrichment,8,1,4.440892098500626e-16,2.220446049250313e-16,7.401486830834377e-17,7.364386412590295e-16,Z(0),2,,2,2.0,56.0,0.00213939999230206,,,,,,
tangent_blind_rxx_8q,subspace_expanded_tdvp,8,1,4.440892098500626e-16,2.220446049250313e-16,7.401486830834377e-17,7.364386412590295e-16,Z(0),2,2,2,2.0,56.0,0.009968399972422048,0.0,1.0,1.0,0.0,0.0,
tangent_blind_ryy_8q,plain_tdvp,8,1,0.015543789144677689,0.031087578289355267,0.0018840956539003494,0.0439644748381416,Z(1),2,,2,2.0,56.0,0.004406399995787069,,,,,,
tangent_blind_ryy_8q,current_projection_defect_router,8,1,4.440892098500626e-16,2.220446049250313e-16,7.401486830834377e-17,7.364386412590295e-16,Z(0),2,,2,2.0,56.0,0.003125299990642816,,,,,,
tangent_blind_ryy_8q,exact_pauli_enrichment,8,1,4.440892098500626e-16,2.220446049250313e-16,7.401486830834377e-17,7.364386412590295e-16,Z(0),2,,2,2.0,56.0,0.002135699993232265,,,,,,
tangent_blind_ryy_8q,subspace_expanded_tdvp,8,1,4.440892098500626e-16,2.220446049250313e-16,7.401486830834377e-17,7.364386412590295e-16,Z(0),2,2,2,2.0,56.0,0.010189699998591095,0.0,1.0,1.0,0.0,0.0,
sanity_rzz_8q,plain_tdvp,8,1,0.0,3.3306690738754696e-16,1.1102230246251565e-16,1.1046579618885443e-15,Z(0),2,,2,2.0,56.0,0.0032170000195037574,,,,,,
sanity_rzz_8q,current_projection_defect_router,8,1,0.0,3.3306690738754696e-16,1.1102230246251565e-16,1.1046579618885443e-15,Z(0),2,,2,2.0,56.0,0.005494299985002726,,,,,,
sanity_rzz_8q,exact_pauli_enrichment,8,1,4.440892098500626e-16,2.220446049250313e-16,7.401486830834377e-17,7.364386412590295e-16,Z(0),2,,2,2.0,56.0,0.0020551999914459884,,,,,,
sanity_rzz_8q,subspace_expanded_tdvp,8,1,2.220446049250313e-16,2.220446049250313e-16,7.401486830834377e-17,7.364386412590295e-16,Z(0),2,2,2,2.0,56.0,0.009260299993911758,1.0,0.0,1.4142135623730951,0.0,0.0,
endpoint_prepared_ryy_8q,plain_tdvp,8,2,2.220446049250313e-15,2.3314683517128287e-15,7.677658531056026e-16,7.420923169620131e-15,Z(1),2,,2,2.0,56.0,0.0041102999821305275,,,,,,
endpoint_prepared_ryy_8q,current_projection_defect_router,8,2,2.220446049250313e-15,2.3314683517128287e-15,7.677658531056026e-16,7.420923169620131e-15,Z(1),2,,2,2.0,56.0,0.004288399999495596,,,,,,
endpoint_prepared_ryy_8q,exact_pauli_enrichment,8,2,4.440892098500626e-16,3.3306690738754696e-16,1.1678440106642104e-16,1.1173899543058695e-15,Z(0),2,,2,2.0,56.0,0.002644000021973625,,,,,,
endpoint_prepared_ryy_8q,subspace_expanded_tdvp,8,2,2.220446049250313e-16,8.228342004028851e-16,1.2764988577028583e-16,1.342314228981098e-15,Y(1),2,2,2,2.0,56.0,0.010680599982151762,1.0000000000000002,0.0,1.4142135623730954,0.0,0.0,
endpoint_prepared_rxx_8q,plain_tdvp,8,2,2.4424906541753444e-15,2.3314683517128287e-15,7.677658531056026e-16,7.420923169620131e-15,Z(1),2,,2,2.0,56.0,0.004420799989020452,,,,,,
endpoint_prepared_rxx_8q,current_projection_defect_router,8,2,2.4424906541753444e-15,2.3314683517128287e-15,7.677658531056026e-16,7.420923169620131e-15,Z(1),2,,2,2.0,56.0,0.004246799973770976,,,,,,
endpoint_prepared_rxx_8q,exact_pauli_enrichment,8,2,4.440892098500626e-16,3.3306690738754696e-16,1.1678440106642104e-16,1.1173899543058695e-15,Z(0),2,,2,2.0,56.0,0.0029691999952774495,,,,,,
endpoint_prepared_rxx_8q,subspace_expanded_tdvp,8,2,2.220446049250313e-16,4.804769148319741e-16,1.1048961663303078e-16,1.0647700511787512e-15,X(1),2,2,2,2.0,56.0,0.01122009998653084,1.0000000000000002,0.0,1.4142135623730954,0.0,0.0,
stack_rxx_ryy_vacuum_10q,plain_tdvp,10,2,0.015543789144678799,0.031087578289354267,0.002391352176104402,0.053845265081436756,Z(3),2,,2,1.8888888888888888,65.0,0.009081900003366172,,,,,,
stack_rxx_ryy_vacuum_10q,current_projection_defect_router,10,2,2.220446049250313e-16,2.220446049250313e-16,1.9927079929169476e-17,3.6821932062951477e-16,Z(2),2,,4,3.111111111111111,352.0,0.0077951999846845865,,,,,,
stack_rxx_ryy_vacuum_10q,exact_pauli_enrichment,10,2,2.220446049250313e-16,2.220446049250313e-16,1.9927079929169476e-17,3.6821932062951477e-16,Z(2),2,,4,3.111111111111111,352.0,0.005192899989197031,,,,,,
stack_rxx_ryy_vacuum_10q,subspace_expanded_tdvp,10,2,2.220446049250313e-16,2.220446049250313e-16,3.1100521411842526e-17,4.995814794659628e-16,Z(2),2,2,4,3.111111111111111,352.0,0.020522000006167218,0.0,1.0,1.0,0.0,0.0,
lr_stack_mixed_12q,plain_tdvp,12,8,0.026357590367992456,0.031087578289352047,0.002358073936232041,0.05383452854356777,Z(3),2,,2,2.0,88.0,0.024770000018179417,,,,,,
lr_stack_mixed_12q,current_projection_defect_router,12,8,2.220446049250313e-16,3.3306690738754696e-16,7.466690235346558e-17,7.898643061507356e-16,Z(1),2,,4,2.909090909090909,368.0,0.03059380000922829,,,,,,
lr_stack_mixed_12q,exact_pauli_enrichment,12,8,4.440892098500626e-16,8.881784197001252e-16,1.3780431199491344e-16,1.6896883455759088e-15,"ZZ(6,7)",2,,4,2.909090909090909,368.0,0.016331100021488965,,,,,,
lr_stack_mixed_12q,subspace_expanded_tdvp,12,8,0.026357590367989125,0.031087578289355378,0.002358073936231785,0.05383452854357433,Z(3),2,2,2,2.0,88.0,0.04956859999219887,0.9999999999999997,3.3306690738754696e-16,0.9999999999999997,3.3306690738754696e-16,0.0,
rand_n8_d4_s0,plain_tdvp,8,4,0.08890917862206749,0.20774203177647277,0.02795192555037208,0.36835228808809534,Z(3),2,,4,2.2857142857142856,112.0,0.017384000006131828,,,,,,
rand_n8_d4_s0,current_projection_defect_router,8,4,0.0,1.27675647831893e-15,2.381302226113617e-16,2.132187923753598e-15,Y(7),2,,4,2.857142857142857,224.0,0.014703900000313297,,,,,,
rand_n8_d4_s0,exact_pauli_enrichment,8,4,0.0,1.27675647831893e-15,2.381302226113617e-16,2.132187923753598e-15,Y(7),2,,4,2.857142857142857,224.0,0.011033199989469722,,,,,,
rand_n8_d4_s0,subspace_expanded_tdvp,8,4,0.0,5.738465258531278e-14,5.903244275982302e-15,6.970106610090501e-14,Y(3),2,2,4,2.857142857142857,224.0,0.03444560000207275,0.4214760792248757,0.5785239207751243,1.0851921882131177,0.0,0.0,
rand_n8_d4_s1,plain_tdvp,8,4,0.05000072697653779,0.07572303410381431,0.01401585866054858,0.1468826529145845,Z(2),2,,2,2.0,56.0,0.016638699977193028,,,,,,
rand_n8_d4_s1,current_projection_defect_router,8,4,4.440892098500626e-16,1.3322676295501878e-15,4.652607213636886e-16,3.691384689069679e-15,Z(6),2,,4,3.142857142857143,280.0,0.015369000000646338,,,,,,
rand_n8_d4_s1,exact_pauli_enrichment,8,4,4.440892098500626e-16,1.3322676295501878e-15,4.652607213636886e-16,3.691384689069679e-15,Z(6),2,,4,3.142857142857143,280.0,0.011627800005953759,,,,,,
rand_n8_d4_s1,subspace_expanded_tdvp,8,4,0.0017623646300436446,0.01587427166523009,0.0006763480900770431,0.016407469347139554,X(1),2,2,4,2.5714285714285716,168.0,0.031159899983322248,0.43374903638208834,0.5662509636179116,0.9999999999999994,5.551115123125783e-16,1.3322676295501878e-15,
rand_n8_d4_s2,plain_tdvp,8,4,0.10981685531910612,0.20737557768213788,0.02853011671950408,0.35269089297350814,Z(7),2,,4,2.5714285714285716,168.0,0.01524119998794049,,,,,,
