case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome,tebd_accuracy_limited,tebd_bond_limited,tebd_hit_chi_max,tdvp_hit_chi_max
sparse_long_range_n8_d4_s0_small,sparse_long_range,8,4,0,small,8,unpadded,0.004066367822060834,0.00013374780797859235,0.032891222297447995,0.03637725770386754,2.5985760940562863,1.0,tdvp_win,True,True,True,True
sparse_long_range_n8_d4_s0_small,sparse_long_range,8,4,0,small,8,padded4,0.004066367822060834,0.00015434069378074386,0.03795541882448894,0.06846918345777428,1.8211856820691934,1.0,tdvp_win,True,True,True,True
sparse_long_range_n10_d2_s0_small,sparse_long_range,10,2,0,small,8,unpadded,6.0134330104686516e-05,2.1249373904791947e-05,0.35336510555284123,0.5934632570479667,1.6616293693803532,1.0,tdvp_win,True,True,True,True
sparse_long_range_n10_d2_s0_small,sparse_long_range,10,2,0,small,8,padded4,6.0134330104686516e-05,6.836185161266223e-08,0.001136819043193008,0.0012921114153696645,1.6261043495153347,1.0,tdvp_win,True,True,True,True
sparse_long_range_n10_d2_s1_small,sparse_long_range,10,2,1,small,8,unpadded,3.494984555527341e-05,4.7068559554881593e-05,1.346745852723222,798.7767956021352,1.6031738249569423,0.625,similar,True,True,True,False
sparse_long_range_n10_d2_s1_small,sparse_long_range,10,2,1,small,8,padded4,3.494984555527341e-05,4.7170714147253185e-05,1.349668743818979,802.4812056283265,1.7950055099594544,0.75,similar,True,True,True,False
sparse_long_range_n10_d4_s0_small,sparse_long_range,10,4,0,small,8,unpadded,0.006106820629112293,0.00014989954216422405,0.02454624939360859,0.01911512826469659,1.8264152615112783,1.0,tdvp_win,True,True,True,True
sparse_long_range_n10_d4_s0_small,sparse_long_range,10,4,0,small,8,padded4,0.006106820629112293,0.00044660444658309713,0.07313207210541846,0.04210022322797952,1.6276778298736834,1.0,tdvp_win,True,True,True,True
sparse_long_range_n10_d4_s0_small,sparse_long_range,10,4,0,small,16,unpadded,0.0006757854180345558,6.636131852526874e-05,0.09819880209648946,0.39238732545701516,1.6659356407128034,1.0,tdvp_win,True,True,True,True
sparse_long_range_n10_d4_s0_small,sparse_long_range,10,4,0,small,16,padded4,0.0006757854180345558,0.00044660444658309713,0.6608672437502349,1.0754650843938198,1.4997453980398536,0.5,similar,True,True,True,False
