case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome
periodic_1d_n8_d2_s0_small,periodic_1d,8,2,0,small,8,unpadded,2.1495947279952574e-15,0.0026953365551056034,1253881264222.9136,33712854756009.49,1.15452144287031,0.5,tebd_win
periodic_1d_n8_d2_s0_small,periodic_1d,8,2,0,small,8,padded4,2.1495947279952574e-15,5.286870052505254e-13,245.94729339682854,0.0,1.4455218595175412,1.0,both_good
periodic_1d_n8_d2_s0_small,periodic_1d,8,2,0,small,16,unpadded,2.1495947279952574e-15,0.0026953365551056034,1253881264222.9136,33712854756009.49,1.030693428987107,0.5,tebd_win
periodic_1d_n8_d2_s0_small,periodic_1d,8,2,0,small,16,padded4,2.1495947279952574e-15,5.286870052505254e-13,245.94729339682854,0.0,1.2798120104087827,1.0,both_good
periodic_1d_n8_d2_s0_small,periodic_1d,8,2,0,small,32,unpadded,2.1495947279952574e-15,0.0026953365551056034,1253881264222.9136,33712854756009.49,1.160495346596045,0.5,tebd_win
periodic_1d_n8_d2_s0_small,periodic_1d,8,2,0,small,32,padded4,2.1495947279952574e-15,5.286870052505254e-13,245.94729339682854,0.0,1.4406364315025957,1.0,both_good
periodic_1d_n8_d2_s1_small,periodic_1d,8,2,1,small,8,unpadded,1.4814473948998331e-15,0.0008333457221609632,562521305197.8192,10339321969837.555,1.1630996809250929,0.5,tebd_win
periodic_1d_n8_d2_s1_small,periodic_1d,8,2,1,small,8,padded4,1.4814473948998331e-15,2.9382846912011173e-15,1.9833878012251573,0.0,1.4495970948730246,1.0,both_good
periodic_1d_n8_d2_s1_small,periodic_1d,8,2,1,small,16,unpadded,1.4814473948998331e-15,0.0008333457221609632,562521305197.8192,10339321969837.555,1.1512145029803056,0.5,tebd_win
periodic_1d_n8_d2_s1_small,periodic_1d,8,2,1,small,16,padded4,1.4814473948998331e-15,2.9382846912011173e-15,1.9833878012251573,0.0,1.4319676305460751,1.0,both_good
periodic_1d_n8_d2_s1_small,periodic_1d,8,2,1,small,32,unpadded,1.4814473948998331e-15,0.0008333457221609632,562521305197.8192,10339321969837.555,1.157335269280011,0.5,tebd_win
periodic_1d_n8_d2_s1_small,periodic_1d,8,2,1,small,32,padded4,1.4814473948998331e-15,2.9382846912011173e-15,1.9833878012251573,0.0,1.4363280168474364,1.0,both_good
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,8,unpadded,2.581427290428746e-15,0.003574919747151602,1384861685009.0898,46314437895492.72,1.2945071443944183,0.5,tebd_win
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,8,padded4,2.581427290428746e-15,3.430703395186376e-12,1328.9947804869512,0.0,1.4568957340126631,1.0,both_good
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,16,unpadded,2.581427290428746e-15,0.003574919747151602,1384861685009.0898,46314437895492.72,1.161841902051862,0.5,tebd_win
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,16,padded4,2.581427290428746e-15,3.430703395186376e-12,1328.9947804869512,0.0,1.4350514914392176,1.0,both_good
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,32,unpadded,2.581427290428746e-15,0.003574919747151602,1384861685009.0898,46314437895492.72,1.1593596194367837,0.5,tebd_win
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,32,padded4,2.581427290428746e-15,3.430703395186376e-12,1328.9947804869512,0.0,1.4248357333714534,1.0,both_good
periodic_1d_n8_d4_s1_small,periodic_1d,8,4,1,small,8,unpadded,2.58216945263015e-15,0.00400274704909765,1550148866109.6682,56414042221904.484,1.1797564914894076,0.5,tebd_win
periodic_1d_n8_d4_s1_small,periodic_1d,8,4,1,small,8,padded4,2.58216945263015e-15,1.3469916242464585e-13,52.16511344266883,0.0,1.4441737124095069,1.0,both_good
periodic_1d_n8_d4_s1_small,periodic_1d,8,4,1,small,16,unpadded,2.58216945263015e-15,0.00400274704909765,1550148866109.6682,56414042221904.484,1.1844594612900594,0.5,tebd_win
periodic_1d_n8_d4_s1_small,periodic_1d,8,4,1,small,16,padded4,2.58216945263015e-15,1.3469916242464585e-13,52.16511344266883,0.0,1.4670145567877875,1.0,both_good
