case_id,family,method,tdvp_chi,tdvp_error,tebd_recovery_chi,recovery_chi_ratio,recovery_status,tdvp_time,tebd_recovery_time,time_ratio
periodic_1d_n8_d2_s0_small,periodic_1d,hybrid_tdvp_unpadded,16,0.0026953365551056034,8.0,0.5,recovered,0.0066887180000776425,0.00735741900280118,1.0999744648699161
periodic_1d_n8_d2_s0_small,periodic_1d,hybrid_tdvp_padded4,16,5.286870052505254e-13,8.0,0.5,recovered,0.00830538100854028,0.00735741900280118,0.8858617076369733
periodic_1d_n8_d2_s0_small,periodic_1d,hybrid_tdvp_unpadded,32,0.0026953365551056034,8.0,0.25,recovered,0.006704516999889165,0.00735741900280118,1.0973824069538205
periodic_1d_n8_d2_s0_small,periodic_1d,hybrid_tdvp_padded4,32,5.286870052505254e-13,8.0,0.25,recovered,0.00832297300803475,0.00735741900280118,0.8839892903291343
periodic_1d_n8_d2_s1_small,periodic_1d,hybrid_tdvp_unpadded,16,0.0008333457221609632,8.0,0.5,recovered,0.006635505997110158,0.005704958995920606,0.8597624655007747
periodic_1d_n8_d2_s1_small,periodic_1d,hybrid_tdvp_padded4,16,2.9382846912011173e-15,8.0,0.5,recovered,0.008253744003013708,0.005704958995920606,0.6911965035307058
periodic_1d_n8_d2_s1_small,periodic_1d,hybrid_tdvp_unpadded,32,0.0008333457221609632,8.0,0.25,recovered,0.006658887010416947,0.005704958995920606,0.856743625022613
periodic_1d_n8_d2_s1_small,periodic_1d,hybrid_tdvp_padded4,32,2.9382846912011173e-15,8.0,0.25,recovered,0.008264110001618974,0.005704958995920606,0.6903295085378801
periodic_1d_n8_d4_s0_small,periodic_1d,hybrid_tdvp_unpadded,16,0.003574919747151602,8.0,0.5,recovered,0.013151609993656166,0.011173987004440278,0.8496288294611977
periodic_1d_n8_d4_s0_small,periodic_1d,hybrid_tdvp_padded4,16,3.430703395186376e-12,8.0,0.5,recovered,0.016244238999206573,0.011173987004440278,0.6878738366867205
periodic_1d_n8_d4_s0_small,periodic_1d,hybrid_tdvp_unpadded,32,0.003574919747151602,8.0,0.25,recovered,0.013181607006117702,0.011173987004440278,0.847695353021398
periodic_1d_n8_d4_s0_small,periodic_1d,hybrid_tdvp_padded4,32,3.430703395186376e-12,8.0,0.25,recovered,0.01619999900867697,0.011173987004440278,0.6897523264325707
periodic_1d_n8_d4_s1_small,periodic_1d,hybrid_tdvp_unpadded,16,0.00400274704909765,8.0,0.5,recovered,0.013226340000983328,0.01126043900148943,0.851364701092839
periodic_1d_n8_d4_s1_small,periodic_1d,hybrid_tdvp_padded4,16,1.3469916242464585e-13,8.0,0.5,recovered,0.016381508990889415,0.01126043900148943,0.687387163646031
periodic_1d_n8_d4_s1_small,periodic_1d,hybrid_tdvp_unpadded,32,0.00400274704909765,8.0,0.25,recovered,0.013349788001505658,0.01126043900148943,0.8434919715743366
periodic_1d_n8_d4_s1_small,periodic_1d,hybrid_tdvp_padded4,32,1.3469916242464585e-13,8.0,0.25,recovered,0.016307771991705522,0.01126043900148943,0.6904952440601161
periodic_1d_n10_d2_s0_small,periodic_1d,hybrid_tdvp_unpadded,16,0.0017798805599924534,8.0,0.5,recovered,0.00833860099373851,0.0073666909884195775,0.8834444763517593
periodic_1d_n10_d2_s0_small,periodic_1d,hybrid_tdvp_padded4,16,6.882502922612998e-14,8.0,0.5,recovered,0.010588088000076823,0.0073666909884195775,0.6957527164834791
periodic_1d_n10_d2_s0_small,periodic_1d,hybrid_tdvp_unpadded,32,0.0017798805599924534,8.0,0.25,recovered,0.008777574999839999,0.0073666909884195775,0.8392626652069461
periodic_1d_n10_d2_s0_small,periodic_1d,hybrid_tdvp_padded4,32,6.882502922612998e-14,8.0,0.25,recovered,0.010926889997790568,0.0073666909884195775,0.6741800265134117
periodic_1d_n10_d2_s1_small,periodic_1d,hybrid_tdvp_unpadded,16,0.0016302166169684807,8.0,0.5,recovered,0.008415069998591207,0.007550373004050925,0.8972442303290356
periodic_1d_n10_d2_s1_small,periodic_1d,hybrid_tdvp_padded4,16,1.0457863145341834e-13,8.0,0.5,recovered,0.01069125099456869,0.007550373004050925,0.706219787365073
periodic_1d_n10_d2_s1_small,periodic_1d,hybrid_tdvp_unpadded,32,0.0016302166169684807,8.0,0.25,recovered,0.00849640800151974,0.007550373004050925,0.8886547118147341
periodic_1d_n10_d2_s1_small,periodic_1d,hybrid_tdvp_padded4,32,1.0457863145341834e-13,8.0,0.25,recovered,0.010731150992796756,0.007550373004050925,0.7035939582919934
