section,target_label,theta,plain_tdvp_error,plain_tdvp_l2,enrichment_error,tebd_error,dense_exact_error,circuit,target_gate_index,gate,sites,window_size,tdvp_sweeps,substeps,tdvp_circuit_full_sweep,fidelity_error_after_gate,phase_aligned_l2_error_after_gate,max_bond_before,max_bond_after,mean_bond_after,wall_time_s,policy,repair_name,fidelity_error,pauli_obs_max_error,max_bond,mean_bond
baseline,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,,,,,,,,,,,,,,,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,1,1,False,0.009648514321641377,0.0982269604315414,15,16,7.375,0.03071940000518225,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,1,1,True,0.006540814143136453,0.08194958809700638,15,15,7.25,0.05190640001092106,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,1,1,False,0.009648514321581092,0.09822696043154402,15,16,7.375,0.03745520001393743,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,1,1,True,0.006540814143120022,0.08194958809700699,15,15,7.25,0.06225439999252558,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,1,1,False,0.009648514321591639,0.09822696043154373,15,16,7.375,0.04316810000455007,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,1,1,True,0.006540814143118023,0.08194958809700674,15,15,7.25,0.09448480000719428,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,1,1,False,0.009648514321591639,0.09822696043154373,15,16,7.375,0.04663799999980256,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,1,1,True,0.006540814143118023,0.08194958809700674,15,15,7.25,0.0722020999819506,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,1,2,False,0.004599168386419383,0.06781715038042267,15,16,7.375,0.07256500000949018,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,1,2,True,0.007206035680441536,0.08591240402552977,15,15,7.125,0.10108860000036657,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,1,2,False,0.004599168386392627,0.06781715038041258,15,16,7.375,0.0627853000187315,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,1,2,True,0.007206035680432876,0.08591240402552963,15,15,7.125,0.11829399998532608,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,1,2,False,0.004599168386414942,0.06781715038041193,15,16,7.375,0.08321650000289083,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,1,2,True,0.007206035680440648,0.08591240402552991,15,15,7.125,0.1031385000096634,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,1,2,False,0.004599168386414942,0.06781715038041193,15,16,7.375,0.08717590000014752,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,1,2,True,0.007206035680440648,0.08591240402552991,15,15,7.125,0.2310233999742195,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,1,4,False,0.0017861039822175684,0.04226231001496751,15,16,7.375,0.19361070002196357,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,1,4,True,0.007598734522720529,0.08816822318877705,15,15,7.125,0.37411830000928603,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,1,4,False,0.0017861039822397728,0.042262310014966824,15,16,7.375,0.22103420001803897,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,1,4,True,0.007598734522688888,0.08816822318877905,15,15,7.125,0.19777689999318682,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,1,4,False,0.0017861039822433256,0.04226231001496657,15,16,7.375,0.17310849999194033,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,1,4,True,0.007598734522699102,0.08816822318877807,15,15,7.125,0.2449309999938123,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,1,4,False,0.0017861039822433256,0.04226231001496657,15,16,7.375,0.17777730000671,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",full,1,4,True,0.007598734522699102,0.08816822318877807,15,15,7.125,0.25912180001614615,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,1,8,False,0.0005699186797701872,0.023872959919282826,15,16,7.375,0.2383020999841392,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",1,1,8,True,0.007811085450075028,0.08936434033158447,15,15,7.125,0.4683600000280421,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,1,8,False,0.0005699186797737399,0.02387295991928233,15,16,7.375,0.23491759999888018,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",2,1,8,True,0.007811085450102895,0.08936434033158373,15,15,7.125,0.3292660999868531,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,1,8,False,0.0005699186797042399,0.023872959919283863,15,16,7.375,0.2938242999953218,,,,,,
grid,h1_L4_plus_rzz_4_7,0.2,0.009648514321641377,0.0982269604315414,9.166001291305292e-13,9.159339953157541e-13,9.168221737354543e-13,ising2d_3x3_h1_dt0.1_L4_plus,47,rzz,"(4, 7)",4,1,8,True,0.00781108545003617,0.08936434033158579,15,15,7.125,0.5015496999840252,,,,,,
