seed,gate_type,slope,slope_min,slope_max,n_points
11,rxx,1.9705802336618785,,,5
11,ryy,1.950033844642349,,,5
11,rzz,1.9548821021660188,,,5
22,rxx,1.9868332219920803,,,5
22,ryy,1.9964541094297694,,,5
22,rzz,1.9941037861764739,,,5
33,rxx,2.000394664612786,,,5
33,ryy,1.9956038436024153,,,5
33,rzz,1.9953883983848786,,,5
median,rxx,1.9868332219920803,1.9705802336618785,2.000394664612786,3
median,ryy,1.9956038436024153,1.950033844642349,1.9964541094297694,3
median,rzz,1.9941037861764739,1.9548821021660188,1.9953883983848786,3
